2024-02-23 17:00:46 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1604b94f0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-03 12:29:33 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11f61e730>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-03 16:58:29 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x123374d30>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-07 23:38:03 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x1114f8eb0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-07 23:39:33 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x124da2b50>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-07 23:53:05 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x12678f1c0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-08 00:01:06 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11e2c0a90>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-08 00:10:09 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x117a222b0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-08 09:22:43 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x122a33490>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-08 11:54:35 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11f8002e0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-08 12:04:20 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10ed818b0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-08 16:29:00 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x107b80df0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-09 17:15:49 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x11dbe88b0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
2024-03-09 17:23:18 WARNING Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x10ff40cd0>: Failed to establish a new connection: [Errno 12] Cannot allocate memory')': /api/4504800232407040/envelope/
