Index,Formula,notes,Decomp,Gap,SLME,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A site mixing,,Cubic,Tetra,Ortho,Hex,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN
1,MAGeCl_3,arun,-0.39,1.95,0.15,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,0.73,72.63,1.35,7.9,2.01,32,1.81,35.45,3.617,12.968,3.16,17
2,MAGeBr_3,arun,-0.24,1.61,0.2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,0.73,72.63,1.35,7.9,2.01,32,1.96,79.9,3.365,11.814,2.96,35
3,MAGeI_3,arun,-0.03,1.31,0.23,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,0.73,72.63,1.35,7.9,2.01,32,1.98,126.9,3.06,10.451,2.66,53
4,MASnCl_3,arun,-0.25,1.58,0.17,0,0,0,1,0,0,0,0,0,1,0,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.15,118.71,1.2,7.344,1.96,50,1.81,35.45,3.617,12.968,3.16,17
5,MASnBr_3,arun,-0.23,1.26,0.2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.15,118.71,1.2,7.344,1.96,50,1.96,79.9,3.365,11.814,2.96,35
6,MASnI_3,arun,-0.16,0.88,0.2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.15,118.71,1.2,7.344,1.96,50,1.98,126.9,3.06,10.451,2.66,53
7,MAPbI_3,arun,0.03,1.85,0.22,0,0,0,1,0,0,0,0,0,0,1,0,0,1,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53
8,MAPbBr_3,arun,-0.15,1.97,0.12,0,0,0,1,0,0,0,0,0,0,1,0,1,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35
9,MAPbCl_3,arun,-0.17,2.53,0.06,0,0,0,1,0,0,0,0,0,0,1,1,0,0,5,FALSE,1,0,0,0,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17
10,CsGeCl_3,arun,1.24,1.05,0.18,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,0.73,72.63,1.35,7.9,2.01,32,1.81,35.45,3.617,12.968,3.16,17
11,CsGeBr_3,arun,-0.28,0.77,0.16,0,0,1,0,0,0,0,0,1,0,0,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,0.73,72.63,1.35,7.9,2.01,32,1.96,79.9,3.365,11.814,2.96,35
12,CsGeI_3,arun,0,0.64,0.15,0,0,1,0,0,0,0,0,1,0,0,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,0.73,72.63,1.35,7.9,2.01,32,1.98,126.9,3.06,10.451,2.66,53
13,CsSnCl_3,arun,1.36,1.03,0.17,0,0,1,0,0,0,0,0,0,1,0,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.81,35.45,3.617,12.968,3.16,17
14,CsSnBr_3,arun,-0.27,0.63,0.12,0,0,1,0,0,0,0,0,0,1,0,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.96,79.9,3.365,11.814,2.96,35
15,CsSnI_3,arun,-0.15,0.48,0.1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.15,118.71,1.2,7.344,1.96,50,1.98,126.9,3.06,10.451,2.66,53
16,CsPbCl_3,arun,1.44,2.21,0.08,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17
17,CsPbBr_3,arun,-0.17,1.77,0.15,0,0,1,0,0,0,0,0,0,0,1,0,1,0,5,FALSE,1,0,0,0,1.74,132.91,0,1.19,207,0.36,7.417,2.33,82,1.96,79.9,3.365,11.814,2.96,35
18,CsPbI_3,arun,0.07,1.48,0.22,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,FALSE,1,0,0,0,1.74,132.91,0,1.19,207,0.36,7.417,2.33,82,1.98,126.9,3.06,10.451,2.66,53
