Halide1,Halide2,Halide3,Cl,Br,I,Cation,Formula,SOLVENT,Target,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,CATION_HATOMS,SOLV_DENSITY,SOLV_DIELECTRIC,SOLV_GDN,SOLV_DPM,SOLV_MV,SOLV_UMBO,DMSO,THTO,DMF,NMP,ACETONE,METHA,GBL,NITRO
Br,Cl,Cl,0.666666667,0.333333333,0,FA,BrClClFA,THTO,41.31,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.34E-02,-1.11E-01,-9.93E-01,-5.13E-02,-6.77E-01,-9.80E-01,6.36E-02,6.73E-01,-9.54E-01,-2.10E-01,-8.96E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,Cs,BrBrClCs,DMSO,41.2,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,2.31E-01,-5.56E-01,-7.75E-01,-2.20E-02,-7.33E-01,9.90E-01,-9.50E-03,8.46E-01,4.25E-01,8.07E-01,-8.87E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,MA,ClClClMA,THTO,41.03,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.30E-02,4.54E-01,7.97E-01,-3.85E-02,-7.37E-01,-9.63E-01,8.12E-03,1.12E-02,-2.19E-01,9.63E-01,-9.30E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,Cs,ClClClCs,THTO,40.97,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,1.29E-01,4.62E-01,-7.68E-01,4.60E-03,-7.50E-01,9.90E-01,-1.74E-02,8.46E-01,-1.49E-01,9.70E-01,-9.73E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,Cs,IClClCs,THTO,40.66,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,2.27E-01,4.47E-01,-7.67E-01,-1.85E-02,-7.44E-01,9.90E-01,-1.68E-02,8.44E-01,6.55E-01,8.44E-01,-9.45E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,MA,ClClClMA,DMSO,40.59,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.30E-02,4.54E-01,7.97E-01,-3.85E-02,-7.37E-01,-9.63E-01,8.12E-03,1.12E-02,-2.19E-01,9.63E-01,-9.30E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,FA,ClClClFA,THTO,40.36,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.10E-02,4.23E-01,-9.93E-01,-3.80E-02,-6.87E-01,-9.79E-01,5.97E-02,6.73E-01,-9.75E-01,2.64E-01,-9.49E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,Cs,ClClClCs,DMSO,40.27,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,1.29E-01,4.62E-01,-7.68E-01,4.60E-03,-7.50E-01,9.90E-01,-1.74E-02,8.46E-01,-1.49E-01,9.70E-01,-9.73E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,Cs,BrClClCs,DMSO,39.86,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,1.81E-01,-6.38E-02,-7.72E-01,-8.72E-03,-7.42E-01,9.90E-01,-1.35E-02,8.46E-01,1.51E-01,9.22E-01,-9.45E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,MA,BrClClMA,DMSO,39.52,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.54E-02,-7.30E-02,7.94E-01,-5.18E-02,-7.28E-01,-9.64E-01,1.21E-02,1.11E-02,7.96E-02,9.04E-01,-8.59E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,Cs,IIClCs,THTO,39.25,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,3.20E-01,4.32E-01,-7.65E-01,-4.16E-02,-7.38E-01,9.91E-01,-1.63E-02,8.42E-01,9.38E-01,3.65E-01,-8.89E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,Cs,IClClCs,DMSO,39.24,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,2.27E-01,4.47E-01,-7.67E-01,-1.85E-02,-7.44E-01,9.90E-01,-1.68E-02,8.44E-01,6.55E-01,8.44E-01,-9.45E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,FA,IClClFA,THTO,38.38,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,1.21E-01,4.08E-01,-9.92E-01,-6.11E-02,-6.80E-01,-9.79E-01,6.03E-02,6.70E-01,-8.47E-01,-5.23E-01,-8.97E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,I,Cl,0.333333333,0,0.666666667,Cs,IIClCs,DMSO,38.32,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.923333333,96.41666667,3.245666667,11.29,2.826666667,41,3.20E-01,4.32E-01,-7.65E-01,-4.16E-02,-7.38E-01,9.91E-01,-1.63E-02,8.42E-01,9.38E-01,3.65E-01,-8.89E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
