Halide1,Halide2,Halide3,Cl,Br,I,Cation,Formula,SOLVENT,Target,A_IONRAD,A_MASS,A_DPM,B_IONRAD,B_MASS,B_EA,B_IE,B_En,B_AN,X_IONRAD,X_MASS,X_EA,X_IE,X_En,X_AN,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,CATION_HATOMS,SOLV_DENSITY,SOLV_DIELECTRIC,SOLV_GDN,SOLV_DPM,SOLV_MV,SOLV_UMBO,DMSO,THTO,DMF,NMP,ACETONE,METHA,GBL,NITRO
Br,Cl,Cl,0.666666667,0.333333333,0,FA,BrClClFA,THTO,41.31,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,7.52E-02,1.01E-01,-5.82E-01,7.87E-01,4.31E-01,1.57E-01,9.11E-01,-9.33E-01,5.37E-01,9.90E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Br,Br,Cl,0.333333333,0.666666667,0,Cs,BrBrClCs,DMSO,41.2,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.91,65.08333333,3.449,12.19866667,3.026666667,29,2.45E-01,-5.52E-01,-7.60E-01,5.28E-01,8.97E-01,5.62E-01,-9.79E-01,-9.99E-01,9.68E-01,7.15E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,MA,ClClClMA,THTO,41.03,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.97E-02,6.93E-01,-7.70E-01,7.62E-01,9.90E-01,3.03E-01,-6.17E-01,-9.97E-01,-8.11E-01,5.76E-01,3,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,Cs,ClClClCs,THTO,40.97,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,1.42E-01,6.06E-01,-8.61E-01,6.41E-01,8.88E-01,5.08E-01,-9.94E-01,-9.99E-01,9.69E-01,8.47E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
I,Cl,Cl,0.666666667,0,0.333333333,Cs,IClClCs,THTO,40.66,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.866666667,65.93333333,3.431333333,12.129,2.993333333,29,2.47E-01,4.52E-01,-8.23E-01,-8.76E-02,8.76E-01,5.23E-01,-9.88E-01,-9.99E-01,9.69E-01,7.74E-01,0,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,MA,ClClClMA,DMSO,40.59,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.97E-02,6.93E-01,-7.70E-01,7.62E-01,9.90E-01,3.03E-01,-6.17E-01,-9.97E-01,-8.11E-01,5.76E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,FA,ClClClFA,THTO,40.36,2.53,44.056,0.25,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,2.17E-02,6.43E-01,-6.73E-01,8.18E-01,4.13E-01,1.19E-01,8.33E-01,-9.16E-01,5.42E-01,9.93E-01,2,1.2,42.84,32,4.17,89.2,0.399,0,1,0,0,0,0,0,0
Cl,Cl,Cl,1,0,0,Cs,ClClClCs,DMSO,40.27,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.81,35.45,3.617,12.968,3.16,17,1.42E-01,6.06E-01,-8.61E-01,6.41E-01,8.88E-01,5.08E-01,-9.94E-01,-9.99E-01,9.69E-01,8.47E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,Cs,BrClClCs,DMSO,39.86,1.7,132.91,0,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,1.94E-01,4.08E-02,-8.17E-01,5.88E-01,8.93E-01,5.36E-01,-9.89E-01,-9.99E-01,9.68E-01,7.90E-01,0,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
Br,Cl,Cl,0.666666667,0.333333333,0,MA,BrClClMA,DMSO,39.52,2.17,32.07,2.3,1.19,207,0.36,7.417,2.33,82,1.86,50.26666667,3.533,12.58333333,3.093333333,23,8.31E-02,1.89E-01,-7.01E-01,7.23E-01,9.91E-01,3.37E-01,-3.70E-01,-9.98E-01,-8.13E-01,4.49E-01,3,1.02,46.7,29.8,3.96,70.9,0.39,1,0,0,0,0,0,0,0
