z1,z2,f1,f2,f3,f4,y1,z3,z4,z5,z6,f5,f6,f7,f8,y2,l0,l1,l2,l3,l4,l5
-0.09,0.01,0.031546044,0.087216838,0.037810586,1.055109698,-0.170358231,-0.68,-0.97,-0.19,0.49,2.562113715,1.399823151,0.790836523,-0.83729403,1.07616219,0.14510167,-1.2027675,-0.020948928,-0.4006297,0.004177101,0.7381227
-0.76,0,0.551179027,0.741923629,-0.104549688,0.387449007,-0.414943458,-0.58,-0.77,0.33,0.8,1.557628201,2.165798261,1.056771165,-0.172207313,0.909398686,-0.31527376,0.356774,0.80415285,0.3980403,0.8888756,0.5479424
0.14,0.12,0.19568453,0.205687415,-0.082370789,1.50180089,0.462744798,-1,-0.46,-0.01,0.2,2.081927676,-0.225058368,0.919554472,-0.265644784,0.982445051,0.39114854,-1.3946013,-0.7967841,-0.1583284,0.25703925,0.76644784
-0.69,-0.63,1.763380023,-0.414531446,-0.315761047,-1.298904998,-0.52817045,0.05,-0.68,-0.24,0.06,0.480989048,1.311406988,0.236145398,-1.402493014,1.175579707,0.5969418,1.2175208,1.3431463,-0.33651584,0.48544946,-2.2134914
-0.88,-0.71,2.420966125,0.245471173,0.674903157,-0.675953516,-1.123279459,-0.61,0.46,0.77,0.78,0.249709306,2.301243882,0.669779828,-2.40069034,1.28562157,-0.57553744,-0.16884205,3.4469593,0.70935416,0.6406284,-2.5297978
0,0.35,0.194819011,0.439274914,0.228833174,0.12684771,0.173959347,0.45,-0.79,0.55,-0.09,0.13754128,1.025128365,-2.370042351,0.037868265,0.191476756,-0.70537454,-0.7299566,-0.13767369,-0.059834387,-0.2900744,0.63860464
0.31,-0.21,0.270800009,-0.221290647,-0.067955477,1.209249599,-0.074692748,0.92,0.73,0.05,0.62,2.611970536,1.188257677,0.720828416,0.023100684,1.609993787,0.944151,-1.491951,-0.54138947,-0.57585186,-0.15642874,0.2162516
0.71,-0.42,0.273516193,0.200323621,0.102158837,0.141668124,0.174726305,-0.58,-0.56,0.9,-0.89,1.142643929,2.085623571,0.391230798,1.40129607,0.879667371,1.1803294,-0.745854,-0.3815389,-0.28693947,-0.8222791,0.22983421
0.57,-0.94,-0.003847047,-0.542185521,-0.417190746,-0.228964719,-0.506637557,0.3,-0.78,-0.15,-1,0.380149154,2.874891518,0.11211092,0.132154258,0.283187782,2.4381738,0.037552573,-0.36923218,-1.214494,-0.94453305,-0.08783652
0.71,0.69,1.706915706,1.252926499,0.122476823,0.033568544,0.748354375,-0.58,-0.98,0.58,0.06,2.760556609,2.054453426,0.014655917,3.09148463,2.143582438,-0.5675201,-0.31240505,-1.8743049,1.4569302,0.44483232,-0.47257346
0.52,-0.94,0.051745107,-0.663915552,-0.23639019,0.10348749,-0.162923816,-0.96,0.43,-0.66,-0.85,0.335453755,2.097147538,-1.023591328,-0.040998,0.042612975,2.2265685,-0.5690194,-0.013774001,-1.2625954,-0.95676017,-0.20928
0.41,0.5,0.836365196,0.777442597,-0.010861309,0.510933386,0.770125206,0.52,-0.49,-0.43,0.95,-0.245765733,1.34592826,-1.031805873,0.43798304,0.13233691,-0.24720027,-0.6098204,-1.4585483,0.61582345,0.26159072,0.28669652
-0.98,-0.24,1.023393845,0.573109183,-0.052217261,1.219408791,-0.546670997,-0.13,0.02,-0.32,-0.99,-0.179553041,1.829174207,0.93935336,-0.773510197,0.35314943,-0.058908883,-0.26903534,1.415951,0.5430003,1.4617511,-0.00124183
0.25,0.2,0.158741667,0.22991801,-0.156429351,1.404568425,0.327109332,0.89,-0.78,-0.79,0.44,0.332103818,0.980416849,-0.900326021,0.078419632,0.235146724,0.4346645,-1.2701582,-1.1884943,-0.16163032,0.20492329,0.8309991
-0.76,-0.5,1.338417811,-0.018823863,0.185991614,-0.728594933,-0.928623337,0.07,0.97,0,-0.51,1.122176488,1.91256096,0.262422764,-1.147916443,1.035842414,-0.16476825,0.29796615,2.1315095,-0.08009829,0.28198695,-1.3523384
-0.88,-0.69,2.318446529,0.204169243,0.26924831,-0.636791947,-0.334454175,-0.69,-0.75,-0.62,0.94,1.727173032,2.950910275,1.250938132,-2.989009996,1.795912274,-0.084886126,0.41000924,2.6739407,0.61108506,0.9221424,-2.3526173
-0.69,0.07,0.275548203,0.554044421,0.108821073,0.685045477,-0.693129112,-0.1,-0.18,0.27,-0.24,0.061660761,0.829477319,-0.646390331,-0.18201462,0.229745526,-0.5766436,-0.41414574,0.9630037,0.12750073,0.5573845,0.75723124
0.65,0.39,1.018339969,0.75400865,-0.08287979,0.478586768,0.740360371,-0.59,0.7,-0.62,-0.95,-0.220545195,2.326857268,-1.367368533,1.086662345,0.028560381,0.1891944,-0.5573992,-1.7982453,0.67143005,0.21563852,0.03339528
0.49,-0.61,0.096726107,-0.526281692,-0.085855121,0.352948059,-0.125980815,0.76,-0.51,-0.75,-0.95,-0.063357619,1.769585232,-0.093390592,-0.072464997,-0.018726457,1.5595422,-1.0031221,-0.17595837,-1.0617247,-0.84936774,-0.0730077
0.9,-0.13,0.801402674,0.628561552,-0.180432109,0.385338311,0.208870696,0.38,-0.47,0.94,0.11,-0.089501165,1.336641951,-1.491938136,0.57682199,0.441115888,1.2855234,-0.33648282,-1.6212459,0.4091304,-0.1402,0.09197121
0.96,-0.11,0.696793067,0.813228436,0.167015234,0.266604834,0.293742998,-0.32,0.62,0.32,0.97,-0.052662674,2.077831372,0.577955455,0.724537008,0.124994075,0.8498741,-0.69277626,-1.077333,0.5358213,-0.49144253,0.2687286
0.79,-0.57,0.321692694,-0.001020581,-0.108695453,-0.360471797,-0.024402936,0.06,-0.45,0.87,0.96,0.262775694,1.909837054,-1.352689309,0.534374136,0.069643368,1.6406571,-0.18018062,-0.61736625,-0.52361035,-0.96426725,-0.080724284
-0.73,0.13,0.226961065,0.921712763,0.064510392,0.757056672,-0.223962182,0.34,-0.99,-0.02,-0.33,0.409882806,1.655060611,-1.122903748,-0.501768826,0.166296729,-0.62157524,-0.10538493,0.85617965,0.46432614,0.7813728,1.1377724
0.76,-0.71,0.072802014,0.068944863,-0.189911577,-0.954492377,0.002988261,0.57,-0.14,-0.93,-0.03,0.067013748,1.158486167,0.349388524,0.065037791,0.199512799,1.8324813,0.51199734,-0.43935016,-0.6500256,-1.2157629,0.13180843
0.68,0.02,0.670694036,-0.059832496,-0.20214606,1.369448081,0.646514233,-0.84,-0.97,0.15,-0.8,3.358027565,1.723902335,-1.097461143,0.93607654,1.98839453,1.0792787,-1.5333263,-1.6808993,-0.20266262,0.060757942,-0.04343042
0.74,-0.77,0.01970246,-0.600202649,-0.181198221,-0.709402478,-0.380920805,-0.95,0.82,0.12,0.04,0.182871061,1.468355162,0.339738388,-0.011425222,-0.272632686,1.9290557,-0.1859034,-0.3535498,-1.2923099,-1.4289947,-0.28777602
-0.7,-0.03,0.38420015,0.425045582,0.411359464,1.044838093,-0.365616193,-0.77,0.28,-0.97,0.2,-0.088504674,0.680315681,-2.848144543,-0.214150903,0.063177916,-0.75529104,-1.2188064,1.6124676,0.100693025,0.44005486,0.5321797
-0.77,-0.38,1.138154925,0.128461918,-0.285437061,-0.064703298,-0.753411158,-0.21,0.17,0.72,-0.5,-0.049746025,0.843762385,-0.771239179,-0.868402089,0.74698381,0.36922303,0.641747,1.0363176,0.023301383,0.89379483,-0.74833095
0.85,-0.1,0.470954835,0.665228599,-0.346732293,0.616808156,0.530174369,-0.07,-0.6,0.24,0.22,0.252750529,1.382571411,-0.177529671,0.097692604,0.558595751,1.462499,-0.19809476,-1.9125439,0.3039847,-0.038723085,0.5976036
