UMAP1,UMAP2,Predicted Bandgaps,True Bandgaps
-0.53777045,6.8686466,1.8777155,1.95
-0.6650444,7.232026,1.9229285,1.61
-2.1990814,8.036316,1.3349671,1.31
-0.4866515,7.0064893,1.8502113,1.58
-0.9911176,7.589592,1.4122988,1.26
-2.0000374,8.826087,0.99092245,0.88
-3.9381316,7.5336943,1.848158,1.85
-3.718694,6.1901917,2.0021567,1.97
-0.92144865,5.6747303,2.4471517,2.53
5.7436023,1.0787519,1.0482888,1.05
6.0686216,0.8759595,0.7813046,0.77
8.303376,-0.50149274,0.68805885,0.64
7.1309524,1.1957425,1.0549042,1.03
6.992609,0.97858894,0.6606797,0.63
8.117286,0.1286994,0.54546165,0.48
9.85205,-3.3258765,2.158663,2.21
9.771236,-3.5234132,1.8070196,1.77
9.153091,-3.6278892,1.5278264,1.48
8.675557,11.700874,1.0854588,1.05
8.24865,12.307069,2.1541057,2.11
8.774598,11.616465,1.9556168,1.94
9.152547,12.418278,3.4588118,3.21
8.43017,12.891725,4.087856,4.02
8.188226,13.231029,4.4998946,4.56
9.058297,12.731294,3.374765,3.3
8.536501,12.984576,3.9458451,4.16
9.027266,12.831151,3.4323897,3.44
8.792422,13.107983,4.203834,4.23
-2.7581472,7.7659616,3.6931338,3.77
-1.4691283,7.2854977,4.1987047,4.24
-1.3923091,7.0157743,4.845837,4.91
-2.5372,7.560504,3.6130562,3.76
-1.3625518,7.2875495,4.2542377,4.31
-1.2405417,6.6828494,4.9377184,5.11
-2.2956617,7.4204392,3.6583858,3.6
-1.8801134,7.1363816,4.366865,4.37
-1.2562915,6.5640864,5.144491,5.25
7.722035,-3.8396027,3.5178213,3.51
5.397961,-3.6767795,3.9635773,4.0
4.7844267,-3.4030504,4.383731,4.67
7.3696346,-3.6394327,3.5964184,3.61
6.0294704,-3.7735538,4.1245747,4.17
5.036069,-3.0622492,4.7963667,4.94
6.695669,-3.0977242,3.676238,3.71
6.1986766,-3.3634837,4.345547,4.4
5.657349,-2.9553123,5.136595,5.37
7.863122,-2.9834297,3.336656,3.23
5.9161673,-1.6591411,3.6966672,3.72
4.6587687,-1.9286864,4.2779517,4.34
7.663584,-2.630792,3.3310313,3.33
6.161251,-1.7740276,3.8365617,3.88
5.0414233,-2.1721344,4.503528,4.61
6.9083815,-2.694316,3.5061593,3.44
5.9841003,-2.4164987,4.0306177,4.08
5.523051,-2.5085783,4.845244,4.95
8.28098,-0.7245238,0.54331154,0.58
5.8205576,0.5439034,0.72683775,0.68
5.5230365,0.65014,1.0061103,0.97
7.9184513,0.09958001,0.4374616,0.41
7.4239554,0.60536146,0.6244275,0.57
7.260513,0.9179892,0.9262841,0.92
9.073959,-3.1618204,1.4942989,1.46
9.587444,-2.9983041,1.7714626,1.75
9.870341,-2.9735734,2.221396,2.18
7.6933446,-2.2581353,3.1668382,3.08
6.2895217,-1.056915,3.5920277,3.57
4.950127,-1.5281512,4.110198,4.17
7.6609206,-2.1358194,3.2138748,3.17
6.2500634,-1.1707348,3.731822,3.71
5.3026958,-1.2712436,4.339303,4.42
7.264935,-2.3590453,3.2442322,3.26
5.8513923,-1.5678686,3.8442407,3.91
5.5509915,-1.4603695,4.717469,4.75
8.137314,-1.000062,0.6101064,0.54
5.620322,0.28023535,0.6770208,0.62
5.4255238,0.18666397,0.9031621,0.9
7.8227286,-0.22379494,0.1302098,0.37
7.3602915,0.4630835,0.6112625,0.53
7.2402854,0.6080429,0.86666995,0.88
9.094145,-2.917905,1.5032123,1.45
9.445903,-2.6494732,1.7558892,1.74
9.669247,-2.672383,2.2315326,2.18
8.951333,-3.6982126,1.7947956,1.75
8.8231945,-3.6531894,2.0673919,1.97
8.616761,-3.7088006,2.440381,2.28
8.409629,-3.7593372,2.7887616,2.29
8.098957,-3.8522015,3.1367378,3.14
7.9483423,-3.869592,3.291288,3.37
7.7772818,-3.900836,3.373558,3.36
-3.840524,7.5958037,1.9385836,1.89
-3.506513,7.715295,2.0671217,2.0
-3.228423,7.7624435,2.2446976,2.28
-3.1297061,7.713407,2.3755536,2.35
-2.8340695,7.6785927,2.6505265,3.07
-2.8876088,7.7152205,2.982727,2.72
-2.8257313,7.754449,3.331706,3.1
8.640729,11.67687,2.118323,2.1
8.798639,11.696981,2.331594,2.35
8.924207,11.894727,2.320951,2.29
9.02079,12.047894,2.45006,2.39
9.077573,12.113416,2.6618152,2.5
9.149148,12.264514,2.927693,3.2
9.207011,12.360555,3.1929388,3.19
8.269018,-3.6222005,2.5886817,2.73
7.782027,-3.8958304,3.2315378,2.9
8.390851,-3.4904046,1.9971468,1.67
6.114185,-3.680993,2.948956,3.12
5.4313188,-3.6983874,3.597354,3.35
6.0019054,-3.7669075,3.0750628,3.05
6.764417,0.98180425,1.5844408,1.5
4.9264383,-2.7599459,2.8798642,2.39
5.7697086,1.1226164,1.8991678,1.95
5.056317,-2.9813447,4.862903,4.95
8.926068,12.139507,2.12334,2.65
8.784443,11.6073475,1.6633487,1.63
8.097949,-1.759298,1.4741611,1.45
8.114352,-1.8560326,1.7351443,1.54
8.164804,-1.2250928,1.300875,1.28
8.117711,-1.8060218,1.6027179,1.55
6.492895,-1.0222524,3.318718,3.31
6.818606,-0.8989338,2.0711246,1.58
6.5492406,-0.966448,3.0118575,2.99
6.5382304,-0.87856025,2.4999185,3.04
6.6111717,-0.9392848,2.9425888,2.93
5.3015733,-0.057521414,1.6890556,1.71
5.246748,-1.0471803,3.3609128,3.35
5.386055,-0.5667595,1.9063209,1.96
5.4324737,-1.2768406,4.4833755,4.49
-2.0973396,8.723951,1.0820844,1.04
-2.6662571,7.60534,2.9458513,2.92
-2.0396316,8.74642,1.512757,1.48
-1.2013537,7.368591,3.5892835,3.66
-0.937975,7.266422,2.4883246,2.18
-1.2393957,7.414566,3.1522799,3.19
-1.0503237,7.2447047,3.2408028,3.3
-0.9929596,6.4126463,4.4183006,4.34
-0.8647073,6.5286517,3.582756,3.82
-0.696661,6.666964,2.6612167,2.72
-0.65844727,6.451741,2.0008173,2.01
8.801838,-3.0115817,1.3640512,1.28
8.541799,-2.789332,2.0144634,1.68
8.05091,-2.5363739,2.6299086,2.6
8.263229,-0.7301119,0.5808063,0.54
8.225493,-2.5136518,2.130029,2.74
6.8783097,-0.75603265,1.562312,1.54
6.7708874,-1.3098221,3.1725998,3.15
6.7351246,-1.2430129,2.9555597,3.3
6.8886924,-1.3485193,2.5310946,2.21
6.7416844,-1.41908,3.7893934,3.8
5.212874,-2.3470793,3.6734538,3.74
4.9989862,-2.2197115,2.4417062,2.44
4.6758914,-2.1227217,3.3611088,3.14
4.662475,-1.9821687,3.2395053,3.29
5.1460133,-2.2579086,3.4822764,3.53
7.725147,-2.1744592,3.1255045,3.11
5.249336,-0.98897874,3.5595174,3.81
8.533638,11.796465,1.2966994,1.26
8.3064575,12.632785,3.1943073,3.63
8.190219,12.547684,2.838725,2.83
8.226553,12.620223,3.1461592,3.19
-2.4817367,7.946653,2.5057907,2.61
-3.215114,7.7876463,2.0127869,1.99
-1.2035437,7.402362,3.2067356,2.98
-0.5876207,6.759472,2.0616336,2.04
8.354159,-0.4753588,1.0844928,1.04
5.3201776,-3.6657267,3.9677978,3.98
4.752351,-3.353797,3.8207102,3.58
7.3332376,-2.3167386,3.0375257,3.06
7.3543696,-2.2763436,3.2529979,3.2
7.250762,0.42078018,0.67867196,0.67
6.497941,-0.98341674,3.3953013,3.38
6.3805294,-1.1841574,3.754941,3.68
4.985034,-1.4722797,3.7153735,3.7
5.336687,0.22005853,1.333246,1.36
5.277273,-1.2645329,4.3196645,4.36
-2.0809221,8.789397,1.0192242,0.99
-2.454303,7.8495092,2.5239267,2.62
-1.0436499,7.4279633,2.8120084,3.26
-3.750427,6.1842246,2.2150495,2.24
-0.9105889,6.2647595,4.169797,4.33
8.252757,-0.76812536,0.4620999,0.43
8.186425,-2.5781744,2.0857143,2.91
7.6534333,-2.6379433,3.3463783,3.31
6.0260477,-2.2842946,3.5407863,3.42
6.014029,-1.7271903,3.7163663,3.67
9.599196,-2.976175,1.5795738,1.53
5.01415,-2.1280582,4.0019536,3.96
5.506934,-2.4660003,4.7814684,4.87
5.532349,0.6517208,0.9912134,1.09
8.254263,-3.6324334,2.6179504,2.61
7.7009807,-3.8703587,3.5317302,3.48
6.08264,-3.7227006,3.6080084,3.59
5.692364,1.0513963,1.8662091,1.86
4.79178,-3.2858884,3.3571906,3.38
8.16194,0.090581656,0.8868295,0.8
6.154968,-3.4712229,4.1863117,4.25
6.5230083,0.9832378,0.57049173,0.67
7.047151,1.2606707,0.9084271,0.94
9.939214,-3.3321793,1.8406607,2.02
8.21358,-1.0993022,0.86954683,0.84
9.088364,12.429318,2.4830222,2.85
8.81932,11.521102,2.0377095,2.0
-2.0578754,8.789603,1.1635036,1.11
-1.058719,7.4327846,3.331263,3.38
-0.88176924,6.3000884,4.084233,4.37
-0.79769534,5.715656,2.6570873,2.64
7.917207,12.994914,3.7582312,3.79
9.06031,12.588181,3.1202364,3.16
8.195878,13.251822,4.8151436,4.47
8.453567,12.928555,3.5459733,3.56
8.077432,13.173553,4.480453,4.31
7.945076,12.998098,3.5838075,3.64
-3.7861097,7.709422,1.9824461,1.9
-3.8184147,7.62171,1.9502984,1.94
-3.830101,7.6495357,1.6746091,1.7
-3.8641388,7.6535726,1.6120209,1.55
-3.8430476,6.1052065,2.1329994,2.14
-3.7291615,6.134829,2.161294,2.17
-3.743805,6.1095495,1.9591388,2.08
-3.7633753,6.15055,1.7970507,1.8
-0.84303737,5.696721,2.6718335,2.68
-0.91653675,5.6912456,2.6738758,2.74
