UMAP1,UMAP2,Predicted Bandgaps,True Bandgaps
12.789418,5.601643,1.8515828,1.95
14.2975025,6.4831157,1.637337,1.61
14.412845,6.9081287,1.2448716,1.31
12.569137,5.574248,1.9615632,1.58
14.650683,6.6656523,1.2567368,1.26
14.984707,7.18935,0.8522315,0.88
14.0960045,8.851775,1.7955673,1.85
13.607664,9.931791,1.9934909,1.97
12.0011425,5.545275,2.483775,2.53
-3.7577546,5.056747,0.9954343,1.05
-3.243403,5.02757,0.67440367,0.77
-2.5774443,4.783892,0.57633144,0.64
-3.6361065,5.825453,0.9848746,1.03
-3.02662,5.558581,0.5862329,0.63
-2.1678338,5.241855,0.40757844,0.48
-3.1251004,6.4333243,2.1539774,2.21
-2.2005053,6.560211,1.6968985,1.77
-1.7362697,6.5303836,1.3985863,1.48
15.378619,-2.5251472,1.0287449,1.05
14.88091,-2.650964,2.1328645,2.11
15.705363,-2.7739081,1.8262153,1.94
15.028178,-3.5744169,3.2485805,3.21
14.457631,-3.0910604,3.9703803,4.02
13.920014,-2.8064806,4.567883,4.56
14.682796,-3.4890301,3.3058019,3.3
14.259664,-3.2306628,4.093778,4.16
14.499548,-3.558661,3.3908892,3.44
14.2964735,-3.44907,4.2540665,4.23
13.522028,7.49146,3.7277427,3.77
13.275262,6.831225,4.2001576,4.24
12.979816,6.393172,4.959609,4.91
13.761199,7.36508,3.596655,3.76
13.475889,6.5333643,4.3746943,4.31
12.909447,6.114404,5.126057,5.11
13.8175745,7.0823774,3.607471,3.6
13.636344,6.713788,4.4062767,4.37
12.969638,6.077454,5.281336,5.25
-0.6864349,7.60628,3.5120335,3.51
-0.9310605,9.274878,3.96871,4.0
-1.3611854,10.112777,4.38682,4.67
-0.5415694,8.154086,3.4552746,3.61
-0.5865173,8.88077,4.126977,4.17
-1.6013182,10.178938,4.842425,4.94
-0.29154196,8.977642,3.6065235,3.71
-0.46453753,9.075163,4.313987,4.4
-1.8902216,10.319651,4.9385347,5.37
-1.8104234,8.240841,3.5721688,3.23
-2.944909,9.250819,3.6865716,3.72
-3.0056288,9.831736,4.285032,4.34
-1.9013724,8.10733,3.2836895,3.33
-2.884988,9.245971,3.9121962,3.88
-2.9437904,10.311194,4.5837727,4.61
-2.0024612,9.080832,3.4271874,3.44
-2.1975439,9.676054,4.036224,4.08
-2.6510127,10.457615,4.9073467,4.95
-3.0373044,4.433305,0.33616474,0.58
-3.530433,4.6272078,0.62048995,0.68
-4.087817,4.856892,0.9344095,0.97
-2.3864436,5.6921105,0.3553991,0.41
-3.7884016,6.379068,0.51141876,0.57
-4.07269,6.138,0.9009354,0.92
-2.2827933,7.117364,1.388493,1.46
-2.6326382,6.9158945,1.7466344,1.75
-3.4573221,6.9275703,2.1606605,2.18
-2.4566402,8.450035,3.203267,3.08
-3.302854,8.894632,3.5933933,3.57
-3.3991454,9.882821,4.2215824,4.17
-2.5334756,8.417611,3.2115655,3.17
-3.505237,8.8707485,3.753244,3.71
-3.7657802,10.0931225,4.433834,4.42
-2.42141,8.821208,3.2204676,3.26
-3.624597,9.329202,3.8930683,3.91
-3.9688015,9.978164,4.9348483,4.75
-3.2948506,4.200296,0.49896133,0.54
-3.793635,4.339852,0.62459314,0.62
-4.184793,4.6689353,0.8579473,0.9
-2.5868406,6.095702,0.48141035,0.37
-4.067906,6.5196457,0.6238818,0.53
-4.31946,6.272047,0.7407058,0.88
-2.7244706,7.1821465,1.4397588,1.45
-3.077319,7.262709,1.7984537,1.74
-3.5926936,6.9702597,2.2189922,2.18
-1.613717,6.5064936,1.6600627,1.75
-1.4383854,6.569722,1.9257573,1.97
-1.2199802,6.737693,2.2121375,2.28
-1.0159225,6.935677,2.4979477,2.29
-0.8623678,7.1634917,2.784328,3.14
-0.7560125,7.4244466,3.028676,3.37
-0.6947067,7.5753174,3.2692819,3.36
14.107166,8.678242,1.876706,1.89
14.0212345,8.483695,1.9539814,2.0
13.919032,8.271883,2.1301842,2.28
13.716941,7.9356194,2.328939,2.35
13.649488,7.72718,2.6664486,3.07
13.54559,7.6086307,3.020421,2.72
13.477807,7.48753,3.3737702,3.1
15.629156,-2.8725746,2.0230885,2.1
15.62604,-2.8620574,2.1944754,2.35
15.471372,-3.0847092,2.367896,2.29
15.322039,-3.2877538,2.541031,2.39
15.220446,-3.4968693,2.7144523,2.5
15.165188,-3.4777117,2.8878727,3.2
15.099354,-3.5933616,3.0610094,3.19
-1.0685803,6.8613224,2.0858643,2.73
-0.65494365,7.593395,3.136118,2.9
-1.1990619,6.555609,1.67341,1.67
-0.74386674,8.737894,2.7110906,3.12
-0.82351965,9.133477,3.5535717,3.35
-0.7695955,8.675989,2.7431827,3.05
-2.9116597,5.3946457,1.5070777,1.5
-3.5464284,5.698938,2.817677,2.39
-3.6368213,5.632852,1.8942928,1.95
-1.6954376,10.268983,4.9060197,4.95
15.124695,-3.2712674,2.3661366,2.65
15.6704035,-2.6780372,1.7423662,1.63
-2.5491571,6.150576,1.4766691,1.45
-2.5768566,6.1464577,1.7398051,1.54
-2.6385133,5.9416137,1.2504146,1.28
-2.5459795,6.1177726,1.501846,1.55
-3.629241,8.435914,3.3211193,3.31
-3.4554632,7.880472,1.849085,1.58
-3.5033214,8.508974,3.023099,2.99
-3.7794943,8.3503065,2.7076955,3.04
-3.5901825,8.299506,2.9072561,2.93
-4.427225,5.3396235,1.7493616,1.71
-3.8870935,10.174492,3.416266,3.35
-4.4634104,6.064443,1.957946,1.96
-3.8799307,10.090863,4.707956,4.49
14.87824,7.268175,1.0822468,1.04
13.764097,7.623685,2.9462748,2.92
14.908467,7.2489405,1.4752305,1.48
13.738471,6.413495,3.5266395,3.66
14.142196,6.4057574,2.7709198,2.18
13.862481,6.324806,3.1936755,3.19
13.920308,6.386483,3.3526268,3.3
12.727252,5.9590373,4.4569936,4.34
12.772038,5.8199463,3.8270001,3.82
12.657819,5.7418475,3.0114875,2.72
12.454512,5.553733,2.0856154,2.01
-2.1864007,7.247323,1.2362523,1.28
-2.0090022,7.4305882,1.85166,1.68
-1.9267292,7.771393,2.2974362,2.6
-3.0296712,4.435497,0.42368189,0.54
-1.8717794,7.591471,1.8969468,2.74
-3.841301,7.3052664,1.6028912,1.54
-3.5484104,7.9207196,2.8478723,3.15
-3.6800523,7.8137574,2.9066753,3.3
-3.6492016,7.7817483,2.4104528,2.21
-3.6394384,7.9857855,3.2876306,3.8
-2.9344237,10.514032,3.7496433,3.74
-3.0786002,10.540884,2.479703,2.44
-3.1069536,10.089468,3.3265357,3.14
-3.0625672,9.9260645,3.2535648,3.29
-2.951481,10.458587,3.3875623,3.53
-2.557208,8.341648,3.038743,3.11
-3.9306788,10.105453,3.605939,3.81
15.404834,-2.5271099,1.2716436,1.26
14.701286,-2.711146,3.1056986,3.63
14.750149,-2.773908,2.8786435,2.83
14.734429,-2.8657,3.1189928,3.19
14.199309,7.408337,2.4401808,2.61
13.985034,8.216809,1.9950427,1.99
13.717492,6.3453345,3.3343058,2.98
12.734277,5.6472883,2.106814,2.04
-2.6068609,4.7590203,1.0217533,1.04
