UMAP1,UMAP2,Predicted Binding Energy,True Binding Energy
10.896183,9.781333,38.16413,41.31
10.873198,1.5506421,38.019043,41.2
6.0727386,6.489648,40.84833,41.03
11.179745,2.5701795,40.947628,40.97
11.214215,2.6473632,39.218502,40.66
5.743742,6.1536865,40.019974,40.59
10.929672,9.891978,38.529575,40.36
10.9354725,1.2950276,40.550518,40.27
10.846333,1.2418313,39.68179,39.86
5.868862,6.1183443,38.73238,39.52
11.013804,2.877695,38.01516,39.25
10.72895,1.3561479,39.299774,39.24
10.753652,9.760768,38.093315,38.38
10.565171,1.3772395,37.8944,38.32
10.988652,2.9314268,37.476562,38.29
10.686423,1.3762213,38.01345,38.2
11.7867775,9.814157,39.17856,38.1
11.1950655,2.6398454,39.36155,37.88
6.659204,6.6596413,36.10624,37.85
11.876353,9.708756,37.956245,37.83
6.228393,6.6108055,38.30542,37.79
10.928839,1.6256223,36.69525,37.77
10.595099,1.5667208,36.991455,37.68
10.834313,2.7984226,37.34944,37.61
11.08167,2.7648516,37.62861,37.58
6.3855357,5.9188514,36.813904,37.49
12.135465,9.367904,33.83673,37.49
10.61114,9.526039,33.17717,37.34
6.638701,5.8821254,35.542377,37.2
6.2642255,6.5761976,38.84993,37.15
5.91657,6.053037,38.43067,37.14
10.470362,1.5025374,36.908195,37.08
11.166079,2.7189043,37.938225,37.0
11.994482,9.515353,35.738235,36.95
10.940096,2.9417179,36.446022,36.87
10.741548,1.6793884,36.768284,36.83
11.668347,9.632347,36.267685,36.74
11.751278,9.767411,38.233295,36.73
6.857596,6.6339912,36.20627,36.45
6.258099,6.0081882,36.495743,36.41
11.008706,2.8942394,37.086254,36.41
6.54328,5.783266,36.574394,36.37
6.6111298,6.509792,36.240692,36.32
10.747545,9.642352,36.089905,36.1
6.394156,5.90632,35.588177,36.03
6.6930513,6.6890426,35.925453,36.0
6.9901905,6.637834,35.926693,35.99
6.6357026,6.4682627,34.8192,35.97
6.478427,5.905507,35.7962,35.64
10.92353,9.719965,36.511196,35.6
6.7819395,6.6198673,35.70189,35.3
6.814041,5.7889824,35.03328,34.31
10.667459,9.6038885,35.519325,34.29
11.043949,9.754572,33.903206,33.83
11.865814,9.588862,36.033707,33.76
11.662127,9.555246,33.64785,33.72
11.926005,9.286345,33.406345,32.75
10.447561,9.404385,32.831894,32.19
11.54835,9.553529,34.115158,31.76
10.8158,9.614565,33.25837,29.99
12.09839,10.552461,22.723951,22.95
12.163345,10.653407,22.134394,22.26
11.834159,1.6878237,21.875376,22.17
11.378734,10.621396,20.534914,22.12
11.474146,10.617245,21.412304,21.92
5.2879243,5.5867953,21.264708,21.92
5.162374,5.6419034,21.896929,21.91
11.724359,0.82744944,21.24383,21.57
12.19966,2.1700318,19.767506,21.5
12.066752,2.028298,20.278572,21.46
11.77745,0.8769592,21.346254,21.43
4.799498,5.293073,20.922491,21.23
11.8903265,1.8189837,21.331232,21.2
5.27441,5.520398,21.04567,20.98
12.026451,1.9735758,20.229439,20.85
6.151565,4.936594,20.225569,20.85
12.2226,0.8904128,19.970362,20.81
11.394952,10.508561,21.478098,20.71
4.747991,5.198491,20.807125,20.69
12.177997,1.2167782,20.308691,20.6
12.243656,1.9051117,19.50439,20.54
5.817151,5.1577673,20.355808,20.49
12.62245,2.060724,19.809668,20.48
5.587214,4.6906786,19.931925,20.47
5.5631137,4.8563437,20.674963,20.46
11.980732,0.8577938,20.212317,20.44
12.507406,0.7622851,19.858574,20.34
6.464449,4.659794,19.704054,20.26
12.277838,10.875653,20.074663,20.08
12.623441,0.85534924,19.446589,20.03
6.284467,4.870405,19.380962,19.99
12.413176,2.2388787,19.569485,19.96
4.679189,5.309331,20.83883,19.96
12.0408,1.109074,21.028414,19.93
11.625585,11.147782,19.593813,19.91
5.821033,4.2901416,19.26402,19.73
12.3676405,2.0452635,19.656876,19.67
12.692058,2.0319557,19.233631,19.61
6.36759,4.5392904,19.193998,19.56
12.6213255,10.4941025,19.58275,19.54
12.205529,10.620801,21.180592,19.46
5.6027327,4.792269,18.876112,19.14
12.361111,1.0400017,19.533731,19.07
12.928237,10.296319,17.882753,19.06
6.022301,5.0391006,18.77748,18.8
11.363554,11.072265,18.6924,18.74
6.5135026,4.326599,18.116915,18.57
5.6552553,4.4941497,18.209051,18.42
