Methods,value,Decision
A_IONRAD,0.011088232756378843,Accepted
A_IONRAD,0.03593115966601063,Accepted
A_IONRAD,0.06450623470981419,Accepted
A_IONRAD,0.04586052418831013,Accepted
A_IONRAD,0.05772290292775237,Accepted
A_IONRAD,-0.02323643559155495,Accepted
A_IONRAD,0.007645336260214281,Accepted
A_IONRAD,0.010244458977157134,Accepted
A_IONRAD,0.0822273165905783,Accepted
A_IONRAD,0.021783364639033832,Accepted
A_IONRAD,0.007025914791023419,Accepted
A_IONRAD,-0.012176036496834521,Accepted
A_IONRAD,-0.01363866745900038,Accepted
A_IONRAD,-0.012285653752263976,Accepted
A_IONRAD,-0.016571597586163295,Accepted
A_IONRAD,-0.038189577916416535,Accepted
A_IONRAD,0.00988467221458251,Accepted
A_IONRAD,-0.05873276645308086,Accepted
A_IONRAD,0.013809746429678147,Accepted
A_IONRAD,-0.010125624987894809,Accepted
A_IONRAD,0.02549986704490125,Accepted
A_IONRAD,0.031480599973465404,Accepted
A_IONRAD,0.07121112174861624,Accepted
A_IONRAD,-0.03158880101509971,Accepted
A_IONRAD,-0.006410596463028332,Accepted
A_IONRAD,0.010665489944900268,Accepted
A_IONRAD,-0.030970648891988292,Accepted
A_IONRAD,-0.026750231230031837,Accepted
A_IONRAD,-0.07339038340149602,Accepted
A_IONRAD,-0.01465778528847428,Accepted
A_IONRAD,-0.005478161747508998,Accepted
A_IONRAD,0.00943357235428204,Accepted
A_IONRAD,-0.011113296521503025,Accepted
A_IONRAD,-0.027867284899811863,Accepted
A_IONRAD,0.0012460386684290572,Accepted
A_IONRAD,-0.021630669526777252,Accepted
A_IONRAD,0.048991089091165854,Accepted
A_IONRAD,-0.01815421033101064,Accepted
A_IONRAD,0.002106589287693123,Accepted
A_IONRAD,-0.007449031827831679,Accepted
A_IONRAD,0.00509586935581228,Accepted
A_IONRAD,-0.020351143355306363,Accepted
A_IONRAD,-0.00044540343243447444,Accepted
A_IONRAD,0.03466778620270211,Accepted
A_IONRAD,-0.026743536226595976,Accepted
A_IONRAD,-0.028884792420211285,Accepted
A_IONRAD,0.03657493431496814,Accepted
A_IONRAD,-0.04454187634909715,Accepted
A_IONRAD,-0.014384204196480477,Accepted
A_IONRAD,-0.018566252295426258,Accepted
A_IONRAD,-0.04410839664025835,Accepted
A_IONRAD,-0.012329713818591003,Accepted
A_IONRAD,0.03753752149905862,Accepted
A_IONRAD,-0.0749735310944983,Accepted
A_IONRAD,0.0039869081460019275,Accepted
A_IONRAD,0.011088025631058934,Accepted
A_IONRAD,-0.0314539064543683,Accepted
A_IONRAD,0.010190502270846601,Accepted
A_IONRAD,-0.03083695599779645,Accepted
A_IONRAD,-0.021598056188154427,Accepted
A_IONRAD,-0.01676161735276694,Accepted
A_IONRAD,-0.04061048610588237,Accepted
A_IONRAD,-0.038594786149019386,Accepted
A_IONRAD,0.0073471501674420665,Accepted
A_IONRAD,0.003763739860711315,Accepted
A_IONRAD,-0.0002386307375622396,Accepted
A_IONRAD,-0.03253563191712798,Accepted
A_IONRAD,-0.015350403497528307,Accepted
A_IONRAD,-0.06082997858719956,Accepted
A_IONRAD,-0.029438438009433392,Accepted
A_IONRAD,-0.0005060878117914774,Accepted
A_IONRAD,-0.027547393249532405,Accepted
A_IONRAD,-0.018093402409766122,Accepted
A_IONRAD,-0.042787460957658924,Accepted
A_IONRAD,-0.0024241640971647306,Accepted
A_IONRAD,-0.037553304418046364,Accepted
A_IONRAD,-0.014572396233529104,Accepted
A_IONRAD,-0.004552614369910593,Accepted
A_IONRAD,-0.058450923280544465,Accepted
A_IONRAD,-0.043229459159715204,Accepted
A_IONRAD,-0.04489716430040878,Accepted
A_IONRAD,0.002181755303377704,Accepted
A_IONRAD,0.012654194594675141,Accepted
A_IONRAD,-0.007347598627473097,Accepted
A_IONRAD,0.004116936669673103,Accepted
A_IONRAD,-0.0011915508177135212,Accepted
A_IONRAD,0.02743569646196623,Accepted
A_IONRAD,-0.014033197821689814,Accepted
