Features,value,Decision
A_IONRAD,-0.03828043098305939,Accepted
A_IONRAD,-0.012307135242867194,Accepted
A_IONRAD,-0.11420392507092615,Accepted
A_IONRAD,-0.1453770697410778,Accepted
A_IONRAD,-0.17973264662066385,Accepted
A_IONRAD,-0.05439928097720116,Accepted
A_IONRAD,-0.04297961800275216,Accepted
A_IONRAD,-0.08347644083849956,Accepted
A_IONRAD,-0.09652907904769534,Accepted
A_IONRAD,-0.06375456056129179,Accepted
A_IONRAD,-0.057198826865978186,Accepted
A_IONRAD,-0.120752164619596,Accepted
A_IONRAD,-0.18260636530546864,Accepted
A_IONRAD,-0.1448379187144897,Accepted
A_IONRAD,-0.17413490576265153,Accepted
A_IONRAD,-0.10888130684780026,Accepted
A_IONRAD,-0.08771552601073065,Accepted
A_IONRAD,-0.13483058397714728,Accepted
A_IONRAD,-0.10548932355319164,Accepted
A_IONRAD,-0.07683062600939672,Accepted
A_IONRAD,-0.11552748118401672,Accepted
A_IONRAD,-0.15268789046581233,Accepted
A_IONRAD,-0.2138090064840824,Accepted
A_IONRAD,-0.11952988070702487,Accepted
A_IONRAD,-0.1045370215404899,Accepted
A_IONRAD,-0.18097356612702295,Accepted
A_IONRAD,-0.11489621839969157,Accepted
A_IONRAD,-0.18167975284021842,Accepted
A_IONRAD,-0.11990874478184385,Accepted
A_IONRAD,-0.12990553132987326,Accepted
A_IONRAD,-0.11967930934333894,Accepted
A_IONRAD,-0.1051464142216524,Accepted
A_IONRAD,-0.11473329372889411,Accepted
A_IONRAD,-0.13382517531418373,Accepted
A_IONRAD,-0.1576486733144098,Accepted
A_IONRAD,-0.13243601337890773,Accepted
A_IONRAD,-0.1566590553400795,Accepted
A_IONRAD,-0.1941260323512134,Accepted
A_IONRAD,-0.17520453641469044,Accepted
A_IONRAD,-0.19116860354007803,Accepted
A_IONRAD,-0.059605119614861854,Accepted
A_IONRAD,-0.22951572453348032,Accepted
A_IONRAD,-0.19347018404169886,Accepted
A_IONRAD,-0.10771448290269053,Accepted
A_IONRAD,-0.12079466325618432,Accepted
A_IONRAD,-0.15058882991105754,Accepted
A_IONRAD,-0.11629899364487875,Accepted
A_IONRAD,-0.14659989256078537,Accepted
A_IONRAD,-0.17837828418672882,Accepted
A_IONRAD,-0.12244514598219128,Accepted
A_IONRAD,-0.11649729428307717,Accepted
A_IONRAD,-0.14088720249246936,Accepted
A_IONRAD,-0.16761604667622898,Accepted
A_IONRAD,-0.15766898935498563,Accepted
A_IONRAD,-0.1311791454329569,Accepted
A_IONRAD,-0.1665256612798318,Accepted
A_IONRAD,-0.08958417193501397,Accepted
A_IONRAD,-0.17904761400130934,Accepted
A_IONRAD,-0.14402975440692986,Accepted
A_IONRAD,-0.12258245028827412,Accepted
A_IONRAD,-0.10939286952358133,Accepted
A_IONRAD,-0.10832908962321977,Accepted
A_IONRAD,-0.18620944875628417,Accepted
A_IONRAD,-0.10608756859923896,Accepted
A_IONRAD,-0.20758748122433757,Accepted
A_IONRAD,-0.11387661446852276,Accepted
A_IONRAD,-0.12833633646603843,Accepted
A_IONRAD,-0.14443213693892806,Accepted
A_IONRAD,-0.21423773334851856,Accepted
A_IONRAD,-0.17879735080733067,Accepted
A_IONRAD,-0.09257448592716352,Accepted
A_IONRAD,-0.18483888836303528,Accepted
A_IONRAD,-0.08658505439371435,Accepted
A_IONRAD,-0.13170974713388534,Accepted
A_IONRAD,-0.12878729974286127,Accepted
A_IONRAD,-0.12539258477149917,Accepted
A_IONRAD,-0.16786968524492732,Accepted
A_IONRAD,-0.08884250084680145,Accepted
A_IONRAD,-0.1866916070587395,Accepted
A_IONRAD,-0.11589340822780632,Accepted
A_IONRAD,-0.1742811147572745,Accepted
A_IONRAD,-0.05406704213548626,Accepted
A_IONRAD,-0.09162560589307815,Accepted
A_IONRAD,-0.13755584108763916,Accepted
A_IONRAD,-0.10548322392196462,Accepted
A_IONRAD,-0.1375817267403435,Accepted
A_IONRAD,-0.114441832992403,Accepted
