Methods,value,Decision
A_IONRAD,-0.17483196794910538,Accepted
A_IONRAD,-0.24584658648311208,Accepted
A_IONRAD,-0.19740337676388464,Accepted
A_IONRAD,-0.20215699192064826,Accepted
A_IONRAD,-0.2406099411947118,Accepted
A_IONRAD,-0.24897209422223274,Accepted
A_IONRAD,-0.26807206492647406,Accepted
A_IONRAD,-0.215449261455239,Accepted
A_IONRAD,-0.28100503251832243,Accepted
A_IONRAD,-0.2111728349374179,Accepted
A_IONRAD,-0.24623269388184152,Accepted
A_IONRAD,-0.2407807298506078,Accepted
A_IONRAD,-0.24406410994295205,Accepted
A_IONRAD,-0.27663275619668615,Accepted
A_IONRAD,-0.24188377556427285,Accepted
A_IONRAD,-0.185173611511253,Accepted
A_IONRAD,-0.23595104757130514,Accepted
A_IONRAD,-0.24197229146471505,Accepted
A_IONRAD,-0.2288064388750116,Accepted
A_IONRAD,-0.25069357858571617,Accepted
A_IONRAD,-0.2677167699480434,Accepted
A_IONRAD,-0.23604941340648966,Accepted
A_IONRAD,-0.26526529406052196,Accepted
A_IONRAD,-0.26665529202340466,Accepted
A_IONRAD,-0.2799869827227878,Accepted
A_IONRAD,-0.28808291070527337,Accepted
A_IONRAD,-0.25007159196225986,Accepted
A_IONRAD,-0.28544159565771715,Accepted
A_IONRAD,-0.25281213974805483,Accepted
A_IONRAD,-0.2528406614941185,Accepted
A_IONRAD,-0.25965348489960965,Accepted
A_IONRAD,-0.21521754415894814,Accepted
A_IONRAD,-0.20602322513078064,Accepted
A_IONRAD,-0.2774954162428883,Accepted
A_IONRAD,-0.2446902561802242,Accepted
A_IONRAD,-0.22877493412355013,Accepted
A_IONRAD,-0.2373964565375844,Accepted
A_IONRAD,-0.2837055660733546,Accepted
A_IONRAD,-0.262598041032012,Accepted
A_IONRAD,-0.2180443092672873,Accepted
A_IONRAD,-0.2843426149501826,Accepted
A_IONRAD,-0.2529436759044202,Accepted
A_IONRAD,-0.23636428265432047,Accepted
A_IONRAD,-0.2583494875528079,Accepted
A_IONRAD,-0.23314513578855967,Accepted
A_IONRAD,-0.21696328354963595,Accepted
A_IONRAD,-0.2652870600985892,Accepted
A_IONRAD,-0.2586340294845419,Accepted
A_IONRAD,-0.24578245099511978,Accepted
A_IONRAD,-0.22392070345604762,Accepted
A_IONRAD,-0.2656473812565906,Accepted
A_IONRAD,-0.24436102861036213,Accepted
A_IONRAD,-0.23066822981389878,Accepted
A_IONRAD,-0.2503260822335226,Accepted
A_IONRAD,-0.2155148231176242,Accepted
A_IONRAD,-0.234605355561178,Accepted
A_IONRAD,-0.2192970267216145,Accepted
A_IONRAD,-0.24293604430912577,Accepted
A_IONRAD,-0.24241561496124356,Accepted
A_IONRAD,-0.24821114263302646,Accepted
A_IONRAD,-0.2554482468872077,Accepted
A_IONRAD,-0.2549315395593485,Accepted
A_IONRAD,-0.2480752494330753,Accepted
A_IONRAD,-0.24693824262603967,Accepted
A_IONRAD,-0.2815351274292554,Accepted
A_IONRAD,-0.2206009925254579,Accepted
A_IONRAD,-0.23952951929793304,Accepted
A_IONRAD,-0.23828975810964104,Accepted
A_IONRAD,-0.290362891600561,Accepted
A_IONRAD,-0.2887156561130183,Accepted
A_IONRAD,-0.22337185620448488,Accepted
A_IONRAD,-0.22042306866018543,Accepted
A_IONRAD,-0.2634459440957092,Accepted
A_IONRAD,-0.2683920660480766,Accepted
A_IONRAD,-0.22241750642980276,Accepted
A_IONRAD,-0.2743111450112389,Accepted
A_IONRAD,-0.27866062497436206,Accepted
A_IONRAD,-0.3047943704845559,Accepted
A_IONRAD,-0.30669689489993585,Accepted
A_IONRAD,-0.25973111851385006,Accepted
A_IONRAD,-0.2867858240823793,Accepted
A_IONRAD,-0.29099537288987876,Accepted
A_IONRAD,-0.28717328385831736,Accepted
A_IONRAD,-0.23465421785799953,Accepted
A_IONRAD,-0.24541543239978453,Accepted
A_IONRAD,-0.309395176499371,Accepted
A_IONRAD,-0.30278896625694296,Accepted
A_IONRAD,-0.26791110641854937,Accepted
A_IONRAD,-0.2785209376912025,Accepted
A_IONRAD,-0.2674567910846913,Accepted
A_IONRAD,-0.2672783175187658,Accepted
A_IONRAD,-0.2705497463016174,Accepted
A_IONRAD,-0.24776407384114385,Accepted
A_IONRAD,-0.28821406564033736,Accepted
A_IONRAD,-0.3118592039650094,Accepted
A_IONRAD,-0.29798390637149424,Accepted
A_IONRAD,-0.2992908277302272,Accepted
A_IONRAD,-0.23873656759056944,Accepted
A_IONRAD,-0.2684130277688633,Accepted
A_IONRAD,-0.26485724723539406,Accepted
A_IONRAD,-0.2496318361726,Accepted
A_IONRAD,-0.2648121071899009,Accepted
A_IONRAD,-0.2779308250345239,Accepted
A_IONRAD,-0.22072375133101704,Accepted
A_IONRAD,-0.256693599865331,Accepted
A_IONRAD,-0.2734776180719888,Accepted
A_IONRAD,-0.28096431781620895,Accepted
A_IONRAD,-0.24032702932222924,Accepted
A_IONRAD,-0.27908686831344076,Accepted
A_IONRAD,-0.25986332519865213,Accepted
A_IONRAD,-0.2606776110974491,Accepted
A_IONRAD,-0.3037536114139955,Accepted
A_IONRAD,-0.2664085221600498,Accepted
A_IONRAD,-0.25055490328728197,Accepted
A_IONRAD,-0.2477486658497232,Accepted
A_IONRAD,-0.29031194321865195,Accepted
A_IONRAD,-0.2740991650420824,Accepted
A_IONRAD,-0.2856376711579854,Accepted
A_IONRAD,-0.309334407233065,Accepted
A_IONRAD,-0.24809177447819858,Accepted
A_IONRAD,-0.2332125790650331,Accepted
A_IONRAD,-0.31120465299673966,Accepted
A_IONRAD,-0.25573452451368583,Accepted
A_IONRAD,-0.2527373952063034,Accepted
A_IONRAD,-0.2603119790326498,Accepted
A_IONRAD,-0.28777081790939923,Accepted
A_IONRAD,-0.2556848833730178,Accepted
A_IONRAD,-0.28672883522397324,Accepted
A_IONRAD,-0.2835863689598943,Accepted
A_IONRAD,-0.24885318568588266,Accepted
A_IONRAD,-0.2772857536758572,Accepted
A_IONRAD,-0.25611039122081425,Accepted
A_IONRAD,-0.26464695484461703,Accepted
A_IONRAD,-0.25352634226952514,Accepted
A_IONRAD,-0.2727366597959348,Accepted
A_IONRAD,-0.2867373821736921,Accepted
A_IONRAD,-0.25284661453990814,Accepted
A_IONRAD,-0.2857962440727673,Accepted
A_IONRAD,-0.2501279758112158,Accepted
A_IONRAD,-0.2688855554123982,Accepted
A_IONRAD,-0.26807659143321894,Accepted
A_IONRAD,-0.2950385146261691,Accepted
A_IONRAD,-0.3128170027875354,Accepted
A_IONRAD,-0.2998228561785047,Accepted
A_IONRAD,-0.27992449734659197,Accepted
A_IONRAD,-0.24462083528269293,Accepted
A_IONRAD,-0.2843193747530545,Accepted
A_IONRAD,-0.25101390892253167,Accepted
A_IONRAD,-0.2679588890079924,Accepted
A_IONRAD,-0.2328518691963664,Accepted
A_IONRAD,-0.27246682735746713,Accepted
A_IONRAD,-0.27152397978760934,Accepted
A_IONRAD,-0.26844362009748035,Accepted
A_IONRAD,-0.28347058000118147,Accepted
A_IONRAD,-0.28575719053614657,Accepted
A_IONRAD,-0.2805376943466555,Accepted
A_IONRAD,-0.24887014802358726,Accepted
A_IONRAD,-0.25665567990898536,Accepted
A_IONRAD,-0.26987095677887923,Accepted
A_IONRAD,-0.2900070121510113,Accepted
A_IONRAD,-0.3290692656118892,Accepted
A_IONRAD,-0.24605232407070377,Accepted
A_IONRAD,-0.29218744462487967,Accepted
A_IONRAD,-0.20155549493518374,Accepted
A_IONRAD,-0.2490508860326107,Accepted
A_IONRAD,-0.31581956923997956,Accepted
A_IONRAD,-0.27336088721909296,Accepted
A_IONRAD,-0.3003380340220479,Accepted
A_IONRAD,-0.2863088874182388,Accepted
A_IONRAD,-0.2660827142243395,Accepted
A_IONRAD,-0.2954264431580412,Accepted
A_IONRAD,-0.2634359265541749,Accepted
A_IONRAD,-0.2748432950881352,Accepted
A_IONRAD,-0.27183558135406377,Accepted
A_IONRAD,-0.2603764710738341,Accepted
A_IONRAD,-0.2665555714321295,Accepted
A_IONRAD,-0.2737943329582028,Accepted
A_IONRAD,-0.3136478487968369,Accepted
A_IONRAD,-0.2413568427540608,Accepted
A_IONRAD,-0.26900986582151004,Accepted
A_IONRAD,-0.29301922585991036,Accepted
A_IONRAD,-0.2621516786682365,Accepted
A_IONRAD,-0.2774672278790784,Accepted
A_IONRAD,-0.26018026690290874,Accepted
A_IONRAD,-0.24375214001349202,Accepted
A_IONRAD,-0.2511429548947089,Accepted
A_IONRAD,-0.2811283050370922,Accepted
A_IONRAD,-0.28356164384499233,Accepted
A_IONRAD,-0.2692553909548691,Accepted
A_IONRAD,-0.24818060443424197,Accepted
A_IONRAD,-0.27507083327443715,Accepted
A_IONRAD,-0.24344757487810778,Accepted
A_IONRAD,-0.2888395923043626,Accepted
A_IONRAD,-0.2933936006873953,Accepted
A_IONRAD,-0.27280853651089815,Accepted
A_IONRAD,-0.273809690815541,Accepted
A_IONRAD,-0.27108241070640654,Accepted
A_IONRAD,-0.2803281623599934,Accepted
A_IONRAD,-0.2936838348273435,Accepted
A_IONRAD,-0.25752669088272434,Accepted
A_MASS,-0.36775054686246916,Rejected
A_MASS,-0.35609607867957005,Rejected
A_MASS,-0.35560803727359436,Rejected
A_MASS,-0.36329657243324975,Rejected
A_MASS,-0.3627252958638298,Rejected
A_MASS,-0.3517112755684361,Rejected
A_MASS,-0.36526044834323224,Rejected
A_MASS,-0.362440226327697,Rejected
A_MASS,-0.35266847744310903,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_MASS,,Rejected
A_DPM,-0.3716616410168618,Rejected
A_DPM,-0.3475994820536827,Rejected
A_DPM,-0.3580457813198066,Rejected
A_DPM,-0.35649622365521444,Rejected
A_DPM,-0.35250477455191775,Rejected
A_DPM,-0.35744566456697496,Rejected
A_DPM,-0.37228430378857363,Rejected
A_DPM,-0.3814732209584816,Rejected
A_DPM,-0.36587923083211493,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
A_DPM,,Rejected
