UMAP1,UMAP2,Predicted Bandgaps,True Bandgaps
11.092852,0.39088318,2.0005174,1.95
11.602533,0.764773,1.7828422,1.61
12.031723,1.0800123,1.2795541,1.31
11.016084,0.39117885,1.9312556,1.58
11.710387,1.0139114,1.3228891,1.26
12.08353,1.4172909,0.93845344,0.88
14.204255,1.2984861,1.8023808,1.85
14.454679,2.3052413,1.9988723,1.97
10.497405,-0.17357329,2.5114949,2.53
-3.8526006,6.5102587,1.0743566,1.05
-4.1892385,6.4119515,0.8037222,0.77
-4.311963,5.724706,0.6168285,0.64
-3.4150147,6.189894,1.096334,1.03
-4.0175276,6.049451,0.57319695,0.63
-4.042409,5.363668,0.51048356,0.48
-2.8100944,5.8465075,2.2735593,2.21
-2.4615393,5.6016965,1.8497567,1.77
-2.7252257,5.184558,1.504134,1.48
8.366204,0.22802679,1.0499295,1.05
8.197058,-0.3171692,2.185085,2.11
7.6826015,-0.022648772,1.9341428,1.94
7.320747,-0.6015463,3.3532774,3.21
7.91617,-1.13612,3.9029038,4.02
8.133453,-1.3192258,4.5970016,4.56
7.369879,-0.8977005,3.308722,3.3
7.854072,-1.2117271,4.043785,4.16
7.452168,-1.1716763,3.3829157,3.44
7.582284,-1.2886295,4.175789,4.23
13.192051,-0.077718236,3.565179,3.77
12.508821,-0.5123899,4.2029357,4.24
12.156919,-0.75996274,4.9271703,4.91
12.906784,-0.08026398,3.6677032,3.76
12.346383,-0.33708557,4.311489,4.31
11.909407,-0.5323455,5.104623,5.11
12.6455765,-0.13282096,3.554769,3.6
12.245362,-0.3056412,4.338513,4.37
11.831509,-0.520429,5.185151,5.25
-2.137066,4.097031,3.5440238,3.51
-0.99027044,4.5715766,3.9836977,4.0
-0.31480414,4.6548057,4.4269686,4.67
-1.7657208,3.9884174,3.5892875,3.61
-1.1857933,4.275299,4.1615453,4.17
-0.39133775,4.446401,4.884694,4.94
-1.2641218,3.8567972,3.6301293,3.71
-0.9349178,3.903213,4.321574,4.4
-0.50593805,4.0018487,4.7498927,5.37
-0.34932056,9.274243,3.4277296,3.23
-0.1717987,9.840115,3.7617626,3.72
-0.0037593713,10.079936,4.332619,4.34
-0.21060112,9.040788,3.3634074,3.33
0.272954,9.423381,3.804012,3.88
0.62848806,9.939725,4.6523747,4.61
0.14254203,8.990467,3.4093196,3.44
0.56665164,9.279136,4.028506,4.08
0.8588339,9.647321,4.8607883,4.95
-4.345889,7.864066,0.47371146,0.58
-4.2495904,7.641438,0.73136455,0.68
-4.0829654,7.3891754,1.1031487,0.97
-3.6089597,7.355903,0.42559338,0.41
-3.2471995,7.3847713,0.6429076,0.57
-3.1470165,7.2299848,1.0321397,0.92
-1.6179068,8.214037,1.492188,1.46
-1.7261502,8.304681,1.8097138,1.75
-2.3745053,8.363466,2.0609024,2.18
-1.5796523,10.006206,3.1006105,3.08
-1.9318732,10.077887,3.5769918,3.57
-1.3920918,10.7785425,4.1826773,4.17
-1.4553955,10.086811,3.1380608,3.17
-1.8631768,10.275519,3.7108495,3.71
-1.6330361,11.043541,4.4217987,4.42
-1.3376722,10.04778,3.261724,3.26
-1.6507999,10.568152,3.872425,3.91
-1.6520143,11.116459,4.818775,4.75
-4.0178223,8.374605,0.55082834,0.54
-3.9743,8.15334,0.67175806,0.62
-3.7379277,7.915391,1.0500365,0.9
-3.365278,8.478124,0.6420859,0.37
-3.1810608,7.7973595,0.7477593,0.53
-3.186787,7.861201,0.92502135,0.88
-2.0166137,8.494194,1.4278364,1.45
-2.213983,8.699199,1.7966046,1.74
-2.4407074,8.484687,2.2605078,2.18
-2.7821605,4.965436,1.7855644,1.75
-2.7160404,4.8270173,2.008003,1.97
-2.676923,4.573079,2.2630787,2.28
-2.624978,4.4433885,2.5174856,2.29
-2.5097578,4.3258624,2.772561,3.14
-2.3979604,4.243098,3.0276372,3.37
-2.1924858,4.124107,3.2820418,3.36
14.103209,1.1320992,1.8974216,1.89
13.900775,0.82320434,1.9430392,2.0
13.778348,0.67375433,2.0789073,2.28
13.5530815,0.40042514,2.303393,2.35
13.428149,0.23559245,2.5610163,3.07
13.322253,0.05954534,2.8715887,2.72
13.236447,-0.06361866,3.1973445,3.1
7.72573,0.023815628,2.0787103,2.1
7.622732,-0.08331219,2.220431,2.35
7.593727,-0.1275095,2.2915528,2.29
7.4011326,-0.42825195,2.4194553,2.39
7.329269,-0.41135395,2.6531065,2.5
7.3489594,-0.51555985,2.8867583,3.2
7.261171,-0.58782977,3.119626,3.19
-2.8732204,4.425023,2.300413,2.73
-2.11416,4.05164,3.1731634,2.9
-3.2452679,4.7420807,1.6855078,1.67
-1.2332289,4.231084,2.7633698,3.12
-1.0833628,4.4384155,3.6576579,3.35
-1.3476405,4.41362,2.8799536,3.05
-4.174115,6.021622,1.6772983,1.5
-3.1172376,6.1560526,2.4754634,2.39
-3.4530706,6.2621436,1.9794238,1.95
-0.45319584,4.3700876,4.9558706,4.95
7.5253882,-0.30024776,2.5321784,2.65
7.9391804,0.16699636,1.5937469,1.63
-3.190147,8.760713,1.4357224,1.45
-3.0611126,8.901522,1.8038285,1.54
-3.4613395,8.74437,1.282117,1.28
-3.0923254,8.857291,1.566514,1.55
-2.193174,9.725326,3.3261917,3.31
-2.3346999,9.093797,2.1012473,1.58
-2.0729058,9.691936,3.114532,2.99
-2.4560544,9.5178175,2.999082,3.04
-2.2112105,9.551462,2.9647994,2.93
-3.426931,8.050961,1.841219,1.71
-1.6309459,11.107409,3.4489923,3.35
-3.0268934,8.201567,2.1045706,1.96
-1.656732,11.1269865,4.6358385,4.49
12.248086,1.3255261,1.092569,1.04
13.057817,0.12979986,2.8943233,2.92
12.32868,1.2336041,1.5064231,1.48
12.100899,0.007319119,3.5840442,3.66
11.857544,0.41858712,2.5505755,2.18
12.003794,0.19571033,3.1474974,3.19
12.111042,0.00817523,3.3557498,3.3
11.33852,-0.3347522,4.5494967,4.34
11.199756,-0.1042377,3.8157613,3.82
11.069849,0.15933838,2.9738429,2.72
10.899594,0.18623024,2.1657007,2.01
-1.4212829,8.281482,1.2618483,1.28
-1.1397752,8.392598,1.9692185,1.68
-0.6823465,8.696732,2.5100136,2.6
-4.3268466,7.886413,0.54978853,0.54
-0.88884073,8.489682,2.0275898,2.74
-3.246945,7.599971,1.5870631,1.54
-1.2407706,8.986486,2.737256,3.15
-1.2145671,8.884348,2.7235758,3.3
-1.3180391,8.826996,2.5435255,2.21
-1.0558493,8.9936,3.1542032,3.8
0.71966666,10.027264,3.7695086,3.74
0.4511022,10.153264,2.5074344,2.44
0.39794073,10.054777,3.3484483,3.14
0.3072112,10.121234,3.2947185,3.29
0.6545274,10.096089,3.540416,3.53
-1.4758302,9.973468,3.0172918,3.11
-1.6188071,11.139715,3.7988808,3.81
8.210733,0.20233405,1.2536867,1.26
8.131849,-0.77971864,3.036488,3.63
8.182915,-0.6225061,2.8470573,2.83
8.105648,-0.74715084,3.1300845,3.19
12.688504,0.69050676,2.5472488,2.61
13.624664,0.6485691,2.095957,1.99
12.021599,0.109512515,3.3883228,2.98
11.068313,0.36004817,2.1943817,2.04
-4.245266,5.634461,1.0844338,1.04
-1.0070153,4.505796,4.00511,3.98
-0.3635836,4.6270947,3.942737,3.58
-1.3585354,10.043665,3.0068185,3.06
-1.2762535,10.0315,3.2370536,3.2
-3.2293622,7.7818823,0.7644011,0.67
-2.1645875,9.547459,3.211293,3.38
-1.9082408,10.320619,3.75409,3.68
-1.469397,10.869231,3.8242235,3.7
-3.6656466,7.914501,1.5063474,1.36
-1.5878363,11.010613,4.397188,4.36
12.180629,1.2971683,1.0040644,0.99
12.53981,0.68310577,2.568878,2.62
11.946291,0.33436242,3.134232,3.26
14.525178,2.3809786,2.2481728,2.24
11.248775,-0.2623043,4.3077674,4.33
-4.386248,7.7991667,0.47250214,0.43
-0.80101484,8.4924345,1.997277,2.91
-0.17824079,9.00646,3.3614094,3.31
0.5385119,9.244068,3.4173508,3.42
-0.18345253,9.779754,3.7787735,3.67
-1.710885,8.355105,1.4593847,1.53
0.6810365,9.943239,4.1076927,3.96
0.8387783,9.709313,4.8288774,4.87
-3.9840484,7.361396,1.1898785,1.09
-2.9038296,4.4593596,2.3087118,2.61
-2.0705042,4.0152636,3.5371225,3.48
-1.128575,4.11413,3.6245,3.59
-3.5546327,6.346247,1.9322488,1.86
-0.40284276,4.6761193,3.6771986,3.38
-4.061648,5.340978,0.8164517,0.8
-0.958201,3.988,3.9751513,4.25
-4.2413745,6.1451435,0.6595908,0.67
-3.4719563,6.22569,1.0697029,0.94
-2.8941116,5.918715,2.075245,2.02
-3.978695,8.414034,0.8621808,0.84
7.421274,-0.5144452,2.6780212,2.85
7.7079782,0.014054259,1.948456,2.0
12.201396,1.2995348,1.1276166,1.11
11.959325,0.3565119,3.365021,3.38
11.1898365,-0.31865406,4.3339443,4.37
10.560827,-0.21723072,2.905366,2.64
8.493197,-1.0414041,3.7773392,3.79
7.413494,-0.86657476,3.0803292,3.16
8.260338,-1.4084755,4.691642,4.47
7.8061013,-1.241262,3.6001198,3.56
8.222747,-1.3696098,4.6882977,4.31
8.523593,-1.0830935,3.682681,3.64
14.031846,1.0394642,1.8609705,1.9
14.061487,1.1265407,1.8731658,1.94
14.092433,1.2403164,1.659658,1.7
14.148882,1.2267886,1.5802133,1.55
14.561256,2.4280531,2.3295848,2.14
14.480546,2.3126721,2.2736971,2.17
14.477111,2.449436,2.057022,2.08
14.637234,2.470989,1.8473921,1.8
10.634073,-0.07628119,2.9676957,2.68
10.517987,-0.19550487,2.8768766,2.74
10.502201,-0.16428532,2.4490392,2.39
10.551288,-0.074313514,2.3108273,2.21
-1.0197697,3.880513,3.9714603,4.03
-4.1169596,5.508583,0.47415435,0.55
-2.5658565,5.5246916,1.624162,1.62
-1.6315666,4.017296,3.6801317,3.6
-2.541847,5.5942717,1.872468,1.78
-4.003325,6.528903,1.2061492,1.62
-1.2236118,4.2133164,3.8618605,3.85
-0.5049136,3.9777637,4.6490517,4.93
-0.3928538,4.674318,4.177019,4.19
-4.077265,5.8428307,0.5537423,0.5
-1.0458384,3.9070399,3.8070934,3.71
