UMAP1,UMAP2,Predicted Bandgaps,True Bandgaps
9.874571,8.606218,1.9358454,1.95
10.717138,7.627743,1.6751945,1.61
11.2493305,8.44055,1.3803842,1.31
10.214209,8.86604,2.1478455,1.58
10.729344,8.847133,1.2630495,1.26
11.086887,9.075626,1.058839,0.88
12.890234,8.371042,1.8765792,1.85
13.091582,6.9340425,2.0763423,1.97
9.126587,8.865628,2.5635655,2.53
-4.978897,7.1274805,0.96427274,1.05
-4.655631,7.05525,0.7383504,0.77
-4.435957,8.121592,0.5785811,0.64
-3.3955486,7.044533,0.9633112,1.03
-3.86891,6.91235,0.6278553,0.63
-3.0467033,7.959704,0.47066876,0.48
-3.4430585,9.593132,2.2743044,2.21
-3.210661,9.786073,1.8372908,1.77
-2.8716369,9.343014,1.5871083,1.48
0.8788478,-0.7678943,1.0235091,1.05
1.468589,-0.9254202,2.191112,2.11
0.9030359,-1.0670745,1.871707,1.94
1.5456121,-1.6283486,3.261664,3.21
2.0799944,-0.84026235,4.300084,4.02
2.3501315,-0.42375883,4.561248,4.56
1.8459424,-1.3880314,3.2619615,3.3
2.2312615,-1.0017725,4.1754546,4.16
2.0113819,-1.3679109,3.385527,3.44
2.23994,-1.0624692,4.1990747,4.23
11.697387,7.9611173,3.5312467,3.77
10.243972,7.296533,4.2893367,4.24
9.709433,7.992501,4.89554,4.91
11.430139,7.955911,3.5812714,3.76
10.295322,7.511655,4.326516,4.31
9.679555,8.05551,5.1194224,5.11
11.216944,7.981541,3.5861864,3.6
10.415911,7.6139297,4.319855,4.37
9.753616,8.065192,5.2118435,5.25
-1.7602407,9.884422,3.5345783,3.51
-1.6696051,11.746587,3.9752467,4.0
-2.7299302,12.732789,4.3567395,4.67
-1.8709222,10.345566,3.5775874,3.61
-1.5383259,11.515633,4.152954,4.17
-2.8643377,12.432396,4.748476,4.94
-2.1270845,11.025851,3.6582618,3.71
-1.811635,11.471538,4.3432426,4.4
-2.9636228,12.106706,4.951362,5.37
-4.933566,10.756873,3.28633,3.23
-3.7438595,11.354744,3.7360857,3.72
-4.6752505,12.699745,4.289123,4.34
-4.9491086,10.789151,3.3293412,3.33
-3.4803307,11.417286,3.8479137,3.88
-4.3569,12.518206,4.509866,4.61
-4.8041587,11.241143,3.4315672,3.44
-3.2703831,11.486567,4.06266,4.08
-4.3673863,12.112434,4.8571115,4.95
-5.0974927,8.40196,0.39228848,0.58
-5.4007363,7.587821,0.6407484,0.68
-5.286986,7.3747706,0.8716693,0.97
-3.5012767,7.886454,0.43943188,0.41
-3.74754,7.384602,0.5983051,0.57
-3.526609,7.2319503,0.858552,0.92
-4.17611,9.941774,1.4944415,1.46
-3.685505,10.003214,1.8089304,1.75
-4.038375,9.506783,2.3373647,2.18
-5.394346,10.460392,3.1275663,3.08
-6.408898,10.686024,3.5571377,3.57
-5.4061728,12.220507,4.1763086,4.17
-5.578755,10.496177,3.1385157,3.17
-6.2631702,10.926306,3.6824515,3.71
-5.7117105,11.98871,4.3797035,4.42
-5.672165,10.739351,3.2527952,3.26
-6.119606,11.108156,3.8554666,3.91
-5.732044,11.923366,4.8782845,4.75
-5.396082,8.578713,0.5415474,0.54
-5.589793,8.012129,0.56704843,0.62
-5.27823,7.745678,0.8249346,0.9
-3.8322644,8.04135,0.44556722,0.37
-3.8445678,7.6566844,0.57178557,0.53
-3.9780157,7.660241,0.77621007,0.88
-4.4625726,9.757836,1.491769,1.45
-4.4737315,9.705657,1.7857856,1.74
-4.295052,9.536831,2.222089,2.18
-2.7611432,9.366451,1.8117473,1.75
-2.6021864,9.361561,2.0362434,1.97
-2.4227972,9.303673,2.2959163,2.28
-2.3003995,9.395049,2.6960154,2.29
-2.0965002,9.494955,3.222186,3.14
-1.9621222,9.62173,3.349527,3.37
-1.9272887,9.688027,3.404972,3.36
12.752469,8.42101,1.9411798,1.89
12.506287,8.285605,2.0626407,2.0
12.3510895,8.266465,2.1995711,2.28
12.062679,8.182841,2.3836186,2.35
11.928606,8.105217,2.6040988,3.07
11.666125,8.009975,2.8866901,2.72
11.677481,7.977332,3.1707187,3.1
0.93909687,-1.0618856,2.0922163,2.1
0.9671563,-1.1108353,2.2853909,2.35
1.0639889,-1.213356,2.345827,2.29
1.2475263,-1.4016114,2.478218,2.39
1.2354861,-1.4712025,2.7929432,2.5
1.3654584,-1.5394108,3.201777,3.2
1.4969391,-1.6327728,3.188869,3.19
-2.2091184,9.142478,2.6348794,2.73
-1.918832,9.666571,3.0835648,2.9
-2.46331,8.868928,1.8346884,1.67
-1.5920044,11.444598,3.130061,3.12
-1.5917418,11.664315,3.438734,3.35
-1.5631275,11.460514,3.1722646,3.05
-4.200062,6.8921943,1.5144442,1.5
-3.0082903,12.279857,2.4020095,2.39
-4.7969174,7.1859627,1.8703122,1.95
-2.8339684,12.431428,4.8130984,4.95
1.1851126,-1.2665874,2.3210638,2.65
0.8489928,-0.8881209,1.6494635,1.63
-5.2351336,9.496063,1.4433539,1.45
-5.266582,9.695415,1.8323181,1.54
-5.3433733,8.933997,1.2217842,1.28
-5.315607,9.607338,1.6116486,1.55
-6.352009,10.482659,3.414929,3.31
-6.080929,10.046054,1.799906,1.58
-6.3630767,10.381488,3.0234814,2.99
-6.255468,10.215773,2.789076,3.04
-6.3397503,10.19968,2.9419994,2.93
-5.188938,7.8298845,1.6776408,1.71
-5.641769,11.925823,3.3567572,3.35
-4.6603317,8.299771,1.9217672,1.96
-5.757464,11.927531,4.641359,4.49
11.113778,9.071634,1.0412207,1.04
11.630645,7.9829497,2.9658113,2.92
11.239736,8.947284,1.508573,1.48
10.524281,7.2626133,3.6092358,3.66
10.651294,7.4248686,2.4079022,2.18
10.529176,7.263197,3.2173347,3.19
10.530469,7.352425,3.311864,3.3
9.505162,8.283763,4.446608,4.34
9.668777,8.375045,3.666019,3.82
9.758791,8.650799,2.7850943,2.72
9.740467,8.824361,2.0816357,2.01
-4.45109,10.076937,1.3500192,1.28
-4.7458954,10.234791,1.9958228,1.68
-4.844005,10.458676,2.618863,2.6
-4.982129,8.510504,0.5287404,0.54
-4.8505425,10.300661,2.1563396,2.74
-3.6955807,10.770055,1.5011013,1.54
-3.6799483,10.951881,3.1963258,3.15
-3.6934762,10.910343,3.2634377,3.3
-3.6675105,10.847903,2.7669332,2.21
-3.6407995,11.010973,3.8296626,3.8
-4.2624636,12.387295,3.8604877,3.74
-4.4910445,12.481549,2.437334,2.44
-4.538266,12.64848,3.4233356,3.14
-4.589534,12.64634,3.2686617,3.29
-4.450045,12.532778,3.5192761,3.53
-5.4590774,10.40563,3.064225,3.11
-5.6697116,11.947092,3.5879827,3.81
0.89394313,-0.6872023,1.2342148,1.26
1.7558067,-0.80962896,3.2033026,3.63
1.7884301,-0.7737748,2.8304226,2.83
1.7417567,-0.8016694,3.157463,3.19
11.501696,8.274765,2.6011443,2.61
12.0369835,8.234786,2.0338187,1.99
10.484677,7.2557936,3.4269404,2.98
9.893208,8.715304,1.9909338,2.04
-4.3705053,8.204118,0.98332584,1.04
-1.6523728,11.699072,4.0095716,3.98
-2.8302543,12.605221,3.767797,3.58
-5.6996703,10.649134,3.0338943,3.06
-5.5935006,10.619449,3.2080107,3.2
-3.9276984,7.570409,0.6570035,0.67
-6.248893,10.163966,3.287632,3.38
-6.3215747,10.855594,3.7061765,3.68
-5.4583197,12.22864,3.7560253,3.7
-5.2780414,7.88306,1.2332395,1.36
-5.6562047,12.046163,4.3524585,4.36
11.066967,9.059581,1.0172291,0.99
11.402039,8.219172,2.5907207,2.62
10.50173,7.3674483,2.9702234,3.26
13.196427,6.8643184,2.2790592,2.24
9.504983,8.431516,4.2242694,4.33
-5.050087,8.450829,0.4271449,0.43
-4.7909007,10.35026,1.9198961,2.91
-4.9584575,10.930966,3.3393202,3.31
-3.3221755,11.4156685,3.6279263,3.42
-3.6836865,11.384524,3.7603416,3.67
-3.7016468,10.0498905,1.5721596,1.53
-4.332057,12.486307,4.064167,3.96
-4.3803015,12.187464,4.837473,4.87
-5.2547426,7.369467,0.9752592,1.09
-2.2682552,9.076495,2.5331697,2.61
-1.9495945,9.749485,3.5443277,3.48
-1.5727104,11.545655,3.749711,3.59
-4.9937577,7.1956587,1.8582888,1.86
-2.8099442,12.6687,3.3732715,3.38
-3.053315,7.9673977,0.8201963,0.8
-1.7831874,11.538176,4.1973557,4.25
-4.2380214,6.8732233,0.5975392,0.67
-3.4941149,7.042071,0.9541446,0.94
-3.476299,9.616488,1.9805889,2.02
-5.419524,8.6727915,0.75505507,0.84
1.4468809,-1.44236,2.8025773,2.85
0.91484815,-1.0440133,2.0035179,2.0
11.099385,9.06118,1.0638784,1.11
10.607591,7.248358,3.395571,3.38
9.468365,8.381775,3.9604445,4.37
9.198686,8.842138,2.8177843,2.64
2.0359757,-0.21548861,3.78885,3.79
1.6924568,-1.4706047,3.1384149,3.16
2.4451349,-0.32633197,4.905744,4.47
2.1133704,-0.9383159,3.6980581,3.56
2.3761086,-0.3767991,4.6174593,4.31
2.1727884,-0.28147992,3.5676918,3.64
12.771209,8.401032,1.9411745,1.9
12.711778,8.454676,1.93939,1.94
12.918435,8.323071,1.7197264,1.7
12.783179,8.482811,1.6239958,1.55
13.140161,6.8969245,2.228073,2.14
13.1762,6.839798,2.246132,2.17
13.148031,6.9103117,1.9822806,2.08
13.135139,6.825304,1.8539851,1.8
9.19092,8.885056,2.851121,2.68
9.170013,8.8542595,2.7958374,2.74
9.075322,8.907308,2.4126935,2.39
9.119696,8.852723,2.3345308,2.21
-1.8626288,11.403222,4.0071883,4.03
-3.1236262,7.704218,0.39818284,0.55
-3.1938088,9.701303,1.7014002,1.62
-1.7987214,10.586803,3.6401944,3.6
-3.1876674,9.783063,1.8392265,1.78
-4.938664,7.1213436,0.9785178,1.62
-1.628424,11.477783,3.830248,3.85
-2.7738395,11.984275,4.739553,4.93
-2.547045,12.692874,4.18495,4.19
-3.8003132,6.931143,0.48648402,0.5
-1.9762733,11.28486,3.8449683,3.71
-3.418265,7.0401754,0.92307234,0.91
-3.1426728,9.755168,1.7562613,1.69
-3.6401005,6.991845,0.6695671,0.68
-1.6123637,11.614772,4.2273626,4.19
9.862686,7.814889,4.6960855,4.73
-5.376579,7.4705396,0.74293804,0.77
-4.1259828,12.242051,4.1100745,4.09
-5.860743,10.864913,3.3841622,3.26
-3.6553485,7.3256035,0.592824,0.62
11.0789995,7.935142,3.6412516,3.66
-3.9407637,9.930637,1.558981,1.53
-4.119975,9.910485,1.5082544,1.45
-5.365076,7.5406737,0.55529183,0.61
10.834233,7.778829,1.6256409,1.98
-5.512125,7.9323893,0.55318475,0.62
-5.774489,10.73418,3.2111452,3.18
-3.2960446,11.513734,4.1127815,4.07
-3.9268143,7.6477394,0.7571161,0.79
10.966802,9.1414585,1.0649967,1.09
-4.300965,9.524877,2.0205207,1.97
-5.03392,10.802147,3.3609836,3.27
-5.3943844,7.4686046,0.69872665,0.75
-5.3989167,8.329703,0.4406396,0.45
-3.7700233,9.957604,1.6565187,1.59
-4.4678535,9.648223,1.5428439,1.48
10.022953,7.91399,4.867121,4.85
9.713633,7.9080853,4.7801633,4.62
-3.9225671,11.702033,3.8469748,3.8
-5.4072676,7.8845205,0.7200717,0.79
-3.0387251,7.9213514,0.4589419,0.47
-6.301047,10.94202,3.7659335,3.78
-1.6710277,11.056708,3.7028666,3.7
-5.552921,7.98524,0.50807047,0.54
-3.6256437,7.335501,0.54835975,0.58
-3.6305168,7.5046363,0.3841184,0.46
10.9150715,9.126954,1.0761253,1.1
-6.389649,10.696435,3.5980248,3.55
-3.6437032,7.3651557,0.6884601,0.71
-5.9295735,11.590741,4.1339235,4.16
-4.3324485,12.075665,4.652819,4.65
-5.380314,8.4932165,0.4669105,0.49
-3.106787,7.8282385,0.41539833,0.46
10.15421,7.5802913,4.4882884,4.46
-4.210036,12.483421,4.3740125,4.35
-4.4906383,9.726276,1.4421566,1.44
-5.0452332,7.200295,0.880095,0.93
10.575586,8.919176,1.6060297,1.72
2.209531,-1.2178135,3.5013363,3.51
-6.09011,11.34365,3.9033148,3.93
10.366991,8.954843,2.0886152,2.11
-6.022537,11.323738,4.005122,4.02
10.696785,7.815388,3.9412498,3.93
10.211415,7.5094666,4.29819,4.27
-6.047447,10.934752,3.304397,3.29
10.220213,7.4540596,3.8126667,3.78
9.873708,7.7095222,4.582174,4.57
10.183712,7.3498383,4.062218,3.94
-4.2764044,9.513123,1.9478614,1.89
-5.4583154,7.8438287,0.66403043,0.7
-6.387985,10.652297,3.381103,3.32
10.987727,9.129134,1.0463705,1.03
