UMAP1,UMAP2,Predicted Bandgaps,True Bandgaps
7.8835835,6.987724,1.8860219,1.95
8.526839,6.91214,1.818929,1.61
9.313205,7.8148437,1.2967551,1.31
7.82986,7.03231,1.9155371,1.58
8.35412,7.156593,1.5703244,1.26
9.115227,8.192745,0.9311027,0.88
10.55957,5.6802425,1.7966366,1.85
9.101871,4.787936,1.9933252,1.97
6.6057415,5.8091125,2.5037136,2.53
-5.197185,5.465175,1.0819955,1.05
-5.163695,4.870593,0.87588847,0.77
-5.09544,3.605438,0.73206735,0.64
-5.399773,5.367649,1.0280364,1.03
-5.1960387,4.7389836,0.6441234,0.63
-5.1477723,3.7868197,0.5828308,0.48
2.16009,5.463702,2.1634688,2.21
1.8484266,5.2864137,1.782099,1.77
1.8286022,4.760041,1.5342457,1.48
11.359838,-2.4551063,1.068364,1.05
10.176685,-2.0980062,2.2066536,2.11
10.467902,-2.2795417,1.9170632,1.94
11.330358,-1.9245046,3.2841356,3.21
12.594041,-2.2419384,4.0146084,4.02
12.723059,-2.742069,4.52275,4.56
11.484453,-1.7816986,3.29625,3.3
12.6229515,-2.178706,4.117181,4.16
11.595626,-1.637485,3.4384859,3.44
12.520291,-2.1743252,4.2197948,4.23
10.070644,6.8064594,3.3105657,3.77
8.7365055,6.3128705,4.1470127,4.24
7.735288,6.2242823,4.854404,4.91
9.601679,7.298944,3.472213,3.76
8.479627,6.596602,4.2001104,4.31
7.7786365,6.415769,5.097149,5.11
9.451999,7.3752437,3.5950341,3.6
8.652213,6.7876067,4.3226566,4.37
7.726244,6.6251326,5.208259,5.25
1.8602163,3.08793,3.5294807,3.51
0.7482025,1.9860357,3.995763,4
0.9708219,3.0290756,4.379852,4.67
0.6815454,2.4794908,3.5394204,3.61
0.508363,1.8211948,4.175694,4.17
0.57352656,3.0104373,4.801374,4.94
0.16979113,2.3940156,3.7142308,3.71
0.33614853,1.8964106,4.411063,4.4
0.20406124,2.902491,5.2097607,5.37
-2.4223936,3.1392117,3.3463075,3.23
-0.7459207,5.089516,3.6988657,3.72
-1.6570039,4.092512,4.186201,4.34
-2.3871,2.963413,3.3158014,3.33
-0.73058784,4.8524327,3.7857473,3.88
-1.2122936,4.059859,4.433533,4.61
-1.5140189,2.9552498,3.4670367,3.44
-0.75599706,4.434159,4.052025,4.08
-1.0647138,3.6227674,4.9505634,4.95
-4.701836,3.4848034,0.6195123,0.58
-4.4280796,5.233253,0.69502336,0.68
-4.652929,5.7271414,1.0027711,0.97
-4.9048386,3.7277777,0.46924534,0.41
-4.547122,5.0068717,0.59504986,0.57
-4.800577,5.354876,0.9858058,0.92
1.4037237,4.964566,1.4496684,1.46
1.5749669,5.467518,1.7636511,1.75
2.2816017,5.581195,2.160579,2.18
-3.157425,3.04017,3.118337,3.08
-1.2105536,5.8848696,3.6167173,3.57
-1.7291515,4.568947,4.1598377,4.17
-3.4551883,3.0015051,3.1615536,3.17
-1.3748568,5.771911,3.681338,3.71
-1.717172,4.807797,4.373566,4.42
-3.6132872,2.7756433,3.2392523,3.26
-1.5202538,5.49148,3.8520906,3.91
-1.8682665,5.0624623,4.7854233,4.75
-4.3243947,3.4531531,0.5458171,0.54
-3.9315882,5.2714868,0.6472335,0.62
-4.2371864,5.87948,0.9207639,0.9
-4.0397134,3.250248,0.39352977,0.37
-4.0890293,5.2030573,0.54376614,0.53
-4.219863,5.5495224,0.85466343,0.88
0.7569201,5.323381,1.4549468,1.45
0.46070266,5.629876,1.7050986,1.74
0.31022727,5.7352257,2.1444619,2.18
