HD1_l1,HD1_l2,HD1_l3,HD1_l4,HD1_l5,HD1_l6,HD1_l7,HD1_l8,HD1_l9,HD1_l10,A_ion_K,A_ion_Rb,A_ion_Cs,A_ion_MA,A_ion_FA,B_ion_Ca,B_ion_Sr,B_ion_Ba,B_ion_Ge,B_ion_Sn,B_ion_Pb,X_ion_Cl,X_ion_Br,X_ion_I,Pred_Bandgap
0.07784669,0.08697422,0.73,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834141,0.00022709018,0.008934702,0.00018939924,0.99046046,0.017310625,0.09543726,0.04645254,0.03078294,0.0098580355,0.80015856,0.6274679,0.37167642,0.0008557244,4.0018997
0.07784669,0.08697422,0.74,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834164,0.00022710215,0.008933431,0.0001893993,0.99046165,0.017455675,0.10066622,0.047537234,0.031191105,0.009925034,0.7932247,0.62760216,0.37154794,0.0008498451,4.014789
0.07784669,0.08697422,0.75,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834152,0.00022711392,0.008932156,0.00018939919,0.99046296,0.017595265,0.10614137,0.04862881,0.031592704,0.009988699,0.7860532,0.62773657,0.37141943,0.0008440056,4.0276785
0.07784669,0.08697422,0.76,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834122,0.00022712548,0.0089308685,0.00018939888,0.9904642,0.017728968,0.111870214,0.049725823,0.03198684,0.010048804,0.77863926,0.62787086,0.37129095,0.0008382068,4.040568
0.07784669,0.08697422,0.77,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834129,0.00022713747,0.008929603,0.00018939895,0.9904655,0.017856391,0.117859945,0.0508268,0.032372665,0.010105139,0.7709791,0.62800515,0.37116244,0.00083244697,4.055234
0.07784669,0.08697422,0.78,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834118,0.00022714946,0.008928323,0.00018939884,0.9904668,0.017977053,0.124117546,0.051929984,0.03274916,0.010157454,0.7630688,0.6281393,0.37103394,0.00082672655,4.0706253
0.07784669,0.08697422,0.79,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834106,0.00022716101,0.00892705,0.00018939872,0.9904681,0.018090526,0.13064948,0.053033646,0.033115365,0.010205521,0.7549055,0.6282735,0.37090546,0.0008210462,4.0860167
0.07784669,0.08697422,0.8,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834112,0.00022717302,0.008925781,0.0001893988,0.9904694,0.018196322,0.13746186,0.054135803,0.03347025,0.010249095,0.7464867,0.62840766,0.37077698,0.000815404,4.101408
0.07784669,0.08697422,0.81,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834083,0.00022718457,0.008924497,0.00018939849,0.99047065,0.018294051,0.14456071,0.055234626,0.033812873,0.010287966,0.73780984,0.6285417,0.37064847,0.0008098008,4.1167994
0.07784669,0.08697422,0.82,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834071,0.00022719656,0.00892322,0.00018939839,0.99047196,0.018383218,0.15195093,0.056327906,0.03414213,0.01032188,0.728874,0.62867576,0.37052003,0.0008042357,4.1321907
0.07784669,0.08697422,0.83,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834056,0.00022720832,0.008921946,0.00018939823,0.9904731,0.018463353,0.15963736,0.0574134,0.034456916,0.010350602,0.7196784,0.6288098,0.37039152,0.00079870917,4.147582
0.07784669,0.08697422,0.84,0.79633397,0.4325521,0.16384852,0.8853794,-0.93312305,0.5388192,0.9834179,0.00018834046,0.00022721989,0.008920669,0.00018939812,0.9904744,0.018534062,0.16762401,0.05848896,0.034756288,0.010373932,0.7102228,0.62894374,0.37026304,0.0007932204,4.1629734
