HD1_l1,HD1_l2,HD1_l3,HD1_l4,HD1_l5,HD1_l6,HD1_l7,HD1_l8,HD1_l9,HD1_l10,A_ion_K,A_ion_Rb,A_ion_Cs,A_ion_MA,A_ion_FA,B_ion_Ca,B_ion_Sr,B_ion_Ba,B_ion_Ge,B_ion_Sn,B_ion_Pb,X_ion_Cl,X_ion_Br,X_ion_I,Pred_Bandgap
0.5479121,-0.12224312,0.71719587,0.39473605,-0.8116453,0.9512447,0.5222794,0.5721286,-0.74377275,-0.09922812,0.9683271,0.0008523635,0.00076468167,0.0007635435,0.0292923,0.016968874,0.0015289503,0.0012710245,0.97909534,0.00064168393,0.0004940946,0.33632424,0.6407264,0.022949275,2.3967917
-0.25840396,0.85353,0.28773025,0.64552325,-0.1131716,-0.5455226,0.10916957,-0.8723655,0.65526235,0.2633288,0.008480464,0.061637938,0.5565012,0.008502175,0.36487818,0.010171429,0.0004186817,0.7221251,0.00508498,0.10282091,0.15937893,0.9965533,0.00013808497,0.0033086,3.2138762
0.5161755,-0.29094806,0.94139606,0.78624225,0.556767,-0.6107226,-0.066557996,-0.9123925,-0.69142103,0.3660979,0.031907607,0.008113155,0.00050049496,0.95811915,0.0013595655,0.0013202803,0.00045612478,0.93890804,0.0028045787,0.0007753485,0.055735618,0.45755315,0.5420722,0.00037463947,4.1767716
0.4895243,0.9350195,-0.34834927,-0.2590806,-0.060888376,-0.6210573,-0.740157,-0.048590146,-0.5461813,0.33962798,0.38516214,0.53380233,0.0055015567,0.07004297,0.005490995,0.0075963996,0.00039929646,0.47172967,0.01328319,0.155201,0.35179052,0.5819963,6.0618163e-06,0.41799766,1.7643416
-0.12569617,0.6653564,0.4005302,-0.37526673,0.6645196,0.6095287,-0.22504324,-0.42334378,0.364991,-0.72049505,0.0037280945,0.041225728,0.89142275,0.057398945,0.006224409,0.8353949,0.011841563,0.024526333,0.05970977,0.02318682,0.045340642,0.5673674,4.9015416e-05,0.43258363,2.5142674
-0.6001836,-0.98527545,0.5738488,0.32970172,0.41033074,0.56145805,-0.08216845,0.13748239,-0.720406,-0.7709398,0.05514983,0.013809189,0.0007131706,0.9296187,0.0007091221,0.975686,0.0015494387,0.007130164,0.0035208722,0.004107464,0.008005975,0.0016386656,0.98676425,0.011597068,3.4032476
0.3368059,-0.057807587,0.13047221,0.5299977,0.26943663,0.1071588,0.11841432,-0.3920998,-0.9383643,-0.12656522,0.31681886,0.0019849136,0.0005102246,0.6790907,0.0015953495,0.06003826,0.0628175,0.06314321,0.39351693,0.08107151,0.33941266,0.5278535,0.46520635,0.0069402037,2.3069885
-0.57083064,-0.18294272,0.7068061,-0.532121,-0.88339454,-0.43723223,-0.41281247,0.32383302,0.114064306,0.5677964,0.014044336,0.96766424,0.0050624814,0.0050509223,0.008177954,0.009900983,0.48637113,0.44359222,0.0051600696,0.01762058,0.037355117,0.011403056,0.5029787,0.48561826,3.4528253
0.32862708,-0.18722628,0.6280408,-0.6660542,-0.95457584,-0.81990427,0.4447187,-0.07624554,-0.67745644,0.0020895503,0.967967,0.0010381793,0.0009352792,0.0009337752,0.029125882,0.0035479919,0.0012215931,0.8750342,0.0027276839,0.075725265,0.041743346,0.00014861714,0.31729043,0.68256104,1.9213576
-0.6953758,0.39264074,-0.10768745,-0.23795755,-0.39697582,0.2605652,-0.2763748,-0.8247002,-0.7639882,0.92379534,0.98019373,0.012592191,0.0012079946,0.004288905,0.0017172503,0.42884097,0.0015313808,0.008674052,0.0016390656,0.0037059314,0.5556086,0.53693014,0.0029112592,0.46015862,2.615509
0.8171614,0.39941427,-0.46826008,0.93835276,0.5575018,0.43378037,-0.101276994,-0.45551687,-0.8072181,0.8052048,0.050884295,0.004199254,0.00030677704,0.9436886,0.0009210691,0.0047172466,0.0049776775,0.0032639909,0.60070753,0.0030196828,0.38331386,0.74115634,0.25837868,0.00046497138,2.5291288
-0.08844742,-0.59527326,-0.38808677,0.15843914,-0.64645445,0.7132286,0.51703906,0.43892592,-0.13581392,0.2546177,0.07000018,0.0682606,0.0066457163,0.00666736,0.8484261,0.87374353,0.00015729901,0.0059913048,0.04242301,0.017773338,0.059911463,0.003219098,0.7800132,0.21676765,0.9425816
0.16819593,0.2996932,-0.8311114,-0.1683852,-0.91677165,-0.012018361,-0.34027758,-0.7109516,-0.79319406,0.17528914,0.9957528,0.0030022939,0.00041613154,0.0004130958,0.00041556996,0.010815871,0.004278986,0.007449753,0.006654501,0.53842944,0.43237147,0.5126985,0.021671714,0.46562985,0.7524822
-0.6588141,0.85024023,0.16212228,-0.30626038,0.18183099,-0.95439225,0.91711843,-0.035393126,0.56547046,-0.83454,0.0007834135,0.00026047233,0.23295301,0.0007873584,0.76521575,0.003132919,0.000106157,0.26520643,0.0021199898,0.6969992,0.032435335,0.5799561,8.123798e-06,0.42003572,1.9475543
