UMAP1,UMAP2,Predicted Binding Energy
-0.008482864,7.957664,55.45
0.09845236,7.9381814,46.19
0.4092072,7.881756,37.83
1.0283108,7.826864,30.44
1.419024,7.847509,23.06
1.605027,7.8775597,17.27
0.03295775,7.975325,52.54
0.16715018,7.9647813,43.29
0.49842647,7.899425,35.14
1.1470348,7.8605404,27.75
1.5107541,7.8372154,20.81
1.6914144,7.8967113,15.5
0.26189893,8.062244,49.64
0.42623067,8.049957,40.39
0.7686156,7.9988327,32.45
1.3667749,7.9848604,25.06
1.7913878,8.008271,18.84
1.9711105,8.073442,14.26
0.55366373,8.147831,46.74
0.66715527,8.149314,37.48
1.0492767,8.117592,29.76
1.6778171,8.162684,22.52
2.0998983,8.185075,17.48
2.2782228,8.245786,13.75
0.834209,8.304182,43.83
0.968506,8.303375,34.58
1.3651046,8.269102,27.17
1.9261947,8.345721,20.73
2.4049137,8.403292,16.77
2.6583583,8.416739,14.03
0.93628794,8.314704,40.93
1.1314746,8.315895,31.84
1.4502331,8.3627405,24.8
2.1309419,8.459451,19.94
2.560934,8.45555,16.26
2.7932162,8.606771,14.51
0.06629222,8.048359,52.17
0.1733546,8.025852,42.92
0.4973334,7.940028,34.57
1.1159145,7.8925214,27.19
1.5022937,7.9012637,20.13
1.6787357,7.8632927,14.17
0.13197112,8.073804,49.27
0.25248024,8.052957,40.02
0.5903002,7.935066,31.88
1.2898296,7.915446,24.54
1.6155045,7.937089,17.71
1.7869341,7.9564314,12.64
0.34147802,8.1638,46.37
0.5002906,8.139862,37.11
0.8542436,8.052623,29.19
1.4581115,8.0616665,22.02
1.9252086,8.09887,15.81
2.0825217,8.144088,11.92
0.6138994,8.270664,43.46
0.76287055,8.258234,34.21
1.1294839,8.221929,26.5
1.7319506,8.269593,19.72
2.2455993,8.310384,14.58
2.404904,8.375557,12.03
0.92471105,8.414224,40.56
1.033853,8.391955,31.3
1.3994814,8.395435,24.12
2.0741532,8.455416,17.83
2.5046213,8.596268,14.25
2.7793274,8.578077,12.52
1.0408733,8.4325695,37.66
1.2017064,8.447362,28.69
1.4989653,8.48029,22.05
2.1987414,8.539571,17.05
2.706393,8.610834,14.35
2.8833094,8.669457,13.0
0.1892263,8.221706,48.9
0.26758176,8.190228,39.65
0.66814876,8.118064,31.32
1.3858082,8.099795,24.17
1.7578075,8.082089,17.23
1.8641509,8.04087,11.74
0.28182036,8.273453,46.0
0.35111898,8.232137,36.74
0.7526545,8.186565,28.63
1.5072259,8.176514,21.65
1.9073241,8.1483965,14.94
2.0501845,8.179692,10.3
0.50865555,8.354871,43.09
0.6270071,8.32626,33.84
1.107602,8.2955675,26.06
1.6844796,8.292281,19.18
2.1631021,8.315822,13.21
2.259779,8.340995,10.04
0.8226835,8.491867,40.19
0.9251357,8.472586,30.93
1.3600557,8.49978,23.57
2.0469015,8.489846,16.93
2.5310392,8.551067,12.42
2.726432,8.582978,10.52
1.1548208,8.608867,37.29
1.2628086,8.643046,28.06
1.5906218,8.682546,21.32
2.3338294,8.721542,15.34
2.7904155,8.779231,12.38
3.0595682,8.818283,11.01
1.18824,8.714689,34.38
1.3718767,8.71918,25.72
1.7294967,8.726195,19.39
2.5018392,8.849018,14.76
2.9777336,8.879445,12.84
