UMAP1,UMAP2,Predicted Binding Energy,True Binding Energy
-2.8536913,-1.3423284,38.40765,41.31
7.554284,-1.41852,38.903126,41.2
13.382308,10.6195135,39.616013,41.03
7.7658195,-0.8690696,41.226376,40.97
7.882619,-0.88658243,40.65929,40.66
13.442887,10.723242,38.48995,40.59
-3.1677253,-0.932021,40.468357,40.36
7.564682,-0.884155,40.356358,40.27
7.5828834,-1.2339581,39.834618,39.86
13.77164,10.922045,38.050854,39.52
8.216264,-1.3541952,39.49373,39.25
7.6965394,-0.90862125,39.558926,39.24
-2.9798462,-1.1482906,38.221073,38.38
8.1324415,-1.619065,38.44546,38.32
8.1628,-1.4215435,38.574284,38.29
7.71531,-1.5789183,38.987926,38.2
-3.2082136,-0.9834649,38.6834,38.1
7.6752515,-1.0319291,40.189533,37.88
13.959489,10.991284,37.901554,37.85
-3.104906,-1.1618346,36.963913,37.83
13.549492,10.512029,38.838593,37.79
7.583979,-1.4657884,38.170086,37.77
7.8937488,-1.7143545,38.009583,37.68
8.344206,-1.3255728,38.172558,37.61
7.63279,-1.185451,38.443157,37.58
14.32594,11.03592,37.21947,37.49
-1.8176652,-2.2786803,33.787273,37.49
-1.9053805,-2.126697,34.60084,37.34
14.395277,11.029192,36.237476,37.2
13.578513,10.738791,38.726036,37.15
13.581938,10.746493,37.709587,37.14
8.064082,-1.7008348,37.466747,37.08
7.9840584,-1.142098,39.623737,37.0
-1.955746,-2.1948628,35.24158,36.95
7.6086507,-1.2130858,37.359447,36.87
7.636856,-1.609028,38.06574,36.83
-2.8152668,-1.6159893,36.036213,36.74
-3.0491998,-1.4453945,37.522297,36.73
14.104624,10.935756,36.884495,36.45
14.378069,11.333322,37.410892,36.41
7.9291506,-1.4097164,38.129395,36.41
14.184172,10.745836,36.690804,36.37
14.1368265,11.355026,37.01349,36.32
-2.5870855,-1.474807,36.335033,36.1
14.493353,11.421662,36.516613,36.03
13.76822,10.730386,37.903416,36.0
14.081146,10.773741,36.183342,35.99
14.313619,11.482393,35.34247,35.97
14.473555,11.262516,36.420662,35.64
-2.6657293,-1.5233877,35.84157,35.6
14.176236,11.245977,36.20624,35.3
14.328222,10.653739,35.340214,34.31
-1.8979445,-2.1676714,35.962795,34.29
-2.5060756,-1.5620356,34.022915,33.83
-2.8182828,-1.7341679,35.69343,33.76
-2.5642817,-1.8302916,34.112682,33.72
-2.0769916,-2.0862463,34.19711,32.75
-1.7218759,-2.3368618,33.92391,32.19
-2.760901,-1.7406297,34.604153,31.76
-2.3917499,-1.6855506,34.21253,29.99
-3.343337,-0.29480007,22.838566,22.95
-2.762518,-0.4195833,21.344973,22.26
8.103492,0.3929002,21.58029,22.17
-3.181349,-0.4145265,19.290771,22.12
-2.653086,-0.41735107,20.645464,21.92
12.7275305,11.419243,21.417185,21.92
12.382847,10.92831,21.305773,21.91
8.089865,0.6178857,21.815336,21.57
8.783678,-0.304644,21.02831,21.5
8.196868,0.07945545,21.204367,21.46
8.474218,0.6258721,21.258045,21.43
12.812186,11.188488,21.086134,21.23
8.496668,0.1332135,21.580238,21.2
12.336461,11.165115,21.058855,20.98
8.707522,0.14709495,20.980412,20.85
12.999045,12.088765,20.938498,20.85
9.098348,-0.3045693,20.81188,20.81
-3.2342935,-0.4182418,20.945204,20.71
12.456779,10.7444515,21.256014,20.69
9.150151,0.67112285,20.165625,20.6
9.020405,0.19417994,20.705797,20.54
13.548324,12.277976,20.93944,20.49
9.143986,-0.8291492,20.068903,20.48
13.226124,11.694094,20.17317,20.47
14.363801,12.532902,20.116732,20.46
7.834733,0.2289185,21.52254,20.44
9.140791,-1.3537251,20.794184,20.34
12.3993635,12.206054,19.922081,20.26
-1.824415,0.42514005,20.096918,20.08
9.4571905,-0.53404456,20.354502,20.03
13.371753,12.365869,20.146734,19.99
9.147552,-1.0807414,20.191832,19.96
12.439921,10.744635,21.742542,19.96
8.985241,0.6419106,20.46009,19.93
-2.1692524,-0.18090375,19.722366,19.91
12.327646,12.51427,19.9328,19.73
9.0569,-0.47695133,20.372873,19.67
9.152814,-1.0716487,19.591997,19.61
12.791367,12.44159,19.64321,19.56
-1.3304098,-2.3965433,18.046432,19.54
-3.1605713,-0.50266343,20.33903,19.46
14.309763,12.610968,19.264944,19.14
9.541701,-0.022297733,20.003103,19.07
-1.1401107,-2.2198796,17.056383,19.06
13.636304,12.403856,20.292482,18.8
-2.2370589,-0.3248245,18.80763,18.74
12.452407,12.252574,18.707922,18.57
14.06866,12.55733,18.975533,18.42
-1.6788759,0.3770016,18.313797,18.39
9.281219,-1.2562888,20.155045,18.34
-1.8431824,-0.38501343,19.171595,18.29
-1.5509467,-0.2549648,17.693203,18.17
12.282302,12.50194,18.352613,17.68
-2.0409198,-0.30991805,17.467604,17.59
-1.997974,-0.07523041,18.091887,17.13
12.906584,12.631907,18.801985,16.99
-1.2455798,-1.9422097,17.458158,16.84
-2.8295329,-0.085166,15.505078,16.57
-1.0195265,-1.9944043,16.43827,16.28
-1.077189,-2.5819507,16.68172,15.96
12.133756,10.772351,15.638337,15.87
8.066432,0.6462428,15.859112,15.83
9.290459,0.5926795,15.178831,15.63
9.068176,-0.16310944,14.922236,15.56
12.249384,10.952685,15.484285,15.52
-2.0006642,0.4137839,15.258912,15.3
9.108237,0.50394285,15.187624,15.25
14.191166,12.784643,15.097707,15.14
8.470297,0.662786,15.57047,15.12
7.967268,0.41299358,15.2320595,15.08
-3.4094906,-0.18156739,13.207967,14.99
12.659445,11.208355,15.232497,14.97
9.419638,-1.4281546,14.334557,14.89
-1.0203662,-2.3406146,15.399149,14.87
-3.468115,-0.116966486,15.78409,14.85
14.079577,12.683761,15.252058,14.79
9.512117,-0.5528405,14.151975,14.77
13.104541,11.771959,14.74754,14.65
-1.6347861,0.31082037,13.423999,14.56
12.163865,12.328959,14.437158,14.45
-0.99344206,-2.4774578,13.182166,14.45
9.483839,-0.109459445,14.429658,14.37
-2.7819917,-0.28063744,13.790269,14.2
13.743511,12.70545,14.373578,14.17
8.10148,0.5930041,14.125909,14.16
14.1522255,12.791173,13.825607,14.01
-3.289043,-0.2821324,14.560259,13.97
9.565865,-1.2066494,13.889275,13.96
8.504406,0.5101686,13.921245,13.91
12.199993,10.901131,13.8613,13.9
9.215118,0.4473994,13.519458,13.78
12.622317,11.294121,13.722053,13.66
12.896517,11.805608,13.418646,13.61
12.096162,12.260471,11.93322,13.58
8.561194,0.82336557,12.892552,13.49
12.23135,12.459659,13.525077,13.49
-1.7683672,0.25967476,12.474694,13.45
-3.2460387,-0.18958278,12.715146,13.43
8.144684,0.6463896,13.257573,13.42
-1.9038882,-0.2767552,14.165153,13.4
11.999062,10.674057,13.550649,13.36
14.27883,12.9082775,12.984106,13.26
8.022054,0.34341714,13.0301075,13.24
-3.215066,-0.37701517,13.000957,13.19
-2.0103004,-0.40612274,12.956668,13.14
11.99719,10.749792,13.028153,13.11
-1.8181531,0.31436598,13.856571,13.08
9.520955,0.090187885,11.871542,13.06
