value,method
13.750000000000002,NestedHD
13.750000000000002,NestedHD
25.833333333333336,NestedHD
17.916666666666668,NestedHD
12.5,NestedHD
20.833333333333336,NestedHD
23.75,NestedHD
20.833333333333336,NestedHD
24.583333333333332,NestedHD
17.083333333333332,NestedHD
14.166666666666666,NestedHD
15.0,NestedHD
11.666666666666666,NestedHD
12.5,NestedHD
19.583333333333332,NestedHD
25.0,NestedHD
15.0,NestedHD
11.25,NestedHD
21.666666666666668,NestedHD
17.083333333333332,NestedHD
25.833333333333336,NestedHD
24.583333333333332,NestedHD
10.833333333333334,NestedHD
21.666666666666668,NestedHD
15.833333333333332,NestedHD
10.833333333333334,NestedHD
17.5,NestedHD
17.5,NestedHD
17.916666666666668,NestedHD
10.833333333333334,NestedHD
11.666666666666666,NestedHD
14.166666666666666,NestedHD
24.166666666666668,NestedHD
22.916666666666664,NestedHD
14.583333333333334,NestedHD
21.666666666666668,NestedHD
20.0,NestedHD
13.750000000000002,NestedHD
15.416666666666668,NestedHD
11.25,NestedHD
20.416666666666668,NestedHD
16.666666666666664,NestedHD
19.583333333333332,NestedHD
24.583333333333332,NestedHD
22.083333333333332,NestedHD
23.333333333333332,NestedHD
22.916666666666664,NestedHD
16.666666666666664,NestedHD
12.5,NestedHD
12.916666666666668,NestedHD
19.583333333333332,NestedHD
14.583333333333334,NestedHD
23.333333333333332,NestedHD
15.416666666666668,NestedHD
22.5,NestedHD
20.0,NestedHD
13.750000000000002,NestedHD
16.666666666666664,NestedHD
12.5,NestedHD
23.75,NestedHD
19.583333333333332,NestedHD
19.583333333333332,NestedHD
23.333333333333332,NestedHD
16.25,NestedHD
17.916666666666668,NestedHD
18.75,NestedHD
20.416666666666668,NestedHD
10.833333333333334,NestedHD
15.416666666666668,NestedHD
22.916666666666664,NestedHD
17.5,NestedHD
12.083333333333334,NestedHD
12.5,NestedHD
20.0,NestedHD
11.666666666666666,NestedHD
23.333333333333332,NestedHD
12.083333333333334,NestedHD
11.25,NestedHD
18.75,NestedHD
20.833333333333336,NestedHD
21.666666666666668,NestedHD
26.25,NestedHD
14.166666666666666,NestedHD
18.75,NestedHD
11.25,NestedHD
23.75,NestedHD
14.166666666666666,NestedHD
14.583333333333334,NestedHD
18.333333333333332,NestedHD
15.833333333333332,NestedHD
14.166666666666666,NestedHD
14.166666666666666,NestedHD
18.75,NestedHD
11.25,NestedHD
15.416666666666668,NestedHD
15.833333333333332,NestedHD
18.75,NestedHD
14.166666666666666,NestedHD
22.5,NestedHD
17.083333333333332,NestedHD
16.25,NestedHD
19.166666666666668,NestedHD
16.666666666666664,NestedHD
18.75,NestedHD
20.833333333333336,NestedHD
12.5,NestedHD
15.416666666666668,NestedHD
15.833333333333332,NestedHD
12.916666666666668,NestedHD
21.25,NestedHD
14.166666666666666,NestedHD
21.666666666666668,NestedHD
21.666666666666668,NestedHD
22.916666666666664,NestedHD
20.416666666666668,NestedHD
19.166666666666668,NestedHD
13.750000000000002,NestedHD
15.833333333333332,NestedHD
12.916666666666668,NestedHD
23.75,NestedHD
20.416666666666668,NestedHD
20.416666666666668,NestedHD
11.666666666666666,NestedHD
22.5,NestedHD
10.833333333333334,NestedHD
13.333333333333334,NestedHD
21.666666666666668,NestedHD
17.083333333333332,NestedHD
22.5,NestedHD
24.166666666666668,NestedHD
14.166666666666666,NestedHD
22.083333333333332,NestedHD
24.166666666666668,NestedHD
23.333333333333332,NestedHD
19.166666666666668,NestedHD
15.833333333333332,NestedHD
12.5,NestedHD
25.833333333333336,NestedHD
15.0,NestedHD
26.25,NestedHD
11.25,NestedHD
15.833333333333332,NestedHD
19.166666666666668,NestedHD
11.25,NestedHD
11.25,NestedHD
14.166666666666666,NestedHD
21.25,NestedHD
11.666666666666666,NestedHD
17.916666666666668,NestedHD
20.416666666666668,NestedHD
27.916666666666668,NestedHD
11.666666666666666,NestedHD
25.416666666666664,NestedHD
22.083333333333332,NestedHD
11.666666666666666,NestedHD
22.083333333333332,NestedHD
24.166666666666668,NestedHD
25.0,NestedHD
19.583333333333332,NestedHD
14.166666666666666,NestedHD
21.666666666666668,NestedHD
12.5,NestedHD
19.583333333333332,NestedHD
19.166666666666668,NestedHD
15.833333333333332,NestedHD
12.083333333333334,NestedHD
16.25,NestedHD
20.416666666666668,NestedHD
15.833333333333332,NestedHD
21.25,NestedHD
20.833333333333336,NestedHD
15.0,NestedHD
13.333333333333334,NestedHD
23.333333333333332,NestedHD
14.583333333333334,NestedHD
18.75,NestedHD
13.333333333333334,NestedHD
17.5,NestedHD
12.916666666666668,NestedHD
15.833333333333332,NestedHD
12.083333333333334,NestedHD
12.916666666666668,NestedHD
10.416666666666668,NestedHD
17.916666666666668,NestedHD
23.75,NestedHD
17.5,NestedHD
15.833333333333332,NestedHD
17.5,NestedHD
24.583333333333332,NestedHD
14.583333333333334,NestedHD
20.833333333333336,NestedHD
11.25,NestedHD
11.666666666666666,NestedHD
11.25,NestedHD
21.25,NestedHD
22.916666666666664,NestedHD
11.25,NestedHD
12.5,NestedHD
13.750000000000002,NestedHD
14.583333333333334,NestedHD
