value,method
25.0,NestedHD
22.5,NestedHD
22.916666666666664,NestedHD
23.333333333333332,NestedHD
20.416666666666668,NestedHD
22.083333333333332,NestedHD
27.916666666666668,NestedHD
26.25,NestedHD
27.500000000000004,NestedHD
21.25,NestedHD
30.833333333333336,NestedHD
27.500000000000004,NestedHD
25.0,NestedHD
22.916666666666664,NestedHD
30.833333333333336,NestedHD
28.333333333333332,NestedHD
26.666666666666668,NestedHD
23.75,NestedHD
29.166666666666668,NestedHD
22.5,NestedHD
22.083333333333332,NestedHD
25.416666666666664,NestedHD
23.333333333333332,NestedHD
26.25,NestedHD
28.333333333333332,NestedHD
22.083333333333332,NestedHD
25.0,NestedHD
23.333333333333332,NestedHD
28.333333333333332,NestedHD
22.083333333333332,NestedHD
23.333333333333332,NestedHD
27.083333333333332,NestedHD
23.333333333333332,NestedHD
23.333333333333332,NestedHD
21.25,NestedHD
25.0,NestedHD
23.333333333333332,NestedHD
32.5,NestedHD
23.75,NestedHD
23.75,NestedHD
25.0,NestedHD
26.666666666666668,NestedHD
26.666666666666668,NestedHD
25.416666666666664,NestedHD
23.333333333333332,NestedHD
27.500000000000004,NestedHD
24.583333333333332,NestedHD
23.75,NestedHD
27.916666666666668,NestedHD
27.500000000000004,NestedHD
13.750000000000002,NestedHD
28.333333333333332,NestedHD
22.916666666666664,NestedHD
27.916666666666668,NestedHD
26.666666666666668,NestedHD
25.0,NestedHD
22.5,NestedHD
23.75,NestedHD
21.666666666666668,NestedHD
23.333333333333332,NestedHD
25.833333333333336,NestedHD
26.666666666666668,NestedHD
27.500000000000004,NestedHD
23.333333333333332,NestedHD
24.166666666666668,NestedHD
21.25,NestedHD
27.500000000000004,NestedHD
22.5,NestedHD
23.75,NestedHD
23.75,NestedHD
23.333333333333332,NestedHD
21.666666666666668,NestedHD
23.333333333333332,NestedHD
27.916666666666668,NestedHD
22.916666666666664,NestedHD
22.916666666666664,NestedHD
24.166666666666668,NestedHD
24.583333333333332,NestedHD
27.500000000000004,NestedHD
25.833333333333336,NestedHD
29.166666666666668,NestedHD
29.166666666666668,NestedHD
27.500000000000004,NestedHD
25.416666666666664,NestedHD
22.083333333333332,NestedHD
24.166666666666668,NestedHD
23.333333333333332,NestedHD
32.083333333333336,NestedHD
27.916666666666668,NestedHD
25.0,NestedHD
25.0,NestedHD
23.333333333333332,NestedHD
30.833333333333336,NestedHD
27.916666666666668,NestedHD
25.833333333333336,NestedHD
31.666666666666664,NestedHD
28.333333333333332,NestedHD
27.500000000000004,NestedHD
21.666666666666668,NestedHD
25.0,NestedHD
23.333333333333332,NestedHD
22.5,NestedHD
28.333333333333332,NestedHD
22.083333333333332,NestedHD
23.75,NestedHD
26.25,NestedHD
25.0,NestedHD
32.083333333333336,NestedHD
22.083333333333332,NestedHD
27.500000000000004,NestedHD
23.333333333333332,NestedHD
23.75,NestedHD
25.0,NestedHD
26.666666666666668,NestedHD
25.416666666666664,NestedHD
27.500000000000004,NestedHD
23.333333333333332,NestedHD
21.25,NestedHD
21.666666666666668,NestedHD
29.166666666666668,NestedHD
22.916666666666664,NestedHD
23.75,NestedHD
23.333333333333332,NestedHD
22.916666666666664,NestedHD
22.083333333333332,NestedHD
22.916666666666664,NestedHD
27.916666666666668,NestedHD
26.666666666666668,NestedHD
23.333333333333332,NestedHD
28.333333333333332,NestedHD
23.333333333333332,NestedHD
25.833333333333336,NestedHD
22.916666666666664,NestedHD
24.166666666666668,NestedHD
27.500000000000004,NestedHD
25.0,NestedHD
23.333333333333332,NestedHD
22.5,NestedHD
22.5,NestedHD
23.333333333333332,NestedHD
23.75,NestedHD
23.333333333333332,NestedHD
27.500000000000004,NestedHD
23.75,NestedHD
23.75,NestedHD
22.083333333333332,NestedHD
28.333333333333332,NestedHD
22.916666666666664,NestedHD
31.666666666666664,NestedHD
24.166666666666668,NestedHD
28.333333333333332,NestedHD
23.333333333333332,NestedHD
22.083333333333332,NestedHD
23.333333333333332,NestedHD
24.583333333333332,NestedHD
25.833333333333336,NestedHD
25.0,NestedHD
25.0,NestedHD
25.833333333333336,NestedHD
27.500000000000004,NestedHD
25.416666666666664,NestedHD
27.916666666666668,NestedHD
30.0,NestedHD
27.500000000000004,NestedHD
21.25,NestedHD
21.25,NestedHD
29.583333333333332,NestedHD
24.166666666666668,NestedHD
23.75,NestedHD
25.0,NestedHD
24.166666666666668,NestedHD
22.5,NestedHD
25.0,NestedHD
27.500000000000004,NestedHD
30.416666666666664,NestedHD
28.749999999999996,NestedHD
30.0,NestedHD
27.500000000000004,NestedHD
27.916666666666668,NestedHD
25.416666666666664,NestedHD
18.75,NestedHD
25.0,NestedHD
27.083333333333332,NestedHD
25.833333333333336,NestedHD
27.916666666666668,NestedHD
21.25,NestedHD
22.5,NestedHD
22.5,NestedHD
28.333333333333332,NestedHD
22.5,NestedHD
27.916666666666668,NestedHD
24.583333333333332,NestedHD
22.083333333333332,NestedHD
23.75,NestedHD
22.083333333333332,NestedHD
23.333333333333332,NestedHD
22.5,NestedHD
23.333333333333332,NestedHD
29.166666666666668,NestedHD
23.333333333333332,NestedHD
