UMAP1,UMAP2,True Bandgap,True BE
-0.32393166,1.6955134,1.942,37.49
-0.34032878,1.5264797,1.942,32.19
-0.16014545,2.2483363,1.942,19.06
-0.22213338,2.3521805,1.942,14.87
-3.6897268,7.529244,1.942,12.73
-3.8528795,7.735018,1.942,10.87
0.118654564,2.6464405,1.942,10.59
1.1228999,3.7963903,1.942,7.51
0.9849518,0.670773,2.113,33.83
0.94000787,0.8592582,2.113,31.76
1.1723164,1.1800417,2.113,18.39
1.3693458,1.3613136,2.113,17.13
-4.3625636,7.3570576,2.113,13.45
-4.2978134,7.288396,2.113,12.26
1.432129,1.5370785,2.113,11.96
1.7734067,3.2672129,2.113,8.72
-3.973943,15.2041025,2.611,40.36
-3.6577518,15.026263,2.611,38.1
-3.923719,15.006254,2.611,22.95
-3.5863633,15.454816,2.611,20.71
-3.8705642,13.346084,2.611,14.99
-3.8065538,13.440044,2.611,14.85
-3.9600017,15.495197,2.611,12.68
-4.0757837,14.630171,2.611,8.63
-0.12058183,1.0373169,1.79,35.99
0.042148415,1.256854,1.79,34.31
0.17206255,2.171037,1.79,18.57
0.271729,2.2018914,1.79,17.68
-3.59199,7.2309513,1.79,13.49
-3.69505,7.322572,1.79,12.17
0.4545177,2.4427626,1.79,10.56
0.9526749,3.5253506,1.79,7.0
-3.7783754,15.274184,2.551,41.03
-3.9557478,15.090601,2.551,40.59
-3.6477811,15.350854,2.551,21.91
-3.5817835,14.819593,2.551,19.96
-3.961591,13.520896,2.551,15.87
-4.04833,13.435395,2.551,13.9
-3.5022948,15.166422,2.551,13.11
-4.106192,14.553925,2.551,9.4
0.70518047,0.66762,1.973,36.03
0.4793686,0.4675092,1.973,35.97
0.8428878,1.5846108,1.973,19.14
1.0595123,1.6871417,1.973,18.8
-4.042133,7.12737,1.973,15.14
-4.2109942,7.088141,1.973,14.01
1.1892961,2.1102548,1.973,13.26
1.5129623,3.4191017,1.973,6.8
0.52088964,0.8164167,1.867,36.37
0.25041345,0.56088215,1.867,36.0
0.89420193,2.0381227,1.867,20.26
0.51942104,1.6650656,1.867,19.73
-3.8951955,6.822398,1.867,14.45
0.9490945,2.4421067,1.867,13.58
-3.7764223,7.1127586,1.867,8.42
1.5292226,3.5464618,1.867,7.49
-3.2721863,14.83006,2.212,40.97
-3.195879,14.458448,2.212,40.27
-3.1238122,14.687611,2.212,22.17
-3.2651486,14.498295,2.212,21.57
-3.648381,13.649491,2.212,15.83
-3.7182376,13.487299,2.212,14.16
-3.315076,14.502599,2.212,13.42
-3.700397,14.281662,2.212,9.58
2.6269717,6.6875124,1.482,37.61
2.744217,6.4569755,1.482,37.08
2.2443576,6.8209534,1.482,19.61
2.063461,6.693442,1.482,18.34
-4.393713,8.491676,1.482,13.96
1.8807507,6.927263,1.482,10.92
1.6164594,5.0658865,1.482,7.46
-4.3467555,8.305066,1.482,5.41
2.5026267,5.9293704,1.774,37.77
2.6358862,6.0546856,1.774,36.87
2.0029383,5.9511757,1.774,20.6
2.0980892,6.226789,1.774,20.54
-4.8011966,8.093905,1.774,15.63
-4.684333,8.172043,1.774,13.78
1.900064,6.0437746,1.774,13.01
1.9349229,5.0423446,1.774,8.64
2.5767689,5.9973564,1.63,36.83
2.6467197,6.4037795,1.63,36.41
2.0944507,6.4976454,1.63,19.67
1.7996545,6.288929,1.63,19.07
-4.9287887,8.334396,1.63,14.37
1.6885321,6.353864,1.63,13.06
-4.690017,8.273599,1.63,12.43
1.8058218,4.887618,1.63,5.72
2.5995681,6.550213,1.52,38.29
2.8471537,6.169919,1.52,37.68
2.0174325,6.6803894,1.52,20.48
1.8331298,6.5535655,1.52,20.03
-4.6201916,8.484152,1.52,14.77
1.8299046,6.65206,1.52,12.02
1.7228553,4.9078813,1.52,9.01
-4.5809383,8.457993,1.52,8.39
0.33881858,0.88032776,1.87,37.2
-0.10605938,0.69470745,1.87,36.45
0.67044944,2.0712142,1.87,19.56
0.45189896,2.1781428,1.87,16.99
-3.8285885,7.4464483,1.87,13.0
-3.8494697,7.0496387,1.87,12.71
0.8124016,2.5146573,1.87,12.22
1.2463428,3.7107284,1.87,6.85
0.52429235,0.8496652,1.95,35.64
0.21299653,0.48589626,1.95,35.3
1.0445682,1.887672,1.95,19.99
0.7152612,1.8486928,1.95,18.42
-3.941184,6.8736744,1.95,14.17
-4.2299204,7.0556293,1.95,12.63
1.059277,2.3928468,1.95,11.75
1.6129487,3.418048,1.95,9.39
