value,method
1.0671348314606746,SingleAE
4.683707865168539,SingleAE
3.4898876404494383,SingleAE
4.332584269662922,SingleAE
4.051685393258428,SingleAE
1.5938202247191016,SingleAE
2.682303370786517,SingleAE
2.4716292134831463,SingleAE
4.227247191011236,SingleAE
4.227247191011236,SingleAE
2.5067415730337084,SingleAE
4.718820224719101,SingleAE
2.190730337078652,SingleAE
2.892977528089888,SingleAE
4.473033707865169,SingleAE
2.717415730337079,SingleAE
2.717415730337079,SingleAE
3.1387640449438203,SingleAE
3.8761235955056184,SingleAE
4.157022471910113,SingleAE
3.0685393258426967,SingleAE
1.0671348314606746,SingleAE
2.6471910112359556,SingleAE
0.9266853932584274,SingleAE
4.121910112359551,SingleAE
3.9112359550561804,SingleAE
3.208988764044944,SingleAE
1.4182584269662926,SingleAE
4.051685393258428,SingleAE
3.0685393258426967,SingleAE
4.192134831460675,SingleAE
0.7511235955056184,SingleAE
3.244101123595506,SingleAE
0.645786516853933,SingleAE
3.9814606741573035,SingleAE
2.6471910112359556,SingleAE
3.1387640449438203,SingleAE
4.2974719101123595,SingleAE
4.543258426966292,SingleAE
3.9814606741573035,SingleAE
4.437921348314608,SingleAE
1.8396067415730342,SingleAE
3.3845505617977527,SingleAE
3.0685393258426967,SingleAE
2.8578651685393264,SingleAE
3.244101123595506,SingleAE
4.332584269662922,SingleAE
4.402808988764045,SingleAE
4.578370786516854,SingleAE
2.9983146067415736,SingleAE
2.0502808988764047,SingleAE
2.4365168539325848,SingleAE
1.4533707865168544,SingleAE
2.6471910112359556,SingleAE
4.086797752808989,SingleAE
2.5067415730337084,SingleAE
2.190730337078652,SingleAE
4.367696629213484,SingleAE
2.892977528089888,SingleAE
2.7525280898876407,SingleAE
1.3831460674157308,SingleAE
2.7876404494382023,SingleAE
3.4898876404494383,SingleAE
2.892977528089888,SingleAE
4.227247191011236,SingleAE
1.348033707865169,SingleAE
0.9266853932584274,SingleAE
3.735674157303371,SingleAE
0.996910112359551,SingleAE
0.996910112359551,SingleAE
2.6120786516853935,SingleAE
0.8915730337078656,SingleAE
4.367696629213484,SingleAE
2.576966292134832,SingleAE
3.700561797752809,SingleAE
2.7525280898876407,SingleAE
2.8578651685393264,SingleAE
1.523595505617978,SingleAE
3.9463483146067424,SingleAE
4.332584269662922,SingleAE
2.717415730337079,SingleAE
4.157022471910113,SingleAE
0.7160112359550566,SingleAE
3.7707865168539327,SingleAE
1.699157303370787,SingleAE
4.121910112359551,SingleAE
3.1387640449438203,SingleAE
3.9814606741573035,SingleAE
4.192134831460675,SingleAE
1.2778089887640454,SingleAE
1.5938202247191016,SingleAE
2.576966292134832,SingleAE
0.6106741573033712,SingleAE
3.7707865168539327,SingleAE
