value,method
14.58333333,NestedAE
17.5,NestedAE
24.58333333,NestedAE
28.33333333,NestedAE
23.75,NestedAE
24.16666667,NestedAE
23.75,NestedAE
24.16666667,NestedAE
23.75,NestedAE
17.91666667,NestedAE
12.91666667,NestedAE
15.83333333,NestedAE
11.25,NestedAE
12.5,NestedAE
22.5,NestedAE
20.41666667,NestedAE
20,NestedAE
12.08333333,NestedAE
20,NestedAE
20.83333333,NestedAE
25.41666667,NestedAE
18.75,NestedAE
11.25,NestedAE
25.83333333,NestedAE
15,NestedAE
10.83333333,NestedAE
18.33333333,NestedAE
20.83333333,NestedAE
25,NestedAE
13.33333333,NestedAE
11.25,NestedAE
18.75,NestedAE
24.16666667,NestedAE
27.5,NestedAE
15,NestedAE
24.58333333,NestedAE
21.66666667,NestedAE
16.66666667,NestedAE
20.41666667,NestedAE
11.25,NestedAE
30.83333333,NestedAE
19.16666667,NestedAE
18.75,NestedAE
17.08333333,NestedAE
19.16666667,NestedAE
23.33333333,NestedAE
24.58333333,NestedAE
15.41666667,NestedAE
10.83333333,NestedAE
13.75,NestedAE
12.08333333,NestedAE
18.75,NestedAE
25.83333333,NestedAE
18.33333333,NestedAE
20.83333333,NestedAE
20,NestedAE
16.66666667,NestedAE
17.08333333,NestedAE
17.91666667,NestedAE
27.08333333,NestedAE
24.58333333,NestedAE
20,NestedAE
15.83333333,NestedAE
21.25,NestedAE
14.58333333,NestedAE
26.66666667,NestedAE
18.75,NestedAE
12.08333333,NestedAE
14.58333333,NestedAE
20,NestedAE
20.41666667,NestedAE
12.91666667,NestedAE
12.91666667,NestedAE
20.41666667,NestedAE
12.91666667,NestedAE
23.33333333,NestedAE
11.25,NestedAE
13.33333333,NestedAE
20,NestedAE
24.16666667,NestedAE
25.83333333,NestedAE
28.33333333,NestedAE
15.83333333,NestedAE
27.91666667,NestedAE
10.83333333,NestedAE
24.58333333,NestedAE
14.58333333,NestedAE
17.91666667,NestedAE
26.66666667,NestedAE
12.5,NestedAE
17.08333333,NestedAE
19.58333333,NestedAE
22.91666667,NestedAE
11.25,NestedAE
15.41666667,NestedAE
11.25,NestedAE
20.41666667,NestedAE
15.41666667,NestedAE
19.58333333,NestedAE
15.41666667,NestedAE
18.75,NestedAE
19.16666667,NestedAE
19.16666667,NestedAE
19.16666667,NestedAE
23.75,NestedAE
12.08333333,NestedAE
11.25,NestedAE
17.5,NestedAE
16.25,NestedAE
23.33333333,NestedAE
15.83333333,NestedAE
25.41666667,NestedAE
24.16666667,NestedAE
18.33333333,NestedAE
22.08333333,NestedAE
19.16666667,NestedAE
13.33333333,NestedAE
22.91666667,NestedAE
16.66666667,NestedAE
29.58333333,NestedAE
21.25,NestedAE
21.25,NestedAE
18.33333333,NestedAE
28.33333333,NestedAE
10.83333333,NestedAE
23.75,NestedAE
16.25,NestedAE
22.08333333,NestedAE
23.75,NestedAE
18.33333333,NestedAE
18.33333333,NestedAE
15.83333333,NestedAE
24.58333333,NestedAE
26.25,NestedAE
24.58333333,NestedAE
15.41666667,NestedAE
16.25,NestedAE
29.58333333,NestedAE
17.08333333,NestedAE
28.75,NestedAE
14.58333333,NestedAE
24.16666667,NestedAE
17.08333333,NestedAE
12.08333333,NestedAE
12.5,NestedAE
16.25,NestedAE
22.91666667,NestedAE
12.5,NestedAE
17.5,NestedAE
21.25,NestedAE
24.58333333,NestedAE
10.83333333,NestedAE
14.58333333,NestedAE
22.91666667,NestedAE
11.66666667,NestedAE
25,NestedAE
25,NestedAE
24.58333333,NestedAE
17.91666667,NestedAE
17.08333333,NestedAE
16.25,NestedAE
12.5,NestedAE
22.5,NestedAE
21.66666667,NestedAE
22.91666667,NestedAE
10.83333333,NestedAE
19.16666667,NestedAE
27.91666667,NestedAE
17.5,NestedAE
25.41666667,NestedAE
25,NestedAE
20.83333333,NestedAE
17.5,NestedAE
27.08333333,NestedAE
15,NestedAE
24.16666667,NestedAE
25.83333333,NestedAE
19.58333333,NestedAE
15.83333333,NestedAE
17.5,NestedAE
17.5,NestedAE
13.75,NestedAE
10.41666667,NestedAE
19.16666667,NestedAE
25,NestedAE
24.58333333,NestedAE
15,NestedAE
24.16666667,NestedAE
27.91666667,NestedAE
13.33333333,NestedAE
23.33333333,NestedAE
13.33333333,NestedAE
14.16666667,NestedAE
11.25,NestedAE
20.83333333,NestedAE
25.41666667,NestedAE
10.83333333,NestedAE
11.66666667,NestedAE
17.08333333,NestedAE
21.25,NestedAE
