value,method
13.333333333333334,SimpleBO
17.916666666666668,SimpleBO
30.416666666666664,SimpleBO
27.916666666666668,SimpleBO
15.833333333333332,SimpleBO
20.0,SimpleBO
28.333333333333332,SimpleBO
18.75,SimpleBO
29.166666666666668,SimpleBO
16.666666666666664,SimpleBO
19.583333333333332,SimpleBO
17.083333333333332,SimpleBO
11.25,SimpleBO
14.583333333333334,SimpleBO
16.666666666666664,SimpleBO
27.083333333333332,SimpleBO
17.5,SimpleBO
11.666666666666666,SimpleBO
21.666666666666668,SimpleBO
17.5,SimpleBO
26.25,SimpleBO
22.5,SimpleBO
10.833333333333334,SimpleBO
25.0,SimpleBO
15.833333333333332,SimpleBO
10.833333333333334,SimpleBO
13.750000000000002,SimpleBO
16.25,SimpleBO
25.0,SimpleBO
13.333333333333334,SimpleBO
10.833333333333334,SimpleBO
14.166666666666666,SimpleBO
27.083333333333332,SimpleBO
14.166666666666666,SimpleBO
27.916666666666668,SimpleBO
26.666666666666668,SimpleBO
26.666666666666668,SimpleBO
14.583333333333334,SimpleBO
17.916666666666668,SimpleBO
12.916666666666668,SimpleBO
30.0,SimpleBO
23.75,SimpleBO
19.583333333333332,SimpleBO
25.0,SimpleBO
24.583333333333332,SimpleBO
24.166666666666668,SimpleBO
21.25,SimpleBO
15.0,SimpleBO
11.25,SimpleBO
12.083333333333334,SimpleBO
12.916666666666668,SimpleBO
13.750000000000002,SimpleBO
23.75,SimpleBO
11.666666666666666,SimpleBO
21.666666666666668,SimpleBO
27.500000000000004,SimpleBO
10.833333333333334,SimpleBO
13.750000000000002,SimpleBO
27.083333333333332,SimpleBO
23.75,SimpleBO
20.0,SimpleBO
20.833333333333336,SimpleBO
26.666666666666668,SimpleBO
12.916666666666668,SimpleBO
16.666666666666664,SimpleBO
25.833333333333336,SimpleBO
25.416666666666664,SimpleBO
15.833333333333332,SimpleBO
17.5,SimpleBO
27.500000000000004,SimpleBO
20.416666666666668,SimpleBO
11.25,SimpleBO
10.833333333333334,SimpleBO
21.666666666666668,SimpleBO
17.083333333333332,SimpleBO
17.916666666666668,SimpleBO
14.583333333333334,SimpleBO
12.083333333333334,SimpleBO
21.25,SimpleBO
25.0,SimpleBO
24.583333333333332,SimpleBO
26.25,SimpleBO
13.333333333333334,SimpleBO
29.166666666666668,SimpleBO
10.833333333333334,SimpleBO
23.75,SimpleBO
11.666666666666666,SimpleBO
15.833333333333332,SimpleBO
27.083333333333332,SimpleBO
15.0,SimpleBO
18.333333333333332,SimpleBO
21.25,SimpleBO
15.0,SimpleBO
11.25,SimpleBO
12.083333333333334,SimpleBO
11.25,SimpleBO
16.666666666666664,SimpleBO
10.833333333333334,SimpleBO
24.583333333333332,SimpleBO
16.666666666666664,SimpleBO
15.0,SimpleBO
17.083333333333332,SimpleBO
25.0,SimpleBO
12.916666666666668,SimpleBO
24.166666666666668,SimpleBO
10.833333333333334,SimpleBO
15.833333333333332,SimpleBO
17.916666666666668,SimpleBO
11.666666666666666,SimpleBO
26.666666666666668,SimpleBO
15.833333333333332,SimpleBO
17.916666666666668,SimpleBO
16.666666666666664,SimpleBO
26.25,SimpleBO
21.666666666666668,SimpleBO
23.333333333333332,SimpleBO
20.833333333333336,SimpleBO
13.333333333333334,SimpleBO
14.583333333333334,SimpleBO
26.666666666666668,SimpleBO
19.166666666666668,SimpleBO
18.333333333333332,SimpleBO
14.166666666666666,SimpleBO
22.916666666666664,SimpleBO
12.5,SimpleBO
18.333333333333332,SimpleBO
24.166666666666668,SimpleBO
20.416666666666668,SimpleBO
21.666666666666668,SimpleBO
23.75,SimpleBO
18.75,SimpleBO
20.0,SimpleBO
24.583333333333332,SimpleBO
28.749999999999996,SimpleBO
27.083333333333332,SimpleBO
13.750000000000002,SimpleBO
19.166666666666668,SimpleBO
25.833333333333336,SimpleBO
22.5,SimpleBO
28.749999999999996,SimpleBO
18.75,SimpleBO
27.916666666666668,SimpleBO
24.166666666666668,SimpleBO
11.666666666666666,SimpleBO
14.166666666666666,SimpleBO
20.0,SimpleBO
25.416666666666664,SimpleBO
13.750000000000002,SimpleBO
23.333333333333332,SimpleBO
21.666666666666668,SimpleBO
24.583333333333332,SimpleBO
10.833333333333334,SimpleBO
27.916666666666668,SimpleBO
25.0,SimpleBO
10.833333333333334,SimpleBO
21.666666666666668,SimpleBO
29.583333333333332,SimpleBO
23.75,SimpleBO
13.333333333333334,SimpleBO
15.0,SimpleBO
16.666666666666664,SimpleBO
12.5,SimpleBO
16.25,SimpleBO
19.583333333333332,SimpleBO
17.916666666666668,SimpleBO
12.5,SimpleBO
20.0,SimpleBO
20.416666666666668,SimpleBO
16.25,SimpleBO
27.916666666666668,SimpleBO
22.083333333333332,SimpleBO
16.25,SimpleBO
18.75,SimpleBO
27.916666666666668,SimpleBO
13.750000000000002,SimpleBO
25.416666666666664,SimpleBO
26.666666666666668,SimpleBO
17.916666666666668,SimpleBO
28.749999999999996,SimpleBO
14.583333333333334,SimpleBO
15.416666666666668,SimpleBO
11.666666666666666,SimpleBO
10.416666666666668,SimpleBO
17.083333333333332,SimpleBO
23.75,SimpleBO
17.083333333333332,SimpleBO
11.25,SimpleBO
17.5,SimpleBO
31.666666666666664,SimpleBO
13.333333333333334,SimpleBO
24.583333333333332,SimpleBO
20.0,SimpleBO
13.333333333333334,SimpleBO
12.916666666666668,SimpleBO
23.75,SimpleBO
25.0,SimpleBO
10.833333333333334,SimpleBO
10.833333333333334,SimpleBO
13.750000000000002,SimpleBO
15.0,SimpleBO
