value,method
33.75,Random
7.083333333333333,Random
37.916666666666664,Random
17.5,Random
16.666666666666664,Random
16.25,Random
56.25,Random
56.25,Random
75.41666666666667,Random
43.75,Random
46.666666666666664,Random
97.08333333333333,Random
2.083333333333333,Random
49.166666666666664,Random
71.25,Random
70.41666666666667,Random
67.5,Random
85.83333333333333,Random
50.0,Random
27.916666666666668,Random
89.16666666666667,Random
95.41666666666667,Random
75.41666666666667,Random
89.16666666666667,Random
60.0,Random
68.75,Random
55.833333333333336,Random
80.0,Random
92.91666666666667,Random
47.5,Random
0.0,Random
49.166666666666664,Random
71.25,Random
84.58333333333333,Random
61.66666666666667,Random
47.083333333333336,Random
40.416666666666664,Random
89.16666666666667,Random
76.25,Random
96.66666666666667,Random
82.91666666666667,Random
12.916666666666668,Random
78.75,Random
0.0,Random
77.91666666666667,Random
28.333333333333332,Random
45.83333333333333,Random
81.66666666666667,Random
6.666666666666667,Random
79.58333333333333,Random
3.75,Random
67.91666666666667,Random
71.66666666666667,Random
5.833333333333333,Random
80.83333333333333,Random
87.08333333333333,Random
2.083333333333333,Random
87.91666666666667,Random
23.75,Random
15.416666666666668,Random
20.0,Random
40.416666666666664,Random
40.416666666666664,Random
68.75,Random
14.583333333333334,Random
26.25,Random
48.75,Random
86.66666666666667,Random
1.25,Random
96.25,Random
78.33333333333333,Random
98.75,Random
91.25,Random
64.16666666666667,Random
62.5,Random
64.58333333333334,Random
90.0,Random
75.83333333333333,Random
56.666666666666664,Random
69.58333333333333,Random
11.25,Random
39.58333333333333,Random
85.0,Random
51.66666666666667,Random
15.833333333333332,Random
58.75,Random
45.416666666666664,Random
70.83333333333334,Random
75.41666666666667,Random
95.0,Random
85.83333333333333,Random
14.166666666666666,Random
94.16666666666667,Random
85.0,Random
29.166666666666668,Random
22.5,Random
30.833333333333336,Random
29.166666666666668,Random
8.333333333333332,Random
96.25,Random
0.0,Random
4.583333333333333,Random
56.25,Random
29.166666666666668,Random
35.833333333333336,Random
90.0,Random
9.583333333333334,Random
2.083333333333333,Random
22.083333333333332,Random
5.416666666666667,Random
10.416666666666668,Random
64.16666666666667,Random
19.583333333333332,Random
90.41666666666667,Random
31.666666666666664,Random
15.833333333333332,Random
1.25,Random
39.58333333333333,Random
49.166666666666664,Random
62.5,Random
44.166666666666664,Random
29.166666666666668,Random
57.91666666666667,Random
22.916666666666664,Random
38.75,Random
10.833333333333334,Random
60.0,Random
62.5,Random
31.25,Random
57.08333333333333,Random
92.08333333333333,Random
62.916666666666664,Random
81.25,Random
8.333333333333332,Random
4.583333333333333,Random
89.58333333333334,Random
5.416666666666667,Random
13.750000000000002,Random
75.41666666666667,Random
32.083333333333336,Random
40.0,Random
28.749999999999996,Random
50.416666666666664,Random
41.25,Random
35.41666666666667,Random
75.41666666666667,Random
53.333333333333336,Random
54.58333333333333,Random
25.833333333333336,Random
10.0,Random
21.666666666666668,Random
17.916666666666668,Random
45.83333333333333,Random
5.0,Random
34.166666666666664,Random
92.08333333333333,Random
75.83333333333333,Random
15.416666666666668,Random
77.91666666666667,Random
10.416666666666668,Random
20.416666666666668,Random
24.583333333333332,Random
58.333333333333336,Random
61.66666666666667,Random
52.5,Random
41.66666666666667,Random
53.75,Random
31.666666666666664,Random
60.83333333333333,Random
24.166666666666668,Random
88.33333333333333,Random
35.41666666666667,Random
47.083333333333336,Random
37.083333333333336,Random
13.333333333333334,Random
84.16666666666667,Random
42.083333333333336,Random
29.583333333333332,Random
25.0,Random
82.5,Random
53.75,Random
82.91666666666667,Random
22.083333333333332,Random
8.333333333333332,Random
73.75,Random
67.08333333333333,Random
22.5,Random
64.58333333333334,Random
96.25,Random
21.666666666666668,Random
80.41666666666667,Random
48.75,Random
97.08333333333333,Random
99.16666666666667,Random
95.41666666666667,Random
59.166666666666664,Random
52.916666666666664,Random
28.749999999999996,Random
61.66666666666667,Random
1.6666666666666667,Random
