value,method
1.1053370786516863,SimpleBO.pt
2.7907303370786525,SimpleBO.pt
1.9480337078651693,SimpleBO.pt
2.474719101123596,SimpleBO.pt
1.351123595505619,SimpleBO.pt
2.018258426966293,SimpleBO.pt
2.4396067415730345,SimpleBO.pt
2.5449438202247197,SimpleBO.pt
1.9831460674157313,SimpleBO.pt
1.316011235955057,SimpleBO.pt
2.334269662921349,SimpleBO.pt
1.0702247191011245,SimpleBO.pt
1.0702247191011245,SimpleBO.pt
1.2106741573033717,SimpleBO.pt
2.1235955056179785,SimpleBO.pt
2.193820224719102,SimpleBO.pt
1.491573033707866,SimpleBO.pt
1.702247191011237,SimpleBO.pt
1.2808988764044953,SimpleBO.pt
1.0702247191011245,SimpleBO.pt
1.17556179775281,SimpleBO.pt
2.509831460674158,SimpleBO.pt
1.4213483146067425,SimpleBO.pt
2.1235955056179785,SimpleBO.pt
1.2106741573033717,SimpleBO.pt
2.2289325842696637,SimpleBO.pt
2.4396067415730345,SimpleBO.pt
2.334269662921349,SimpleBO.pt
1.351123595505619,SimpleBO.pt
2.6502808988764053,SimpleBO.pt
2.474719101123596,SimpleBO.pt
1.4213483146067425,SimpleBO.pt
2.6151685393258433,SimpleBO.pt
2.2640449438202253,SimpleBO.pt
2.2640449438202253,SimpleBO.pt
2.860955056179776,SimpleBO.pt
1.3862359550561807,SimpleBO.pt
2.4396067415730345,SimpleBO.pt
2.474719101123596,SimpleBO.pt
2.5449438202247197,SimpleBO.pt
2.685393258426967,SimpleBO.pt
2.6151685393258433,SimpleBO.pt
2.825842696629214,SimpleBO.pt
2.860955056179776,SimpleBO.pt
1.351123595505619,SimpleBO.pt
1.351123595505619,SimpleBO.pt
2.825842696629214,SimpleBO.pt
1.4213483146067425,SimpleBO.pt
2.4044943820224725,SimpleBO.pt
1.2457865168539335,SimpleBO.pt
1.351123595505619,SimpleBO.pt
2.2640449438202253,SimpleBO.pt
1.7724719101123605,SimpleBO.pt
2.369382022471911,SimpleBO.pt
1.2106741573033717,SimpleBO.pt
2.825842696629214,SimpleBO.pt
1.17556179775281,SimpleBO.pt
2.4396067415730345,SimpleBO.pt
2.6151685393258433,SimpleBO.pt
2.018258426966293,SimpleBO.pt
1.2457865168539335,SimpleBO.pt
2.5449438202247197,SimpleBO.pt
2.685393258426967,SimpleBO.pt
2.5800561797752817,SimpleBO.pt
1.351123595505619,SimpleBO.pt
2.7556179775280905,SimpleBO.pt
2.15870786516854,SimpleBO.pt
1.5969101123595515,SimpleBO.pt
1.7724719101123605,SimpleBO.pt
2.7556179775280905,SimpleBO.pt
1.0351123595505627,SimpleBO.pt
2.6151685393258433,SimpleBO.pt
2.1235955056179785,SimpleBO.pt
2.825842696629214,SimpleBO.pt
2.7907303370786525,SimpleBO.pt
1.316011235955057,SimpleBO.pt
2.334269662921349,SimpleBO.pt
1.9129213483146077,SimpleBO.pt
1.316011235955057,SimpleBO.pt
2.685393258426967,SimpleBO.pt
1.140449438202248,SimpleBO.pt
2.2991573033707873,SimpleBO.pt
2.2640449438202253,SimpleBO.pt
2.053370786516855,SimpleBO.pt
1.351123595505619,SimpleBO.pt
1.2808988764044953,SimpleBO.pt
2.720505617977529,SimpleBO.pt
1.0702247191011245,SimpleBO.pt
2.1235955056179785,SimpleBO.pt
2.2289325842696637,SimpleBO.pt
2.5800561797752817,SimpleBO.pt
1.2106741573033717,SimpleBO.pt
2.5449438202247197,SimpleBO.pt
1.1053370786516863,SimpleBO.pt
2.5449438202247197,SimpleBO.pt
2.0884831460674165,SimpleBO.pt
2.5449438202247197,SimpleBO.pt
1.2106741573033717,SimpleBO.pt
1.2808988764044953,SimpleBO.pt
1.526685393258428,SimpleBO.pt
1.702247191011237,SimpleBO.pt
2.2289325842696637,SimpleBO.pt
2.15870786516854,SimpleBO.pt
1.877808988764046,SimpleBO.pt
2.8960674157303377,SimpleBO.pt
2.2640449438202253,SimpleBO.pt
1.140449438202248,SimpleBO.pt
2.5449438202247197,SimpleBO.pt
2.685393258426967,SimpleBO.pt
2.193820224719102,SimpleBO.pt
2.2991573033707873,SimpleBO.pt
2.860955056179776,SimpleBO.pt
2.474719101123596,SimpleBO.pt
1.2808988764044953,SimpleBO.pt
2.5800561797752817,SimpleBO.pt
2.2289325842696637,SimpleBO.pt
2.2289325842696637,SimpleBO.pt
2.474719101123596,SimpleBO.pt
2.15870786516854,SimpleBO.pt
2.6151685393258433,SimpleBO.pt
1.2457865168539335,SimpleBO.pt
1.1053370786516863,SimpleBO.pt
1.3862359550561807,SimpleBO.pt
2.2289325842696637,SimpleBO.pt
2.369382022471911,SimpleBO.pt
2.4396067415730345,SimpleBO.pt
2.2640449438202253,SimpleBO.pt
2.509831460674158,SimpleBO.pt
2.053370786516855,SimpleBO.pt
1.2808988764044953,SimpleBO.pt
1.2457865168539335,SimpleBO.pt
1.2106741573033717,SimpleBO.pt
1.2808988764044953,SimpleBO.pt
1.842696629213484,SimpleBO.pt
3.001404494382023,SimpleBO.pt
1.316011235955057,SimpleBO.pt
1.2457865168539335,SimpleBO.pt
1.7373595505617987,SimpleBO.pt
2.8960674157303377,SimpleBO.pt
1.2457865168539335,SimpleBO.pt
1.702247191011237,SimpleBO.pt
1.2808988764044953,SimpleBO.pt
2.6151685393258433,SimpleBO.pt
2.6151685393258433,SimpleBO.pt
2.4044943820224725,SimpleBO.pt
2.720505617977529,SimpleBO.pt
1.491573033707866,SimpleBO.pt
1.6671348314606749,SimpleBO.pt
2.2991573033707873,SimpleBO.pt
2.2640449438202253,SimpleBO.pt
2.15870786516854,SimpleBO.pt
2.509831460674158,SimpleBO.pt
2.720505617977529,SimpleBO.pt
2.334269662921349,SimpleBO.pt
1.3862359550561807,SimpleBO.pt
2.15870786516854,SimpleBO.pt
2.9662921348314613,SimpleBO.pt
2.860955056179776,SimpleBO.pt
2.9662921348314613,SimpleBO.pt
2.5800561797752817,SimpleBO.pt
1.1053370786516863,SimpleBO.pt
2.860955056179776,SimpleBO.pt
2.4044943820224725,SimpleBO.pt
2.5449438202247197,SimpleBO.pt
3.176966292134832,SimpleBO.pt
1.140449438202248,SimpleBO.pt
1.140449438202248,SimpleBO.pt
2.2289325842696637,SimpleBO.pt
1.2808988764044953,SimpleBO.pt
1.2808988764044953,SimpleBO.pt
2.018258426966293,SimpleBO.pt
2.2991573033707873,SimpleBO.pt
2.474719101123596,SimpleBO.pt
2.5449438202247197,SimpleBO.pt
2.2289325842696637,SimpleBO.pt
3.1067415730337085,SimpleBO.pt
3.176966292134832,SimpleBO.pt
1.351123595505619,SimpleBO.pt
2.6151685393258433,SimpleBO.pt
2.6151685393258433,SimpleBO.pt
2.685393258426967,SimpleBO.pt
1.877808988764046,SimpleBO.pt
2.7556179775280905,SimpleBO.pt
1.2457865168539335,SimpleBO.pt
2.720505617977529,SimpleBO.pt
2.860955056179776,SimpleBO.pt
1.2808988764044953,SimpleBO.pt
2.2991573033707873,SimpleBO.pt
2.15870786516854,SimpleBO.pt
2.6151685393258433,SimpleBO.pt
1.4213483146067425,SimpleBO.pt
1.5969101123595515,SimpleBO.pt
1.491573033707866,SimpleBO.pt
2.7907303370786525,SimpleBO.pt
1.2457865168539335,SimpleBO.pt
2.474719101123596,SimpleBO.pt
1.1053370786516863,SimpleBO.pt
3.176966292134832,SimpleBO.pt
2.9311797752808997,SimpleBO.pt
2.0884831460674165,SimpleBO.pt
