AE1_latent_0,AE1_latent_1,AE1_latent_2,AE1_latent_3,Gap
-0.066723585,-5.0752816,-2.0472379,1.4073501,0.5190709
-0.029893637,-3.9109893,-1.7731731,1.0236626,0.64123595
1.2483356,-4.050845,-1.7210536,0.58927876,0.7743286
0.10529339,-2.999308,-0.9977498,1.1681216,0.68743205
1.2466774,-4.196515,-2.3921325,0.43979523,0.8240711
0.97974724,-3.99511,-1.6113677,0.67788744,0.73792046
1.3548827,-3.9624243,-1.783742,0.56346524,0.80351484
1.2802734,-4.0492935,-0.76745343,0.9818979,0.60531926
-1.1756861,-3.3278608,-2.18718,-0.4474393,0.85952264
-0.9134508,-1.9945216,-0.82563186,-0.3091376,1.0280116
0.34460005,-2.1880734,-1.5837305,1.1155741,0.98084277
-0.9687405,-2.6740954,-1.5884564,-0.32526243,0.89410055
-0.9898971,-2.6483727,-1.5759413,-0.31631222,0.8985038
-1.0579104,-2.5824714,-1.6118944,-0.47555944,0.94319487
0.57261676,-2.7203681,-2.4272034,-1.0674168,1.16252
1.4562747,-3.2496955,-2.9410284,0.43655008,1.151231
0.67445153,-2.1163492,-1.8459849,-0.8860066,1.1985539
-1.3503971,-3.2645802,-2.1523216,-0.3994879,0.8765588
0.54774475,-1.4363863,-1.2166502,-0.8975257,1.3070061
1.2594671,-3.8749833,-0.94515,1.0461149,0.7098992
-0.52445203,-2.5462408,-0.8045032,1.5244699,0.7111021
0.5707278,-1.9474945,-4.0478854,1.0164813,1.9425652
-2.051997,-2.7650495,-2.1895485,-1.7942537,1.2862236
-0.12771344,-1.879327,-2.5148888,-2.5702538,1.5547564
-1.7952559,-2.04233,-1.5626509,-1.6635422,1.3415309
-1.6000457,-1.5275848,-0.835443,-1.8018965,1.3919041
0.9268027,-2.5972226,-3.4204977,0.64866114,1.5349808
-0.08919102,-1.2997532,-1.9040267,-2.3138142,1.6093919
-1.8069308,-1.4086137,-0.8765966,-1.6851107,1.4145757
0.6301901,-1.8629887,-3.9789727,0.9763431,1.9460013
-0.28273064,-0.5675568,-1.2527484,-2.3742368,1.7426815
-0.50114614,-2.296063,-2.2261992,1.4308181,1.1744171
-0.2543304,-1.5270061,-1.7678001,-2.2457507,1.522274
0.087977886,-0.7103475,-3.3163214,-2.3263354,2.1570044
0.10871357,0.020818174,-2.082521,-0.38284686,2.1038072
-1.4552021,-2.5140793,-1.9608035,2.0143466,0.99532735
-1.3833718,-2.0503895,-1.3790522,1.9129047,0.9857311
-1.1459739,-1.6144974,-0.759367,1.8740946,0.9607519
0.645661,-1.7908359,-3.9133575,0.9522242,1.9467857
0.138627,-0.72950095,-2.823542,-0.47101787,1.979749
0.26866043,-1.5640936,-3.1496036,1.2757967,1.8089228
0.926921,0.4692372,-1.114779,1.1893891,2.0750637
-2.2504349,-1.4692984,-1.3168356,0.21542658,1.3507113
-1.0406051,-1.0355802,-3.4865985,-0.20921654,1.9841866
-0.5051947,-0.09599674,-3.8193078,-1.9439292,2.5490777
-2.4486327,-1.4770885,-2.1479073,0.26533207,1.4956465
1.6662865,0.09643251,-0.7686664,0.5587296,1.8379464
-2.4125094,-1.0472174,-1.2702513,0.31924975,1.4622979
0.5493705,-0.439449,-0.08937496,1.2058192,1.2469277
-2.4787366,-0.5172859,-0.26954445,0.2596963,1.4835544
0.6784746,-0.18248779,-0.41163194,1.2174585,1.5319693
-0.4368878,-0.531532,-1.9311826,1.8516806,1.8137057
-0.66008073,0.033080697,-0.2507217,1.7408948,1.5646062
0.7608516,-0.497598,-0.2540328,1.2151619,1.2697661
-1.4010363,-0.10017449,-3.7620018,-1.7920799,2.4880214
-0.42636198,1.2331116,-2.3666592,-1.9878038,2.7091615
0.8952141,1.0156199,-1.2877629,1.3326955,2.3820012
0.51234084,-0.14598137,0.03479868,1.3028625,1.3744128
-0.768879,-0.001405776,-0.5662923,1.7638252,1.6363251
-0.102962196,0.38347077,-3.4319177,-0.34318784,2.648754
0.8710874,-0.5057184,-0.41590568,1.1739548,1.3336043
-0.26644677,0.22631812,-2.8926656,1.9404397,2.4090722
-2.9866714,-0.10364491,-0.5170846,-1.5534691,1.9174397
1.2861242,0.60601187,-1.6489472,-0.6282999,2.3117926
-0.3258465,0.16750813,-0.5556487,1.7506942,1.7143643
-0.29445297,-0.05914861,-2.4876473,1.9184438,2.1570022
-0.91118354,-0.2655707,-0.87024194,1.9205041,1.6200027
1.277787,0.6405333,-1.6045666,-0.6170529,2.3151822
1.4642363,1.7294674,-2.2865205,1.0825894,3.0257697
0.40965554,2.2432868,-1.0426476,-1.9418588,2.8032427
-0.06748974,0.38515535,-0.9411877,1.7596009,1.9392164
0.6673434,0.59908175,-4.3681927,1.3776639,3.049444
-3.4291656,-0.6369646,-2.3708868,-1.5064667,1.9949124
-3.4155142,-0.16523117,-1.4997814,-1.4311321,1.9971604
-3.3700864,0.15448463,-0.49873757,-1.4524935,2.0328512
0.4460051,-0.21710384,-0.15475526,0.96165955,1.4481071
1.3073488,1.9337959,-2.2371907,-0.4500816,3.0830243
0.45218098,1.2765445,-1.7970414,1.8456652,2.6290984
0.3816995,-0.12711626,-0.17380114,0.78282565,1.4999297
-1.0058849,1.6211455,-0.5407138,-1.5681547,2.3040001
0.2065877,0.82466227,-1.3665972,1.7959902,2.2815242
0.84146714,0.16516882,-4.008643,1.2111685,2.7492783
-0.27759212,1.2478981,-0.9559434,1.9524558,2.325315
-0.83865374,2.0966277,-2.8647716,-1.7811987,3.2184741
-0.9947397,0.010514021,0.035926312,1.0904645,1.4798012
-0.73743576,1.0418537,-3.6766946,-1.7187754,3.0088503
1.1196938,0.9190395,-1.0143034,-0.61618704,2.2573857
0.3143164,-0.14019197,-3.8935716,1.3602107,2.5470512
0.34329522,-0.07004148,-0.21785659,0.6508113,1.5380747
-0.06854677,2.1917474,-1.3485439,-1.8998914,2.846632
-2.0725393,-1.3325138,-1.1859798,0.83626074,1.3114077
1.5337095,1.8061814,-1.7028496,1.9618404,2.893799
-1.2726607,0.68587726,-0.119290486,0.35374102,1.789809
-2.3406193,-1.298831,-0.0920589,0.8555476,1.1933241
1.8135087,1.9327989,-2.4610207,0.92806035,3.1858246
-0.70793134,1.0029889,-4.8010693,0.097501,3.3039174
1.6421566,3.6958299,-4.5011115,1.6630874,4.570656
-0.46933538,-3.2404983,-1.5672402,0.4157637,0.66071683
-0.98224586,1.08175,-0.7158164,0.36568654,2.131952
0.3661226,3.2535543,-2.9034135,0.11091447,3.8175554
0.5770237,1.1545527,-5.2332196,-0.45122623,3.5585084
0.41241756,1.7631075,-4.768148,1.7682635,3.7039957
-0.027701378,0.4421192,-0.33839157,-0.025586635,1.785772
-1.6841514,1.40115,0.4357021,0.42610958,1.9618282
-1.67981,0.77209026,-1.069307,0.54152006,2.0667114
0.29422095,1.9369831,-3.59875,-0.25438282,3.4391053
-1.2379687,1.7558396,-0.4266139,-1.6222922,2.3164296
-0.93318266,1.48893,-0.991288,-1.5270209,2.385
-0.86116034,1.2287992,-5.242952,0.26755187,3.5295293
-1.5406342,0.97061634,-0.12144901,-0.13254912,1.9064782
-0.783405,1.4636807,-4.0740514,0.39112324,3.3122377
