AE2_latent_0,AE2_latent_1,AE2_latent_2,AE2_latent_3,AE2_latent_4,AE2_latent_5,AE2_latent_6,AE2_latent_7
-0.43930763,0.13605636,1.2332461,-0.46714577,-0.43058413,1.0155165,1.0900884,-0.84751195
-0.584364,-0.14981987,2.0337684,-0.2808657,-0.80942816,0.72933084,1.2149234,0.07603037
-0.6872892,0.018510895,1.6266059,0.13197635,-0.70560545,0.791024,1.1596656,-0.11859293
0.8744643,-0.78818774,0.64867544,-0.19449042,1.835377,1.1503648,-2.0014937,1.1080308
0.70943284,1.3587338,2.8110716,-1.9166405,-3.333791,-1.5426925,-0.014176801,0.36916605
0.0725908,-0.9321157,1.4675462,0.49437553,1.3577987,0.640422,-2.6060326,1.4221405
0.388979,-0.71234983,0.79569465,-0.9657678,1.9730788,1.0786422,-2.9172435,-0.302706
-0.69729984,0.03148518,1.5898243,0.16162552,-0.7203801,0.8129652,1.1532509,-0.13200939
-0.69729984,0.03148518,1.5898243,0.16162552,-0.7203801,0.8129652,1.1532509,-0.13200939
-1.1388254,-0.08271475,2.0114212,-0.38603175,-0.7937567,0.5912421,0.43640542,-0.9999893
2.3621209,5.591482,4.8752203,0.96111256,5.718836,-8.148695,4.962266,-2.589895
1.296856,-0.9241967,0.32228297,-0.025716439,2.2307189,1.6612663,-1.0327864,1.8129848
-0.45687646,0.51490206,1.6558026,0.80830497,-2.0353346,0.016736487,1.4413775,1.0133646
1.2725856,0.535626,0.9396153,0.18570079,0.008651853,-0.5286593,-3.688069,1.636507
0.5181992,1.849588,1.3974726,-0.3808858,-2.7229967,-0.9908071,-0.7224768,-0.037189275
-0.41224092,-0.96501774,1.7105327,0.13783862,1.3446369,0.44260287,-3.3484974,0.4642287
-0.6146754,-0.051988173,1.7913576,0.010539047,-0.63293785,0.7788367,1.0990016,-0.010218967
0.9109395,0.05790621,1.4657328,-1.0090554,0.10459562,-0.12685001,-1.4514616,0.5560819
-0.4318971,-0.5983298,3.0561242,-1.4558198,-1.2779807,0.37067538,1.6477591,0.45786312
0.100392856,-1.3637745,1.3105776,0.53709185,1.951053,1.2512088,-1.7867224,1.6316189
-0.8152302,-0.037980717,1.727266,-0.19773607,-1.2225839,0.64197385,1.5843462,-0.21102911
0.0725908,-0.9321157,1.4675462,0.49437553,1.3577987,0.640422,-2.6060326,1.4221405
2.6212077,0.12403473,-0.53049845,-0.50362337,1.624907,1.264633,-1.1802878,2.055867
-0.4209904,-0.03537518,2.4202058,-0.34043843,-0.5196824,0.6695523,1.2053908,0.11328972
1.5409116,-0.4038198,0.21952891,-0.2982614,1.7171146,1.1751306,-1.7454461,1.4824454
-0.65399355,-0.04981268,1.7684351,-0.029494848,-0.78059494,0.78906125,1.17887,-0.042077277
0.388979,-0.71234983,0.79569465,-0.9657678,1.9730788,1.0786422,-2.9172435,-0.302706
-0.69729984,0.03148518,1.5898243,0.16162552,-0.7203801,0.8129652,1.1532509,-0.13200939
-0.85361415,0.037190437,1.5448235,0.000449128,-1.1406367,0.6674366,1.5397663,-0.29210922
-0.8152302,-0.037980717,1.727266,-0.19773607,-1.2225839,0.64197385,1.5843462,-0.21102911
-0.46276012,-0.540667,3.1820343,-1.5652494,-1.3913893,0.23717561,1.88717,0.36427832
0.28445283,0.51544636,2.9593554,-1.7008649,-2.5221028,-0.7686575,0.9106831,0.46807694
0.847606,-0.30766144,1.0878993,0.40147606,0.8203396,0.24537611,-2.7632098,1.7354177
1.096322,-0.35392833,0.22582595,-1.4027591,2.0061872,1.17065,-2.7103887,-0.35292733
0.3748381,-2.965921,-3.9008741,-1.7673454,0.46639472,-4.7217464,-1.0079001,1.8540777
-0.5900433,1.009269,0.94037765,1.4209323,-0.67079,1.201336,-0.6977088,-0.43780872
-0.80719167,1.4022532,-0.16083558,2.4310126,-0.8383213,1.9208031,-1.1109898,-0.76308787
-0.9948346,1.8081275,-1.1096895,3.3745723,-0.87424624,2.472647,-1.429262,-1.1061051
-1.0163882,1.9566429,-1.3338848,3.634353,-0.95554066,2.756796,-1.5652108,-1.177797
0.388979,-0.71234983,0.79569465,-0.9657678,1.9730788,1.0786422,-2.9172435,-0.302706
1.2725856,0.535626,0.9396153,0.18570079,0.008651853,-0.5286593,-3.688069,1.636507
-0.3629845,0.22486943,0.98627824,-1.3594724,-0.09416,1.2207702,0.8532621,-1.8288426
-0.5372258,0.2569562,0.8729719,-1.4596943,-0.5253566,1.1056569,1.2285558,-2.0169556
1.1045507,-0.20330639,0.7286916,-0.2281226,1.1008314,0.45466048,-2.8271759,1.020505
2.3778765,-0.19434263,-0.45735133,-0.39975736,1.954818,1.556127,-0.83863276,2.1342835
2.6276965,0.8830309,-0.21683122,-0.48502138,0.5353749,0.1489446,-2.6083577,1.7917781
2.3707516,0.778676,0.14237642,0.14457734,0.25488308,-0.060339995,-2.5443916,2.506691
1.1045507,-0.20330639,0.7286916,-0.2281226,1.1008314,0.45466048,-2.8271759,1.020505
1.5295303,0.6399809,0.5804075,-0.443898,0.28914344,-0.31937492,-3.7520359,0.9215941
-0.6793727,0.005103627,1.6581298,0.10067098,-0.70943993,0.78255,1.1644725,-0.10399623
2.3707516,0.778676,0.14237642,0.14457734,0.25488308,-0.060339995,-2.5443916,2.506691
0.41678104,-1.1440088,0.6387259,-0.9230515,2.566333,1.6894292,-2.097933,-0.0932275
0.32953534,-0.8277607,1.1083386,-0.13522306,1.6382904,0.8497066,-2.6699986,0.7072277
0.60266775,1.5613985,1.9886496,-1.0044917,-2.6489983,-1.4988875,-0.4300627,0.1445412
-0.56952506,-0.33800176,2.3596122,-0.6531006,-0.7065965,0.28098106,1.471284,0.13965297
0.29954425,-0.001717804,1.5202793,-1.1293998,1.0811901,1.666145,1.6373794,-0.7555722
0.29954425,-0.001717804,1.5202793,-1.1293998,1.0811901,1.666145,1.6373794,-0.7555722
0.68034726,-1.4721686,0.4143595,-0.58755296,2.9666452,2.1893563,-1.0345298,0.7403538
0.07087581,-0.35389048,1.4107513,-1.6029805,0.4100792,1.4317876,2.0232484,-0.7291566
0.21905144,0.66486716,0.70943177,0.8038993,-0.00052537,-0.5240528,-0.9920086,0.36069688
0.16607577,0.59854376,0.54263306,0.8464133,-0.05087834,-0.50385195,-1.0391825,0.3703797
-0.07403923,-0.15820652,0.872217,-1.1541395,0.23499745,1.7272087,1.9310628,-0.9333426
1.1045507,-0.20330639,0.7286916,-0.2281226,1.1008314,0.45466048,-2.8271759,1.020505
-0.65399355,-0.04981268,1.7684351,-0.029494848,-0.78059494,0.78906125,1.17887,-0.042077277
2.1209314,-0.29869786,-0.0981435,0.22984123,1.6743264,1.3468425,-0.77466637,2.8491962
0.3573377,-1.2594197,0.9513698,-0.092507064,2.2315447,1.4604937,-1.8506889,0.916706
0.3573377,-1.2594197,0.9513698,-0.092507064,2.2315447,1.4604937,-1.8506889,0.916706
