AE1_latent_0,AE1_latent_1,AE1_latent_2,AE1_latent_3,Gap
-0.98144704,-0.3153141,0.43608838,1.7200892,1.2409916
-0.9450725,-0.36505097,0.43712354,1.8160464,1.2118963
-0.9786946,-0.3204028,0.43450797,1.7264733,1.2383945
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.8587734,-0.57846826,0.5389489,2.0530972,1.0770249
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.9814319,-0.3141927,0.4373424,1.72033,1.2413428
-0.9814319,-0.3141927,0.4373424,1.72033,1.2413428
-0.964768,-0.33350796,0.44039923,1.7610408,1.229275
-1.8098567,-2.0424044,-0.23172471,1.479466,0.632966
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.9730663,-0.364564,0.53534704,1.7183964,1.1973053
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.964768,-0.33350796,0.44039923,1.7610408,1.229275
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.966005,-0.32919937,0.41144824,1.7596705,1.2367072
-0.7224552,-0.22286111,0.002483815,1.8482516,1.3593124
-0.8459677,-0.529772,0.5011253,2.0396438,1.1064448
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.95778304,-0.38612956,0.54336125,1.7598548,1.1834258
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.9855818,-0.40198308,0.38879567,1.8604228,1.2079355
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.964768,-0.33350796,0.44039923,1.7610408,1.229275
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.9814319,-0.3141927,0.4373424,1.72033,1.2413428
-0.9730663,-0.364564,0.53534704,1.7183964,1.1973053
-0.95778304,-0.38612956,0.54336125,1.7598548,1.1834258
-0.8587734,-0.57846826,0.5389489,2.0530972,1.0770249
-0.8587734,-0.57846826,0.5389489,2.0530972,1.0770249
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
0.55119216,-0.43076628,-0.094041765,1.199848,1.2550176
-1.1321373,-0.03111279,0.28520548,1.5544161,1.4343711
-1.2198198,0.18307048,0.31031173,1.3639107,1.5015123
-1.3112113,0.35558936,0.3230917,1.185652,1.5574212
-1.3499207,0.421144,0.33140796,1.1492184,1.5794618
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.97592694,-0.3243701,0.43418163,1.7330985,1.2361486
-0.9730663,-0.364564,0.53534704,1.7183964,1.1973053
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.97592694,-0.3243701,0.43418163,1.7330985,1.2361486
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.8945176,-0.47018987,0.43394274,1.8648723,1.1526829
-0.8945176,-0.47018987,0.43394274,1.8648723,1.1526829
-1.0285544,-0.36486846,0.28101897,1.8285972,1.2512627
-1.0285544,-0.36486846,0.28101897,1.8285972,1.2512627
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.9236353,-0.42104393,0.40415484,1.8543879,1.1868109
-0.8653073,-0.19577718,0.07341364,1.5624983,1.4053199
-0.8441486,-0.17578757,0.078381985,1.542121,1.4098256
-0.964768,-0.33350796,0.44039923,1.7610408,1.229275
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.964768,-0.33350796,0.44039923,1.7610408,1.229275
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.74063164,-0.09738052,-0.1385215,1.7890009,1.4943931
-0.7724704,0.05279416,-0.19719274,1.5231726,1.5583425
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
0.50879407,-0.14480907,0.035703212,1.2882848,1.3776374
0.50033456,-0.15379089,0.042928964,1.2733088,1.3724859
0.47949722,-0.21481788,0.035894603,1.2543229,1.3386843
0.46296853,-0.24865735,0.024361312,1.2454835,1.3214282
0.42164692,-0.33325595,-0.004472196,1.2233856,1.2782879
-0.9814319,-0.3141927,0.4373424,1.72033,1.2413428
-0.9814319,-0.3141927,0.4373424,1.72033,1.2413428
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6914311,-0.057641327,-0.14209792,1.7874607,1.5075927
-0.9814319,-0.3141927,0.4373424,1.72033,1.2413428
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-1.2194538,0.20243275,0.22748625,1.3913373,1.5288239
-0.16535187,-0.7279311,0.36762148,1.6155496,0.9970796
0.5209985,-0.19163662,-0.030366808,1.2443777,1.3764355
-0.964768,-0.33350796,0.44039923,1.7610408,1.229275
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.4595725,-0.7672753,0.4937212,1.8000771,0.9917593
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
-0.95000404,-0.3994313,0.37885302,1.6895707,1.2034512
-0.95778304,-0.38612956,0.54336125,1.7598548,1.1834258
-0.9814319,-0.3141927,0.4373424,1.72033,1.2413428
-0.98259395,-0.30427736,0.4146605,1.7201635,1.2505314
-0.98259395,-0.30427736,0.4146605,1.7201635,1.2505314
-0.6638077,0.034806073,-0.2591769,1.7395535,1.5674386
