val_x1tox8_mae,val_x1tox8_rmse,total_val_loss,epoch,step,train_x1tox8_mae,train_x1tox8_rmse,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
0.5755006670951843,0.8424097895622253,0.5755006670951843,0,15,,,,,,,
,,,0,15,0.5706130266189575,0.8304734230041504,0.6620923280715942,0.09147925674915314,0.0,0.0,0.0
0.5206751227378845,0.7630153894424438,0.5206751227378845,1,31,,,,,,,
,,,1,31,0.50053870677948,0.7513357400894165,0.5916721224784851,0.09113343060016632,0.0,0.0,0.0
0.4658640921115875,0.691703200340271,0.4658640921115875,2,47,,,,,,,
,,,2,47,0.4507816433906555,0.6792755126953125,0.5409563779830933,0.09017476439476013,0.0,0.0,0.0
0.4104934632778168,0.6257675886154175,0.4104934632778168,3,63,,,,,,,
,,,3,63,0.4006502032279968,0.6151167154312134,0.4900803565979004,0.08943016827106476,0.0,0.0,0.0
0.3518275320529938,0.5649141073226929,0.3518275320529938,4,79,,,,,,,
,,,4,79,0.3485921025276184,0.5562952160835266,0.4373975396156311,0.0888054370880127,0.0,0.0,0.0
0.2991354465484619,0.5126775503158569,0.2991354465484619,5,95,,,,,,,
,,,5,95,0.2951456606388092,0.5020923018455505,0.38341838121414185,0.08827272802591324,0.0,0.0,0.0
0.2652055621147156,0.48356637358665466,0.2652055621147156,6,111,,,,,,,
,,,6,111,0.257407546043396,0.46285444498062134,0.34505540132522583,0.08764787018299103,0.0,0.0,0.0
0.2412387877702713,0.4521752893924713,0.2412387877702713,7,127,,,,,,,
,,,7,127,0.2298853099346161,0.43810492753982544,0.3167170286178589,0.08683173358440399,0.0,0.0,0.0
0.22023186087608337,0.4166952669620514,0.22023186087608337,8,143,,,,,,,
,,,8,143,0.2102440893650055,0.4052780270576477,0.2963331341743469,0.08608903735876083,0.0,0.0,0.0
0.20050492882728577,0.381937175989151,0.20050492882728577,9,159,,,,,,,
,,,9,159,0.19204768538475037,0.37396135926246643,0.27748599648475647,0.08543828874826431,0.0,0.0,0.0
0.18033456802368164,0.3457063138484955,0.18033456802368164,10,175,,,,,,,
,,,10,175,0.17410755157470703,0.3415805697441101,0.25893813371658325,0.08483061194419861,0.0,0.0,0.0
0.16010047495365143,0.3092413544654846,0.16010047495365143,11,191,,,,,,,
,,,11,191,0.15554286539554596,0.306979238986969,0.23982751369476318,0.08428465574979782,0.0,0.0,0.0
0.13891994953155518,0.2705182135105133,0.13891994953155518,12,207,,,,,,,
,,,12,207,0.13668376207351685,0.27144655585289,0.22047272324562073,0.08378896117210388,0.0,0.0,0.0
