val_x1tox8_mae,val_x1tox8_rmse,total_val_loss,epoch,step,train_x1tox8_mae,train_x1tox8_rmse,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
0.9778226613998413,1.2003529071807861,0.9778226613998413,0,15,,,,,,,
,,,0,15,0.9781221151351929,1.2056899070739746,1.144788384437561,0.1666664481163025,0.0,0.0,0.0
0.9395429491996765,1.1515722274780273,0.9395429491996765,1,31,,,,,,,
,,,1,31,0.937841534614563,1.157716989517212,1.1012338399887085,0.16339245438575745,0.0,0.0,0.0
0.9031391143798828,1.1046936511993408,0.9031391143798828,2,47,,,,,,,
,,,2,47,0.9022178649902344,1.1142854690551758,1.0626437664031982,0.16042593121528625,0.0,0.0,0.0
0.869939923286438,1.0623414516448975,0.869939923286438,3,63,,,,,,,
,,,3,63,0.8673557043075562,1.0730400085449219,1.025179147720337,0.15782329440116882,0.0,0.0,0.0
0.8386328816413879,1.0235053300857544,0.8386328816413879,4,79,,,,,,,
,,,4,79,0.8361093401908875,1.0349628925323486,0.9916236996650696,0.15551432967185974,0.0,0.0,0.0
0.8072779774665833,0.9849324226379395,0.8072779774665833,5,95,,,,,,,
,,,5,95,0.807181715965271,0.9998119473457336,0.9606459736824036,0.15346422791481018,0.0,0.0,0.0
0.7782703638076782,0.9498150944709778,0.7782703638076782,6,111,,,,,,,
,,,6,111,0.7799617052078247,0.964489758014679,0.9315230250358582,0.15156126022338867,0.0,0.0,0.0
0.7526645660400391,0.9179142713546753,0.7526645660400391,7,127,,,,,,,
,,,7,127,0.7541831731796265,0.9345550537109375,0.9041363000869751,0.14995314180850983,0.0,0.0,0.0
0.7285593152046204,0.8878487348556519,0.7285593152046204,8,143,,,,,,,
,,,8,143,0.7298823595046997,0.9071661233901978,0.8783407211303711,0.14845840632915497,0.0,0.0,0.0
0.7050045728683472,0.8581878542900085,0.7050045728683472,9,159,,,,,,,
,,,9,159,0.7068184614181519,0.8781506419181824,0.8540405035018921,0.14722198247909546,0.0,0.0,0.0
0.6842783093452454,0.8311659693717957,0.6842783093452454,10,175,,,,,,,
,,,10,175,0.6851897239685059,0.8541325330734253,0.8314250707626343,0.1462354212999344,0.0,0.0,0.0
0.6647452116012573,0.8060911297798157,0.6647452116012573,11,191,,,,,,,
,,,11,191,0.6641166806221008,0.8278275728225708,0.8095672726631165,0.14545053243637085,0.0,0.0,0.0
0.6448079943656921,0.7813989520072937,0.6448079943656921,12,207,,,,,,,
,,,12,207,0.6448367834091187,0.8039596676826477,0.789636492729187,0.14479969441890717,0.0,0.0,0.0
0.6263440847396851,0.7588458061218262,0.6263440847396851,13,223,,,,,,,
,,,13,223,0.626041829586029,0.7817302346229553,0.7701336145401001,0.14409175515174866,0.0,0.0,0.0
0.6085033416748047,0.7373736500740051,0.6085033416748047,14,239,,,,,,,
,,,14,239,0.6077026128768921,0.7605074644088745,0.7511457800865173,0.14344312250614166,0.0,0.0,0.0
0.5909972190856934,0.7164835929870605,0.5909972190856934,15,255,,,,,,,
,,,15,255,0.590262770652771,0.7413826584815979,0.7334215641021729,0.14315873384475708,0.0,0.0,0.0
0.5730978846549988,0.6955118775367737,0.5730978846549988,16,271,,,,,,,
,,,16,271,0.5726137161254883,0.7174098491668701,0.7156219482421875,0.1430083066225052,0.0,0.0,0.0
0.5558911561965942,0.6750875115394592,0.5558911561965942,17,287,,,,,,,
,,,17,287,0.5555380582809448,0.6988354921340942,0.6984843015670776,0.14294621348381042,0.0,0.0,0.0
0.5388190746307373,0.6554791927337646,0.5388190746307373,18,303,,,,,,,
,,,18,303,0.5385748744010925,0.6796315908432007,0.6814597845077515,0.14288493990898132,0.0,0.0,0.0
0.5225530862808228,0.6375404596328735,0.5225530862808228,19,319,,,,,,,
,,,19,319,0.5216560959815979,0.6599125266075134,0.6646289825439453,0.14297297596931458,0.0,0.0,0.0
0.505691409111023,0.6193157434463501,0.505691409111023,20,335,,,,,,,
,,,20,335,0.5052388310432434,0.6404737234115601,0.6485263109207153,0.14328743517398834,0.0,0.0,0.0
0.4883158206939697,0.6006830334663391,0.4883158206939697,21,351,,,,,,,
,,,21,351,0.48860105872154236,0.6209561228752136,0.6322996616363525,0.1436985582113266,0.0,0.0,0.0
0.47097834944725037,0.5824390053749084,0.47097834944725037,22,367,,,,,,,
,,,22,367,0.47152939438819885,0.6005150079727173,0.6155850887298584,0.14405576884746552,0.0,0.0,0.0
0.4523058831691742,0.5638691782951355,0.4523058831691742,23,383,,,,,,,
,,,23,383,0.4538113474845886,0.5814136266708374,0.5983812808990479,0.1445700228214264,0.0,0.0,0.0
0.43446454405784607,0.5457972288131714,0.43446454405784607,24,399,,,,,,,
,,,24,399,0.43655213713645935,0.5613606572151184,0.5815998911857605,0.14504775404930115,0.0,0.0,0.0
0.4163435995578766,0.527048647403717,0.4163435995578766,25,415,,,,,,,
,,,25,415,0.41837000846862793,0.5409739017486572,0.5639158487319946,0.14554594457149506,0.0,0.0,0.0
0.3980591893196106,0.5081672668457031,0.3980591893196106,26,431,,,,,,,
,,,26,431,0.3997809886932373,0.5192965269088745,0.5457874536514282,0.14600643515586853,0.0,0.0,0.0
0.38051414489746094,0.4900210499763489,0.38051414489746094,27,447,,,,,,,
,,,27,447,0.38141199946403503,0.5001753568649292,0.527891993522644,0.14648005366325378,0.0,0.0,0.0
0.36066943407058716,0.4712979197502136,0.36066943407058716,28,463,,,,,,,
,,,28,463,0.36208003759384155,0.4807303845882416,0.5091453790664673,0.14706532657146454,0.0,0.0,0.0
0.3402101993560791,0.45317038893699646,0.3402101993560791,29,479,,,,,,,
,,,29,479,0.34270069003105164,0.4582952857017517,0.4904530644416809,0.1477523148059845,0.0,0.0,0.0
0.3193104863166809,0.43488064408302307,0.3193104863166809,30,495,,,,,,,
,,,30,495,0.3219597041606903,0.4389803409576416,0.4703194499015808,0.14835979044437408,0.0,0.0,0.0
0.29753631353378296,0.41659602522850037,0.29753631353378296,31,511,,,,,,,
,,,31,511,0.30078423023223877,0.42063117027282715,0.4496980607509613,0.14891384541988373,0.0,0.0,0.0
0.2744743227958679,0.3980618119239807,0.2744743227958679,32,527,,,,,,,
,,,32,527,0.2790870666503906,0.40016046166419983,0.4287034869194031,0.14961642026901245,0.0,0.0,0.0
0.2531915307044983,0.3773450553417206,0.2531915307044983,33,543,,,,,,,
,,,33,543,0.257074236869812,0.38214346766471863,0.4075642228126526,0.15048997104167938,0.0,0.0,0.0
0.22986583411693573,0.3572753667831421,0.22986583411693573,34,559,,,,,,,
,,,34,559,0.23528972268104553,0.3606153130531311,0.38642048835754395,0.1511307656764984,0.0,0.0,0.0
0.20907917618751526,0.337083637714386,0.20907917618751526,35,575,,,,,,,
,,,35,575,0.21333535015583038,0.3397689759731293,0.36504778265953064,0.15171238780021667,0.0,0.0,0.0
0.19358885288238525,0.31445109844207764,0.19358885288238525,36,591,,,,,,,
,,,36,591,0.1941739171743393,0.3184240460395813,0.3463803231716156,0.1522064208984375,0.0,0.0,0.0
0.1760524958372116,0.2925342917442322,0.1760524958372116,37,607,,,,,,,
,,,37,607,0.17628049850463867,0.2952076494693756,0.32895106077194214,0.15267054736614227,0.0,0.0,0.0
0.15882229804992676,0.2714140713214874,0.15882229804992676,38,623,,,,,,,
,,,38,623,0.1579652577638626,0.27136680483818054,0.31094393134117126,0.15297870337963104,0.0,0.0,0.0
0.1414162814617157,0.2510843873023987,0.1414162814617157,39,639,,,,,,,
,,,39,639,0.13997726142406464,0.25081872940063477,0.293367862701416,0.15339063107967377,0.0,0.0,0.0
0.12296795845031738,0.23164407908916473,0.12296795845031738,40,655,,,,,,,
,,,40,655,0.12218241393566132,0.23244492709636688,0.2762472629547119,0.1540648639202118,0.0,0.0,0.0
0.10615313053131104,0.2144213616847992,0.10615313053131104,41,671,,,,,,,
,,,41,671,0.1048816442489624,0.21166786551475525,0.2597769796848297,0.15489530563354492,0.0,0.0,0.0
0.09183014929294586,0.19977757334709167,0.09183014929294586,42,687,,,,,,,
,,,42,687,0.08930031955242157,0.1973876804113388,0.24515464901924133,0.15585429966449738,0.0,0.0,0.0
0.08202534168958664,0.18662269413471222,0.08202534168958664,43,703,,,,,,,
,,,43,703,0.07652141153812408,0.18221870064735413,0.2330489158630371,0.15652751922607422,0.0,0.0,0.0
0.07107535749673843,0.17314724624156952,0.07107535749673843,44,719,,,,,,,
,,,44,719,0.06665491312742233,0.16823813319206238,0.22332534193992615,0.1566704362630844,0.0,0.0,0.0
0.06409939378499985,0.1590932309627533,0.06409939378499985,45,735,,,,,,,
,,,45,735,0.058461375534534454,0.15267708897590637,0.2149214744567871,0.15646010637283325,0.0,0.0,0.0
0.05693542957305908,0.14497783780097961,0.05693542957305908,46,751,,,,,,,
,,,46,751,0.05119798332452774,0.1379053145647049,0.20719864964485168,0.15600068867206573,0.0,0.0,0.0
0.04898810386657715,0.13031449913978577,0.04898810386657715,47,767,,,,,,,
,,,47,767,0.045065395534038544,0.12492648512125015,0.20067830383777618,0.15561290085315704,0.0,0.0,0.0
0.0396585687994957,0.11437104642391205,0.0396585687994957,48,783,,,,,,,
,,,48,783,0.03773310035467148,0.10985393822193146,0.1929032951593399,0.15517020225524902,0.0,0.0,0.0
0.0335736982524395,0.10171659290790558,0.0335736982524395,49,799,,,,,,,
,,,49,799,0.03074871003627777,0.09586451202630997,0.18555329740047455,0.15480457246303558,0.0,0.0,0.0
0.02875307761132717,0.08688082545995712,0.02875307761132717,50,815,,,,,,,
,,,50,815,0.02680031582713127,0.08330877125263214,0.18109852075576782,0.15429821610450745,0.0,0.0,0.0
0.02429642342031002,0.07169971615076065,0.02429642342031002,51,831,,,,,,,
,,,51,831,0.022063057869672775,0.06974729895591736,0.17569412291049957,0.1536310762166977,0.0,0.0,0.0
0.018523043021559715,0.05552017688751221,0.018523043021559715,52,847,,,,,,,
,,,52,847,0.017779860645532608,0.055538345128297806,0.17083999514579773,0.15306013822555542,0.0,0.0,0.0
0.014547172002494335,0.04125063493847847,0.014547172002494335,53,863,,,,,,,
,,,53,863,0.014048337936401367,0.042162131518125534,0.1666208952665329,0.15257255733013153,0.0,0.0,0.0
0.009707557037472725,0.024482179433107376,0.009707557037472725,54,879,,,,,,,
,,,54,879,0.010448169894516468,0.027675066143274307,0.16259704530239105,0.15214887261390686,0.0,0.0,0.0
0.005311340559273958,0.00965438224375248,0.005311340559273958,55,895,,,,,,,
,,,55,895,0.006801021751016378,0.014787381514906883,0.1585361361503601,0.1517350971698761,0.0,0.0,0.0
0.0035003405064344406,0.004674737341701984,0.0035003405064344406,56,911,,,,,,,
,,,56,911,0.0038814221043139696,0.005216025747358799,0.15522973239421844,0.1513483077287674,0.0,0.0,0.0
0.00382932648062706,0.005450177472084761,0.00382932648062706,57,927,,,,,,,
,,,57,927,0.0033368892036378384,0.0043586124666035175,0.15376946330070496,0.15043257176876068,0.0,0.0,0.0
