val_f1tof4_w_ae1_latent_mae,val_f1tof4_w_ae1_latent_rmse,total_val_loss,epoch,step,train_f1tof4_w_ae1_latent_mae,train_f1tof4_w_ae1_latent_rmse,total_train_loss,l1_weight_loss,l2_weight_loss,l1_bias_loss,l2_bias_loss
0.6526027917861938,0.8445755243301392,0.6526027917861938,0,15,,,,,,,
,,,0,15,0.807506263256073,1.0381375551223755,0.8083292245864868,0.0,0.0008229641243815422,0.0,0.0
0.3762820363044739,0.5247624516487122,0.3762820363044739,1,31,,,,,,,
,,,1,31,0.4814373850822449,0.6589487195014954,0.48230409622192383,0.0,0.0008666928624734282,0.0,0.0
0.2021329402923584,0.29166269302368164,0.2021329402923584,2,47,,,,,,,
,,,2,47,0.2802177369594574,0.40158385038375854,0.2811674475669861,0.0,0.000949698209296912,0.0,0.0
0.09410230070352554,0.15735843777656555,0.09410230070352554,3,63,,,,,,,
,,,3,63,0.12943261861801147,0.20503735542297363,0.13049127161502838,0.0,0.0010586397256702185,0.0,0.0
0.059001632034778595,0.11540059745311737,0.059001632034778595,4,79,,,,,,,
,,,4,79,0.07160837948322296,0.128959059715271,0.07270333915948868,0.0,0.0010949611896649003,0.0,0.0
0.054930515587329865,0.08772625774145126,0.054930515587329865,5,95,,,,,,,
,,,5,95,0.053051114082336426,0.08803893625736237,0.05416103079915047,0.0,0.001109911478124559,0.0,0.0
0.053520314395427704,0.0910966545343399,0.053520314395427704,6,111,,,,,,,
,,,6,111,0.05215303227305412,0.07848300039768219,0.053276509046554565,0.0,0.0011234802659600973,0.0,0.0
0.04233875870704651,0.06926794350147247,0.04233875870704651,7,127,,,,,,,
,,,7,127,0.04642332345247269,0.07359130680561066,0.0475352481007576,0.0,0.0011119163827970624,0.0,0.0
0.04451306164264679,0.065348319709301,0.04451306164264679,8,143,,,,,,,
,,,8,143,0.04584447294473648,0.07259821891784668,0.046945102512836456,0.0,0.0011006307322531939,0.0,0.0
0.042069293558597565,0.07196791470050812,0.042069293558597565,9,159,,,,,,,
,,,9,159,0.038914937525987625,0.062367409467697144,0.040022704750299454,0.0,0.0011077654780820012,0.0,0.0
0.039857279509305954,0.06522680073976517,0.039857279509305954,10,175,,,,,,,
,,,10,175,0.038687653839588165,0.06384158134460449,0.03980570286512375,0.0,0.0011180444853380322,0.0,0.0
0.03569626063108444,0.05721113830804825,0.03569626063108444,11,191,,,,,,,
,,,11,191,0.035940103232860565,0.05774840712547302,0.03704589232802391,0.0,0.001105787232518196,0.0,0.0
0.03516986221075058,0.051212288439273834,0.03516986221075058,12,207,,,,,,,
,,,12,207,0.03716890141367912,0.06471385061740875,0.03828735277056694,0.0,0.0011184507748112082,0.0,0.0
0.03580128401517868,0.06607437878847122,0.03580128401517868,13,223,,,,,,,
,,,13,223,0.03400389105081558,0.05524681881070137,0.03512400761246681,0.0,0.0011201169108971953,0.0,0.0
0.031034713611006737,0.05064134672284126,0.031034713611006737,14,239,,,,,,,
,,,14,239,0.030709117650985718,0.04872165992856026,0.03183469548821449,0.0,0.0011255776043981314,0.0,0.0
0.02803283929824829,0.04533872380852699,0.02803283929824829,15,255,,,,,,,
,,,15,255,0.027448873966932297,0.046776849776506424,0.028581421822309494,0.0,0.0011325501836836338,0.0,0.0
0.028322914615273476,0.04527204483747482,0.028322914615273476,16,271,,,,,,,
,,,16,271,0.027905289083719254,0.04486755281686783,0.029033640399575233,0.0,0.0011283528292551637,0.0,0.0
0.02282356098294258,0.03530469909310341,0.02282356098294258,17,287,,,,,,,
